dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,13.819109,0.112136,0.000004,0.000400,0.020000,1.000000,1.577898
0.020000,13.819109,0.112136,0.000004,0.000003,-0.019856,-1.992818,1.577899
0.020000,13.819109,0.112136,0.000004,0.000006,0.000180,1.001795,1.577899
0.020000,13.819109,0.112136,0.000004,0.000011,0.000251,0.003591,1.577900
0.020000,13.819109,0.112135,0.000005,0.000018,0.000323,0.003590,1.577901
0.020000,13.819109,0.112135,0.000005,0.000026,0.000395,0.003589,1.577903
0.020000,13.819109,0.112134,0.000006,0.000035,0.000467,0.003588,1.577905
0.020000,13.819109,0.112133,0.000007,0.000046,0.000538,0.003586,1.577909
0.020000,13.819109,0.112132,0.000008,0.000058,0.000610,0.003584,1.577913
0.020000,13.819109,0.112131,0.000010,0.000072,0.000682,0.003581,1.577918
0.020000,13.819109,0.112129,0.000011,0.000087,0.000753,0.003577,1.577924
0.020000,13.819109,0.112127,0.000013,0.000103,0.000825,0.003572,1.577931
0.020000,13.819109,0.112125,0.000016,0.000121,0.000896,0.003567,1.577940
0.020000,13.819109,0.112122,0.000019,0.000141,0.000967,0.003560,1.577950
0.020000,13.819109,0.112118,0.000022,0.000161,0.001038,0.003552,1.577961
0.020000,13.819109,0.112115,0.000025,0.000184,0.001109,0.003543,1.577974
0.020000,13.819109,0.112111,0.000030,0.000207,0.001180,0.003533,1.577988
0.020000,13.819101,0.113231,0.001150,0.056014,2.790319,139.456940,1.578005
0.020000,13.819091,0.114670,0.002589,0.071941,0.796395,-99.696176,1.578023
0.020000,13.819079,0.116264,0.004183,0.079714,0.388609,-20.389316,1.578043
0.020000,13.819066,0.118022,0.005941,0.087884,0.408539,0.996506,1.578065
0.020000,13.819052,0.119951,0.007870,0.096454,0.428471,0.996603,1.578089
0.020000,13.819037,0.122059,0.009978,0.105422,0.448405,0.996685,1.578116
0.020000,13.819020,0.124355,0.012274,0.114789,0.468332,0.996355,1.578145
0.020000,13.819002,0.126846,0.014765,0.124554,0.488264,0.996602,1.578176
0.020000,13.818982,0.129540,0.017459,0.134718,0.508203,0.996943,1.578210
0.020000,13.818960,0.132445,0.020365,0.145280,0.528128,0.996285,1.578246
0.020000,13.818937,0.135570,0.023490,0.156242,0.548066,0.996881,1.578285
