dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,14.104102,0.114160,0.000004,0.000400,0.020000,1.000000,1.577898
0.020000,14.104102,0.114160,0.000020,0.001200,0.040000,1.000000,1.577899
0.020000,14.104102,0.114160,0.000056,0.002400,0.060000,1.000000,1.577899
0.020000,14.104102,0.114160,0.000120,0.004000,0.080000,1.000000,1.577900
0.020000,14.104102,0.114160,0.000220,0.006000,0.100000,1.000000,1.577901
0.020000,14.104102,0.114160,0.000364,0.008400,0.120000,1.000000,1.577903
0.020000,14.104102,0.114160,0.000560,0.011200,0.140000,1.000000,1.577905
0.020000,14.104102,0.114160,0.000816,0.014400,0.160000,1.000000,1.577909
0.020000,14.104102,0.114160,0.001140,0.018000,0.180000,1.000000,1.577913
0.020000,14.104102,0.114160,0.001540,0.022000,0.200000,1.000000,1.577918
0.020000,14.104102,0.114160,0.002024,0.026400,0.220000,1.000000,1.577924
0.020000,14.104102,0.114160,0.002600,0.031200,0.240000,1.000000,1.577931
0.020000,14.104102,0.114160,0.003276,0.036400,0.260000,1.000000,1.577940
0.020000,14.104102,0.114160,0.004060,0.042000,0.280000,1.000000,1.577950
0.020000,14.104102,0.114160,0.004960,0.048000,0.300000,1.000000,1.577961
0.020000,14.104102,0.114160,0.005984,0.054400,0.320000,1.000000,1.577974
0.020000,14.104102,0.114160,0.007140,0.061200,0.340000,1.000000,1.577988
0.020000,14.104094,0.115285,0.008436,0.068400,0.360000,1.000000,1.578005
0.020000,14.104083,0.116729,0.009880,0.076000,0.380000,1.000000,1.578023
0.020000,14.104072,0.118329,0.011480,0.084000,0.400000,1.000000,1.578043
0.020000,14.104059,0.120093,0.013244,0.092400,0.420000,1.000000,1.578065
0.020000,14.104045,0.122029,0.015180,0.101200,0.440000,1.000000,1.578089
0.020000,14.104029,0.124145,0.017296,0.110400,0.460000,1.000000,1.578116
0.020000,14.104012,0.126449,0.019600,0.120000,0.480000,1.000000,1.578145
0.020000,14.103994,0.128949,0.022100,0.130000,0.500000,1.000000,1.578176
0.020000,14.103974,0.131653,0.024804,0.140400,0.520000,1.000000,1.578210
0.020000,14.103952,0.134569,0.027720,0.151200,0.540000,1.000000,1.578246
0.020000,14.103929,0.137705,0.030856,0.162400,0.560000,1.000000,1.578285
0.020000,14.103903,0.141069,0.034220,0.174000,0.580000,1.000000,1.578327
0.020000,14.103876,0.144668,0.037820,0.186000,0.600000,1.000000,1.578372
0.020000,14.103847,0.148512,0.041664,0.198400,0.620000,1.000000,1.578420
0.020000,14.103816,0.152608,0.045760,0.211200,0.640000,1.000000,1.578471
0.020000,14.103782,0.156964,0.050116,0.224400,0.660000,1.000000,1.578525
0.020000,14.103746,0.161588,0.054740,0.238000,0.680000,1.000000,1.578583
0.020000,14.103708,0.166488,0.059640,0.252000,0.700000,1.000000,1.578643
0.020000,14.103667,0.171672,0.064824,0.266400,0.720000,1.000000,1.578707
0.020000,14.103624,0.177147,0.070300,0.281200,0.740000,1.000000,1.578775
0.020000,14.103577,0.182923,0.076076,0.296400,0.760000,1.000000,1.578846
0.020000,14.103528,0.189007,0.082160,0.312000,0.780000,1.000000,1.578921
0.020000,14.103476,0.195407,0.088560,0.328000,0.800000,1.000000,1.579000
0.020000,14.103420,0.202131,0.095284,0.344400,0.820000,1.000000,1.579082
0.020000,14.103362,0.209186,0.102340,0.361200,0.840000,1.000000,1.579169
0.020000,14.103299,0.216582,0.109736,0.378400,0.860000,1.000000,1.579259
0.020000,14.103234,0.224326,0.117480,0.396000,0.880000,1.000000,1.579353
0.020000,14.103164,0.232426,0.125580,0.414000,0.900000,1.000000,1.579452
0.020000,14.103090,0.240889,0.134044,0.432400,0.920000,1.000000,1.579554
0.020000,14.103012,0.249725,0.142880,0.451200,0.940000,1.000000,1.579661
0.020000,14.102930,0.258941,0.152096,0.470400,0.960000,1.000000,1.579772
0.020000,14.102843,0.268544,0.161700,0.490000,0.980000,1.000000,1.579887
0.020000,14.102752,0.278544,0.171700,0.510000,1.000000,1.000000,1.580007
0.020000,14.102655,0.288939,0.182096,0.529600,0.980000,-1.000000,1.580132
0.020000,14.102554,0.299723,0.192880,0.548800,0.960000,-1.000000,1.580260
0.020000,14.102448,0.310886,0.204044,0.567600,0.940000,-1.000000,1.580392
0.020000,14.102336,0.322422,0.215580,0.586000,0.920000,-1.000000,1.580529
0.020000,14.102220,0.334321,0.227480,0.604000,0.900000,-1.000000,1.580669
0.020000,14.102098,0.346577,0.239736,0.621600,0.880000,-1.000000,1.580813
0.020000,14.101970,0.359180,0.252340,0.638800,0.860000,-1.000000,1.580960
0.020000,14.101838,0.372123,0.265284,0.655600,0.840000,-1.000000,1.581111
0.020000,14.101700,0.385399,0.278560,0.672000,0.820000,-1.000000,1.581265
0.020000,14.101557,0.398998,0.292160,0.688000,0.800000,-1.000000,1.581422
0.020000,14.101408,0.412913,0.306076,0.703600,0.780000,-1.000000,1.581582
0.020000,14.101253,0.427136,0.320300,0.718800,0.760000,-1.000000,1.581744
0.020000,14.101093,0.441659,0.334824,0.733600,0.740000,-1.000000,1.581910
0.020000,14.100927,0.456474,0.349640,0.748000,0.720000,-1.000000,1.582078
0.020000,14.100755,0.471573,0.364740,0.762000,0.700000,-1.000000,1.582248
0.020000,14.100578,0.486948,0.380116,0.775600,0.680000,-1.000000,1.582420
0.020000,14.100395,0.502591,0.395760,0.788800,0.660000,-1.000000,1.582595
0.020000,14.100206,0.518494,0.411664,0.801600,0.640000,-1.000000,1.582772
0.020000,14.100011,0.534649,0.427820,0.814000,0.620000,-1.000000,1.582950
0.020000,14.099810,0.551048,0.444220,0.826000,0.600000,-1.000000,1.583130
0.020000,14.099603,0.567682,0.460856,0.837600,0.580000,-1.000000,1.583312
0.020000,14.099391,0.584545,0.477720,0.848800,0.560000,-1.000000,1.583495
0.020000,14.099172,0.601628,0.494804,0.859600,0.540000,-1.000000,1.583680
0.020000,14.098948,0.618922,0.512100,0.870000,0.520000,-1.000000,1.583865
0.020000,14.098717,0.636421,0.529600,0.880000,0.500000,-1.000000,1.584052
0.020000,14.098481,0.654115,0.547296,0.889600,0.480000,-1.000000,1.584240
0.020000,14.098239,0.671997,0.565180,0.898800,0.460000,-1.000000,1.584428
0.020000,14.097991,0.690060,0.583244,0.907600,0.440000,-1.000000,1.584617
0.020000,14.097737,0.708294,0.601480,0.916000,0.420000,-1.000000,1.584807
0.020000,14.097478,0.726692,0.619880,0.924000,0.400000,-1.000000,1.584997
0.020000,14.097212,0.745246,0.638436,0.931600,0.380000,-1.000000,1.585188
0.020000,14.096942,0.763948,0.657140,0.938800,0.360000,-1.000000,1.585379
0.020000,14.096665,0.782790,0.675984,0.945600,0.340000,-1.000000,1.585570
0.020000,14.096383,0.801764,0.694960,0.952000,0.320000,-1.000000,1.585761
0.020000,14.096095,0.820862,0.714060,0.958000,0.300000,-1.000000,1.585951
0.020000,14.095802,0.840076,0.733276,0.963600,0.280000,-1.000000,1.586142
0.020000,14.095504,0.859398,0.752600,0.968800,0.260000,-1.000000,1.586332
0.020000,14.095200,0.878819,0.772024,0.973600,0.240000,-1.000000,1.586522
0.020000,14.094891,0.898333,0.791540,0.978000,0.220000,-1.000000,1.586711
0.020000,14.094578,0.917930,0.811140,0.982000,0.200000,-1.000000,1.586900
0.020000,14.094259,0.937604,0.830816,0.985600,0.180000,-1.000000,1.587088
0.020000,14.093935,0.957345,0.850560,0.988800,0.160000,-1.000000,1.587276
0.020000,14.093607,0.977146,0.870364,0.991600,0.140000,-1.000000,1.587462
0.020000,14.093275,0.996999,0.890220,0.994000,0.120000,-1.000000,1.587647
0.020000,14.092937,1.016897,0.910120,0.996000,0.100000,-1.000000,1.587832
0.020000,14.092596,1.036830,0.930056,0.997600,0.080000,-1.000000,1.588015
0.020000,14.092250,1.056791,0.950020,0.998800,0.060000,-1.000000,1.588197
0.020000,14.091901,1.076772,0.970004,0.999600,0.040000,-1.000000,1.588378
0.020000,14.091548,1.096764,0.990000,1.000000,0.020000,-1.000000,1.588557
0.020000,14.091191,1.116761,1.010000,1.000000,0.000000,-1.000000,1.588735
0.020000,14.090830,1.136758,1.030000,1.000000,0.000000,0.000000,1.588911
0.020000,14.090466,1.156755,1.050000,1.000000,0.000000,0.000000,1.589086
0.020000,14.090098,1.176751,1.070000,1.000000,0.000000,0.000000,1.589259
0.020000,14.089728,1.196748,1.090000,1.000000,0.000000,0.000000,1.589431
0.020000,14.089353,1.216744,1.110000,1.000000,0.000000,0.000000,1.589602
0.020000,14.088975,1.236741,1.130000,1.000000,0.000000,0.000000,1.589771
0.020000,14.088594,1.256737,1.150000,1.000000,0.000000,0.000000,1.589938
0.020000,14.088210,1.276734,1.170000,1.000000,0.000000,0.000000,1.590104
0.020000,14.087822,1.296730,1.190000,1.000000,0.000000,0.000000,1.590269
0.020000,14.087431,1.316726,1.210000,1.000000,0.000000,0.000000,1.590432
0.020000,14.087037,1.336722,1.230000,1.000000,0.000000,0.000000,1.590593
0.020000,14.086639,1.356718,1.250000,1.000000,0.000000,0.000000,1.590753
0.020000,14.086238,1.376714,1.270000,1.000000,0.000000,0.000000,1.590912
0.020000,14.085835,1.396710,1.290000,1.000000,0.000000,0.000000,1.591069
0.020000,14.085428,1.416706,1.310000,1.000000,0.000000,0.000000,1.591225
0.020000,14.085017,1.436702,1.330000,1.000000,0.000000,0.000000,1.591379
0.020000,14.084604,1.456697,1.350000,1.000000,0.000000,0.000000,1.591532
0.020000,14.084188,1.476693,1.370000,1.000000,0.000000,0.000000,1.591683
0.020000,14.083769,1.496689,1.390000,1.000000,0.000000,0.000000,1.591832
0.020000,14.083347,1.516684,1.410000,1.000000,0.000000,0.000000,1.591981
