dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,14.389094,0.116184,0.000004,0.000400,0.020000,1.000000,1.577898
0.020000,14.389094,0.116184,0.000004,0.000003,-0.019856,-1.992818,1.577899
0.020000,14.389094,0.116185,0.000004,0.000006,0.000180,1.001795,1.577899
0.020000,14.389094,0.116185,0.000004,0.000011,0.000251,0.003591,1.577900
0.020000,14.389094,0.116185,0.000005,0.000018,0.000323,0.003590,1.577901
0.020000,14.389094,0.116186,0.000005,0.000026,0.000395,0.003589,1.577903
0.020000,14.389094,0.116186,0.000006,0.000035,0.000467,0.003588,1.577905
0.020000,14.389094,0.116187,0.000007,0.000046,0.000538,0.003586,1.577909
0.020000,14.389094,0.116189,0.000008,0.000058,0.000610,0.003584,1.577913
0.020000,14.389094,0.116190,0.000010,0.000072,0.000682,0.003581,1.577918
0.020000,14.389094,0.116192,0.000011,0.000087,0.000753,0.003577,1.577924
0.020000,14.389094,0.116194,0.000013,0.000103,0.000825,0.003572,1.577931
0.020000,14.389094,0.116196,0.000016,0.000121,0.000896,0.003567,1.577940
0.020000,14.389094,0.116199,0.000019,0.000141,0.000967,0.003560,1.577950
0.020000,14.389094,0.116202,0.000022,0.000161,0.001038,0.003552,1.577961
0.020000,14.389094,0.116206,0.000025,0.000184,0.001109,0.003543,1.577974
0.020000,14.389094,0.116210,0.000030,0.000207,0.001180,0.003533,1.577988
0.020000,14.389086,0.117340,0.001159,0.056478,2.813536,140.617797,1.578005
0.020000,14.389076,0.118789,0.002608,0.072459,0.799036,-100.724988,1.578023
0.020000,14.389064,0.120394,0.004214,0.080286,0.391389,-20.382327,1.578043
0.020000,14.389051,0.122165,0.005984,0.088516,0.411459,1.003463,1.578065
0.020000,14.389037,0.124108,0.007927,0.097146,0.431529,1.003525,1.578089
0.020000,14.389022,0.126231,0.010051,0.106178,0.451601,1.003568,1.578116
0.020000,14.389005,0.128543,0.012363,0.115611,0.471664,1.003193,1.578145
0.020000,14.388986,0.131052,0.014872,0.125446,0.491732,1.003394,1.578176
0.020000,14.388966,0.133766,0.017586,0.135682,0.511806,1.003688,1.578210
0.020000,14.388944,0.136692,0.020512,0.146320,0.531865,1.002969,1.578246
0.020000,14.388921,0.139839,0.023659,0.157358,0.551936,1.003510,1.578285
0.020000,14.388895,0.143215,0.027035,0.168798,0.572001,1.003261,1.578327
0.020000,14.388868,0.146828,0.030648,0.180640,0.592064,1.003163,1.578372
0.020000,14.388839,0.150685,0.034506,0.192882,0.612131,1.003349,1.578420
0.020000,14.388807,0.154795,0.038616,0.205526,0.632192,1.003051,1.578471
0.020000,14.388774,0.159167,0.042988,0.218571,0.652255,1.003151,1.578525
0.020000,14.388738,0.163807,0.047628,0.232017,0.672319,1.003209,1.578583
0.020000,14.388699,0.168724,0.052545,0.245865,0.692376,1.002814,1.578643
0.020000,14.388658,0.173926,0.057747,0.260114,0.712439,1.003164,1.578707
0.020000,14.388615,0.179421,0.063243,0.274764,0.732498,1.002951,1.578775
0.020000,14.388568,0.185217,0.069039,0.289815,0.752553,1.002750,1.578846
0.020000,14.388519,0.191323,0.075144,0.305267,0.772610,1.002846,1.578921
0.020000,14.388466,0.197745,0.081567,0.321120,0.792665,1.002778,1.579000
0.020000,14.388411,0.204492,0.088314,0.337375,0.812720,1.002706,1.579082
0.020000,14.388352,0.211572,0.095395,0.354030,0.832772,1.002633,1.579169
0.020000,14.388289,0.218994,0.102817,0.371087,0.852823,1.002547,1.579259
0.020000,14.388223,0.226764,0.110587,0.388544,0.872873,1.002476,1.579353
0.020000,14.388153,0.234892,0.118716,0.406402,0.892920,1.002382,1.579452
0.020000,14.388079,0.243385,0.127209,0.424662,0.912966,1.002293,1.579554
0.020000,14.388001,0.252251,0.136075,0.443322,0.933010,1.002199,1.579661
0.020000,14.387919,0.261499,0.145323,0.462383,0.953052,1.002101,1.579772
0.020000,14.387832,0.271135,0.154960,0.481845,0.973094,1.002103,1.579887
0.020000,14.387740,0.281169,0.164994,0.501708,0.993134,1.002006,1.580007
0.020000,14.387643,0.291600,0.175425,0.521570,0.993098,-0.001793,1.580132
0.020000,14.387541,0.302420,0.186246,0.541030,0.973004,-1.004745,1.580260
0.020000,14.387435,0.313621,0.197448,0.560088,0.952898,-1.005299,1.580392
0.020000,14.387323,0.325195,0.209023,0.578744,0.932802,-1.004781,1.580529
0.020000,14.387206,0.337135,0.220962,0.596998,0.912696,-1.005314,1.580669
0.020000,14.387083,0.349431,0.233259,0.614850,0.892599,-1.004838,1.580813
0.020000,14.386956,0.362077,0.245905,0.632299,0.872496,-1.005132,1.580960
0.020000,14.386823,0.375063,0.258892,0.649347,0.852394,-1.005106,1.581111
0.020000,14.386684,0.388382,0.272212,0.665993,0.832294,-1.005014,1.581265
0.020000,14.386540,0.402026,0.285857,0.682237,0.812194,-1.004982,1.581422
0.020000,14.386391,0.415987,0.299819,0.698079,0.792094,-1.004988,1.581582
0.020000,14.386236,0.430256,0.314089,0.713519,0.771993,-1.005061,1.581744
0.020000,14.386075,0.444826,0.328660,0.728557,0.751894,-1.004968,1.581910
0.020000,14.385909,0.459689,0.343524,0.743193,0.731795,-1.004947,1.582078
0.020000,14.385737,0.474837,0.358673,0.757427,0.711697,-1.004922,1.582248
0.020000,14.385559,0.490261,0.374098,0.771259,0.691599,-1.004893,1.582420
0.020000,14.385375,0.505954,0.389791,0.784689,0.671503,-1.004778,1.582595
0.020000,14.385185,0.521907,0.405746,0.797717,0.651405,-1.004886,1.582772
0.020000,14.384990,0.538113,0.421953,0.810343,0.631310,-1.004793,1.582950
0.020000,14.384788,0.554563,0.438404,0.822567,0.611215,-1.004747,1.583130
0.020000,14.384581,0.571249,0.455092,0.834390,0.591121,-1.004681,1.583312
0.020000,14.384368,0.588164,0.472008,0.845810,0.571030,-1.004530,1.583495
0.020000,14.384148,0.605299,0.489145,0.856829,0.550936,-1.004741,1.583680
0.020000,14.383923,0.622647,0.506493,0.867446,0.530845,-1.004528,1.583865
0.020000,14.383692,0.640198,0.524047,0.877661,0.510758,-1.004349,1.584052
0.020000,14.383455,0.657946,0.541796,0.887474,0.490666,-1.004604,1.584240
0.020000,14.383213,0.675882,0.559734,0.896886,0.470581,-1.004237,1.584428
0.020000,14.382964,0.693999,0.577852,0.905896,0.450493,-1.004391,1.584617
0.020000,14.382709,0.712287,0.596142,0.914504,0.430409,-1.004201,1.584807
0.020000,14.382449,0.730739,0.614596,0.922710,0.410325,-1.004207,1.584997
0.020000,14.382183,0.749348,0.633206,0.930515,0.390244,-1.004085,1.585188
0.020000,14.381911,0.768104,0.651965,0.937919,0.370162,-1.004096,1.585379
0.020000,14.381634,0.787001,0.670863,0.944920,0.350084,-1.003892,1.585570
0.020000,14.381351,0.806029,0.689894,0.951520,0.330003,-1.004015,1.585761
0.020000,14.381062,0.825181,0.709048,0.957719,0.309929,-1.003708,1.585951
0.020000,14.380769,0.844449,0.728318,0.963516,0.289852,-1.003849,1.586142
0.020000,14.380469,0.863825,0.747697,0.968912,0.269779,-1.003672,1.586332
0.020000,14.380165,0.883301,0.767175,0.973906,0.249708,-1.003531,1.586522
0.020000,14.379855,0.902868,0.786745,0.978498,0.229636,-1.003612,1.586711
0.020000,14.379541,0.922520,0.806398,0.982690,0.209568,-1.003426,1.586900
0.020000,14.379221,0.942247,0.826128,0.986480,0.189501,-1.003311,1.587088
0.020000,14.378897,0.962041,0.845925,0.989869,0.169434,-1.003354,1.587276
0.020000,14.378568,0.981896,0.865782,0.992856,0.149370,-1.003199,1.587462
0.020000,14.378234,1.001802,0.885691,0.995442,0.129309,-1.003071,1.587647
0.020000,14.377896,1.021751,0.905644,0.997627,0.109247,-1.003080,1.587832
0.020000,14.377554,1.041737,0.925632,0.999411,0.089188,-1.002964,1.588015
0.020000,14.377207,1.061750,0.945648,1.000793,0.069131,-1.002861,1.588197
0.020000,14.376857,1.081782,0.965683,1.001775,0.049075,-1.002763,1.588378
0.020000,14.376503,1.101826,0.985731,1.002355,0.029021,-1.002740,1.588557
0.020000,14.376145,1.121873,1.005781,1.002535,0.008968,-1.002617,1.588735
0.020000,14.375783,1.141920,1.025832,1.002514,-0.001057,-0.501268,1.588911
0.020000,14.375418,1.161967,1.045881,1.002492,-0.001057,0.000002,1.589086
0.020000,14.375050,1.182013,1.065931,1.002471,-0.001057,-0.000018,1.589259
0.020000,14.374678,1.202059,1.085980,1.002450,-0.001057,0.000002,1.589431
0.020000,14.374303,1.222104,1.106028,1.002429,-0.001057,0.000014,1.589602
0.020000,14.373924,1.242148,1.126077,1.002408,-0.001057,-0.000008,1.589771
0.020000,14.373542,1.262192,1.146124,1.002387,-0.001057,-0.000007,1.589938
0.020000,14.373157,1.282236,1.166172,1.002366,-0.001057,0.000002,1.590104
0.020000,14.372768,1.302279,1.186218,1.002344,-0.001057,0.000009,1.590269
0.020000,14.372376,1.322322,1.206265,1.002323,-0.001057,-0.000010,1.590432
0.020000,14.371981,1.342364,1.226311,1.002302,-0.001057,-0.000000,1.590593
0.020000,14.371582,1.362406,1.246357,1.002281,-0.001057,0.000002,1.590753
0.020000,14.371181,1.382447,1.266402,1.002260,-0.001057,0.000001,1.590912
0.020000,14.370776,1.402487,1.286447,1.002239,-0.001057,-0.000003,1.591069
0.020000,14.370368,1.422528,1.306491,1.002218,-0.001057,0.000001,1.591225
0.020000,14.369957,1.442567,1.326535,1.002196,-0.001057,-0.000000,1.591379
0.020000,14.369543,1.462607,1.346578,1.002175,-0.001057,-0.000004,1.591532
0.020000,14.369126,1.482645,1.366621,1.002154,-0.001057,0.000004,1.591683
0.020000,14.368706,1.502684,1.386664,1.002133,-0.001057,0.000001,1.591832
0.020000,14.368283,1.522721,1.406706,1.002112,-0.001057,-0.000006,1.591981
0.020000,14.367857,1.542759,1.426748,1.002091,-0.001057,-0.000002,1.592127
0.020000,14.367428,1.562795,1.446790,1.002069,-0.001057,0.000007,1.592273
0.020000,14.366996,1.582832,1.466830,1.002048,-0.001057,0.000001,1.592416
0.020000,14.366561,1.602868,1.486871,1.002027,-0.001058,-0.000014,1.592559
0.020000,14.366124,1.622903,1.506911,1.002006,-0.001057,0.000007,1.592699
0.020000,14.365684,1.642938,1.526951,1.001985,-0.001057,0.000007,1.592839
0.020000,14.365241,1.662972,1.546990,1.001964,-0.001057,0.000001,1.592976
0.020000,14.364795,1.683006,1.567029,1.001943,-0.001058,-0.000023,1.593113
0.020000,14.364346,1.703039,1.587067,1.001921,-0.001057,0.000021,1.593248
0.020000,14.363895,1.723072,1.607105,1.001900,-0.001057,0.000003,1.593381
0.020000,14.363441,1.743105,1.627143,1.001879,-0.001057,-0.000003,1.593513
0.020000,14.362985,1.763137,1.647180,1.001858,-0.001058,-0.000022,1.593643
0.020000,14.362526,1.783168,1.667217,1.001837,-0.001057,0.000026,1.593772
0.020000,14.362064,1.803199,1.687253,1.001816,-0.001057,0.000001,1.593900
0.020000,14.361600,1.823230,1.707289,1.001795,-0.001057,-0.000011,1.594025
0.020000,14.361133,1.843260,1.727325,1.001773,-0.001058,-0.000011,1.594150
0.020000,14.360664,1.863289,1.747360,1.001752,-0.001057,0.000022,1.594273
0.020000,14.360193,1.883318,1.767394,1.001731,-0.001057,0.000001,1.594394
0.020000,14.359719,1.903347,1.787428,1.001710,-0.001058,-0.000021,1.594514
0.020000,14.359243,1.923375,1.807462,1.001689,-0.001058,0.000005,1.594633
0.020000,14.358764,1.943403,1.827496,1.001668,-0.001057,0.000017,1.594750
0.020000,14.358283,1.963430,1.847528,1.001647,-0.001057,0.000001,1.594865
0.020000,14.357800,1.983457,1.867561,1.001625,-0.001058,-0.000031,1.594979
0.020000,14.357314,2.003483,1.887593,1.001604,-0.001057,0.000023,1.595092
0.020000,14.356826,2.023508,1.907625,1.001583,-0.001057,0.000009,1.595203
0.020000,14.356336,2.043534,1.927656,1.001562,-0.001057,0.000001,1.595313
0.020000,14.355844,2.063558,1.947687,1.001541,-0.001058,-0.000042,1.595421
0.020000,14.355350,2.083583,1.967717,1.001520,-0.001057,0.000042,1.595528
0.020000,14.354854,2.103607,1.987747,1.001498,-0.001057,0.000000,1.595633
