dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.942804,0.640549,0.000004,0.000400,0.020000,1.000000,1.641823
0.020000,6.942804,0.640549,0.000004,0.000011,-0.019473,-1.973634,1.641822
0.020000,6.942804,0.640550,0.000005,0.000024,0.000659,1.006591,1.641820
0.020000,6.942804,0.640551,0.000006,0.000042,0.000923,0.013182,1.641817
0.020000,6.942804,0.640552,0.000007,0.000066,0.001186,0.013180,1.641812
0.020000,6.942803,0.640554,0.000009,0.000095,0.001450,0.013178,1.641804
0.020000,6.942803,0.640556,0.000011,0.000129,0.001713,0.013174,1.641794
0.020000,6.942803,0.640560,0.000015,0.000169,0.001977,0.013169,1.641780
0.020000,6.942803,0.640564,0.000019,0.000214,0.002240,0.013162,1.641763
0.020000,6.942802,0.640569,0.000024,0.000264,0.002503,0.013153,1.641742
0.020000,6.942802,0.640576,0.000031,0.000319,0.002766,0.013142,1.641716
0.020000,6.942801,0.640583,0.000038,0.000379,0.003028,0.013128,1.641686
0.020000,6.942801,0.640592,0.000047,0.000445,0.003291,0.013112,1.641651
0.020000,6.942800,0.640602,0.000057,0.000516,0.003553,0.013093,1.641609
0.020000,6.942799,0.640614,0.000069,0.000593,0.003814,0.013070,1.641562
0.020000,6.942798,0.640628,0.000083,0.000674,0.004075,0.013045,1.641508
0.020000,6.942760,0.641171,0.000627,0.027215,1.327033,66.147923,1.641447
0.020000,6.942667,0.642480,0.001940,0.065653,1.921927,29.744679,1.641379
0.020000,6.942564,0.643940,0.003403,0.073150,0.374836,-77.354554,1.641303
0.020000,6.942450,0.645557,0.005024,0.081052,0.395087,1.012552,1.641219
0.020000,6.942324,0.647340,0.006811,0.089359,0.415337,1.012520,1.641126
0.020000,6.942186,0.649296,0.008773,0.098073,0.435720,1.019117,1.641024
0.020000,6.942036,0.651435,0.010917,0.107190,0.455839,1.005951,1.640913
0.020000,6.941873,0.653763,0.013251,0.116711,0.476080,1.012065,1.640792
0.020000,6.941696,0.656290,0.015784,0.126641,0.496480,1.020009,1.640661
0.020000,6.941505,0.659023,0.018523,0.136973,0.516584,1.005188,1.640519
0.020000,6.941299,0.661970,0.021477,0.147710,0.536889,1.015281,1.640366
0.020000,6.941078,0.665139,0.024654,0.158854,0.557158,1.013439,1.640202
0.020000,6.940842,0.668539,0.028062,0.170400,0.577348,1.009484,1.640026
0.020000,6.940591,0.672177,0.031709,0.182354,0.597656,1.015427,1.639838
0.020000,6.940322,0.676062,0.035604,0.194711,0.617857,1.010002,1.639637
0.020000,6.940037,0.680202,0.039753,0.207472,0.638073,1.010807,1.639423
0.020000,6.939735,0.684604,0.044166,0.220640,0.658416,1.017167,1.639196
0.020000,6.939416,0.689278,0.048850,0.234211,0.678530,1.005689,1.638955
0.020000,6.939078,0.694230,0.053814,0.248187,0.698779,1.012482,1.638700
0.020000,6.938723,0.699469,0.059065,0.262569,0.719112,1.016613,1.638430
0.020000,6.938348,0.705004,0.064612,0.277354,0.739252,1.007037,1.638146
0.020000,6.937956,0.710841,0.070463,0.292543,0.759476,1.011158,1.637847
0.020000,6.937544,0.716990,0.076626,0.308138,0.779703,1.011362,1.637532
0.020000,6.937112,0.723459,0.083109,0.324136,0.799924,1.011038,1.637201
0.020000,6.936662,0.730254,0.089919,0.340539,0.820137,1.010696,1.636854
0.020000,6.936191,0.737386,0.097066,0.357346,0.840344,1.010335,1.636490
0.020000,6.935701,0.744861,0.104557,0.374556,0.860543,1.009955,1.636109
0.020000,6.935190,0.752688,0.112401,0.392171,0.880734,1.009557,1.635712
0.020000,6.934660,0.760874,0.120605,0.410190,0.900917,1.009147,1.635296
0.020000,6.934109,0.769429,0.129177,0.428614,0.921211,1.014686,1.634863
0.020000,6.933538,0.778359,0.138126,0.447439,0.941279,1.003389,1.634412
0.020000,6.932947,0.787674,0.147459,0.466668,0.961440,1.008068,1.633943
0.020000,6.932336,0.797381,0.157185,0.486303,0.981764,1.016177,1.633455
0.020000,6.931704,0.807488,0.167312,0.506338,1.001739,0.998761,1.632947
0.020000,6.931053,0.817995,0.177839,0.526375,1.001839,0.004990,1.632422
0.020000,6.930384,0.828895,0.188759,0.546002,0.981332,-1.025341,1.631877
0.020000,6.929697,0.840178,0.200064,0.565223,0.961061,-1.013533,1.631316
0.020000,6.928994,0.851838,0.211745,0.584038,0.940736,-1.016272,1.630737
0.020000,6.928275,0.863865,0.223794,0.602444,0.920330,-1.020302,1.630141
0.020000,6.927543,0.876253,0.236202,0.620444,0.899994,-1.016791,1.629529
0.020000,6.926798,0.888992,0.248963,0.638037,0.879654,-1.017009,1.628902
0.020000,6.926041,0.902074,0.262068,0.655223,0.859310,-1.017193,1.628261
0.020000,6.925274,0.915492,0.275508,0.672003,0.838963,-1.017344,1.627604
0.020000,6.924497,0.929238,0.289275,0.688375,0.818614,-1.017464,1.626934
0.020000,6.923711,0.943303,0.303362,0.704340,0.798263,-1.017554,1.626251
0.020000,6.922918,0.957679,0.317760,0.719898,0.777910,-1.017615,1.625555
0.020000,6.922119,0.972358,0.332461,0.735049,0.757558,-1.017648,1.624847
0.020000,6.921314,0.987332,0.347457,0.749794,0.737204,-1.017655,1.624128
0.020000,6.920505,1.002594,0.362739,0.764132,0.716923,-1.014061,1.623397
0.020000,6.919693,1.018134,0.378301,0.778063,0.696538,-1.019269,1.622656
0.020000,6.918878,1.033944,0.394132,0.791586,0.676160,-1.018908,1.621905
0.020000,6.918062,1.050018,0.410227,0.804704,0.655913,-1.012334,1.621145
0.020000,6.917245,1.066346,0.426575,0.817414,0.635501,-1.020611,1.620376
0.020000,6.916429,1.082920,0.443169,0.829718,0.615203,-1.014890,1.619598
0.020000,6.915615,1.099733,0.460002,0.841616,0.594863,-1.017003,1.618813
0.020000,6.914803,1.116775,0.477064,0.853106,0.574546,-1.015847,1.618021
0.020000,6.913994,1.134040,0.494347,0.864190,0.554186,-1.017998,1.617221
0.020000,6.913189,1.151519,0.511845,0.874869,0.533937,-1.012430,1.616416
0.020000,6.912388,1.169204,0.529548,0.885140,0.513534,-1.020185,1.615605
0.020000,6.911594,1.187086,0.547448,0.895005,0.493266,-1.013366,1.614788
0.020000,6.910806,1.205158,0.565537,0.904464,0.472968,-1.014908,1.613967
0.020000,6.910025,1.223412,0.583807,0.913517,0.452615,-1.017669,1.613142
0.020000,6.909252,1.241839,0.602251,0.922163,0.432317,-1.014902,1.612313
0.020000,6.908487,1.260431,0.620859,0.930404,0.412055,-1.013090,1.611481
0.020000,6.907732,1.279181,0.639623,0.938239,0.391741,-1.015712,1.610645
