dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,7.476455,0.678516,0.000004,0.000400,0.020000,1.000000,1.641823
0.020000,7.476455,0.678516,0.000004,0.000012,-0.019399,-1.969943,1.641822
0.020000,7.476455,0.678516,0.000005,0.000027,0.000751,1.007514,1.641820
0.020000,7.476455,0.678515,0.000006,0.000048,0.001052,0.015027,1.641817
0.020000,7.476455,0.678513,0.000007,0.000075,0.001352,0.015025,1.641812
0.020000,7.476455,0.678511,0.000009,0.000108,0.001653,0.015022,1.641804
0.020000,7.476455,0.678508,0.000012,0.000147,0.001953,0.015018,1.641794
0.020000,7.476456,0.678504,0.000016,0.000192,0.002254,0.015012,1.641780
0.020000,7.476456,0.678499,0.000021,0.000243,0.002554,0.015004,1.641763
0.020000,7.476456,0.678493,0.000027,0.000300,0.002853,0.014994,1.641742
0.020000,7.476457,0.678486,0.000034,0.000364,0.003153,0.014982,1.641716
0.020000,7.476458,0.678478,0.000043,0.000433,0.003452,0.014966,1.641686
0.020000,7.476458,0.678467,0.000053,0.000508,0.003751,0.014948,1.641651
0.020000,7.476459,0.678456,0.000065,0.000589,0.004050,0.014926,1.641609
0.020000,7.476460,0.678442,0.000078,0.000676,0.004348,0.014900,1.641562
0.020000,7.476461,0.678427,0.000094,0.000768,0.004645,0.014871,1.641508
0.020000,7.476425,0.678937,0.000606,0.025587,1.240908,61.813123,1.641447
0.020000,7.476335,0.680211,0.001882,0.063828,1.912093,33.559274,1.641379
0.020000,7.476235,0.681630,0.003304,0.071117,0.364449,-77.382224,1.641303
0.020000,7.476124,0.683202,0.004880,0.078800,0.384148,0.984941,1.641219
0.020000,7.476002,0.684935,0.006618,0.086877,0.403848,0.985007,1.641126
0.020000,7.475868,0.686837,0.008525,0.095351,0.423678,0.991528,1.641024
0.020000,7.475721,0.688916,0.010609,0.104216,0.443255,0.978845,1.640913
0.020000,7.475563,0.691180,0.012879,0.113475,0.462954,0.984918,1.640792
0.020000,7.475391,0.693637,0.015341,0.123131,0.482809,0.992783,1.640661
0.020000,7.475205,0.696294,0.018005,0.133179,0.502380,0.978526,1.640519
0.020000,7.475005,0.699159,0.020878,0.143622,0.522150,0.988505,1.640366
0.020000,7.474790,0.702241,0.023967,0.154460,0.541888,0.986894,1.640202
0.020000,7.474561,0.705547,0.027281,0.165691,0.561553,0.983241,1.640026
0.020000,7.474316,0.709085,0.030827,0.177317,0.581337,0.989228,1.639838
0.020000,7.474055,0.712863,0.034614,0.189338,0.601021,0.984175,1.639637
0.020000,7.473778,0.716888,0.038649,0.201752,0.620725,0.985196,1.639423
0.020000,7.473484,0.721169,0.042940,0.214563,0.640557,0.991636,1.639196
0.020000,7.473173,0.725714,0.047495,0.227767,0.660172,0.980745,1.638955
0.020000,7.472845,0.730530,0.052323,0.241365,0.679925,0.987638,1.638700
0.020000,7.472499,0.735626,0.057430,0.255361,0.699764,0.991962,1.638430
0.020000,7.472136,0.741008,0.062825,0.269749,0.719424,0.982973,1.638146
0.020000,7.471753,0.746686,0.068515,0.284533,0.739170,0.987324,1.637847
0.020000,7.471353,0.752667,0.074510,0.299711,0.758928,0.987885,1.637532
0.020000,7.470933,0.758959,0.080815,0.315285,0.778687,0.987953,1.637201
0.020000,7.470495,0.765569,0.087440,0.331254,0.798447,0.988023,1.636854
0.020000,7.470037,0.772507,0.094393,0.347618,0.818209,0.988096,1.636490
0.020000,7.469560,0.779779,0.101680,0.364377,0.837973,0.988173,1.636109
0.020000,7.469064,0.787393,0.109311,0.381532,0.857738,0.988255,1.635712
0.020000,7.468548,0.795358,0.117293,0.399082,0.877505,0.988347,1.635296
0.020000,7.468012,0.803681,0.125633,0.417030,0.897390,0.994252,1.634863
0.020000,7.467456,0.812371,0.134341,0.435371,0.917066,0.983799,1.634412
0.020000,7.466881,0.821435,0.143423,0.454108,0.936844,0.988916,1.633943
0.020000,7.466286,0.830881,0.152888,0.473244,0.956792,0.997397,1.633455
0.020000,7.465671,0.840717,0.162743,0.492772,0.976413,0.981065,1.632947
0.020000,7.465038,0.850944,0.172989,0.512306,0.976703,0.014462,1.632422
0.020000,7.464386,0.861553,0.183618,0.531445,0.956942,-0.988042,1.631877
0.020000,7.463717,0.872536,0.194622,0.550194,0.937413,-0.976445,1.631316
0.020000,7.463033,0.883887,0.205993,0.568550,0.917832,-0.979029,1.630737
0.020000,7.462334,0.895596,0.217723,0.586514,0.898174,-0.982896,1.630141
0.020000,7.461621,0.907657,0.229805,0.604085,0.878585,-0.979444,1.629529
0.020000,7.460895,0.920061,0.242230,0.621265,0.858992,-0.979646,1.628902
0.020000,7.460158,0.932801,0.254991,0.638053,0.839396,-0.979837,1.628261
0.020000,7.459411,0.945868,0.268080,0.654449,0.819795,-0.980018,1.627604
0.020000,7.458654,0.959256,0.281489,0.670453,0.800192,-0.980190,1.626934
0.020000,7.457889,0.972956,0.295211,0.686065,0.780585,-0.980353,1.626251
0.020000,7.457116,0.986960,0.309236,0.701284,0.760974,-0.980510,1.625555
0.020000,7.456338,1.001261,0.323559,0.716111,0.741361,-0.980660,1.624847
0.020000,7.455553,1.015851,0.338170,0.730546,0.721745,-0.980805,1.624128
0.020000,7.454765,1.030722,0.353061,0.744590,0.702196,-0.977460,1.623397
0.020000,7.453973,1.045866,0.368226,0.758241,0.682542,-0.982711,1.622656
0.020000,7.453179,1.061276,0.383656,0.771499,0.662891,-0.982554,1.621905
0.020000,7.452384,1.076943,0.399343,0.784366,0.643363,-0.976360,1.621145
0.020000,7.451588,1.092860,0.415280,0.796839,0.623670,-0.984658,1.620376
0.020000,7.450792,1.109019,0.431459,0.808921,0.604084,-0.979330,1.619598
0.020000,7.449998,1.125412,0.447871,0.820610,0.584450,-0.981655,1.618813
0.020000,7.449206,1.142031,0.464509,0.831907,0.564834,-0.980810,1.618021
0.020000,7.448417,1.158869,0.481365,0.842810,0.545170,-0.983205,1.617221
0.020000,7.447632,1.175917,0.498432,0.853322,0.525608,-0.978087,1.616416
0.020000,7.446851,1.193168,0.515700,0.863440,0.505889,-0.985980,1.615605
0.020000,7.446076,1.210614,0.533164,0.873166,0.486295,-0.979672,1.614788
0.020000,7.445307,1.228248,0.550814,0.882499,0.466665,-0.981532,1.613967
0.020000,7.444545,1.246060,0.568643,0.891439,0.446973,-0.984596,1.613142
0.020000,7.443791,1.264044,0.586642,0.899985,0.427327,-0.982281,1.612313
0.020000,7.443045,1.282191,0.604805,0.908140,0.407709,-0.980908,1.611481
