dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.750845,2.173033,0.000004,0.000400,0.020000,1.000000,5.484404
0.020000,0.750845,2.173033,0.000020,0.001200,0.040000,1.000000,5.484406
0.020000,0.750845,2.173033,0.000056,0.002400,0.060000,1.000000,5.484408
0.020000,0.750845,2.173033,0.000120,0.004000,0.080000,1.000000,5.484412
0.020000,0.750845,2.173033,0.000220,0.006000,0.100000,1.000000,5.484419
0.020000,0.750845,2.173033,0.000364,0.008400,0.120000,1.000000,5.484428
0.020000,0.750845,2.173033,0.000560,0.011200,0.140000,1.000000,5.484442
0.020000,0.750845,2.173033,0.000816,0.014400,0.160000,1.000000,5.484459
0.020000,0.750845,2.173033,0.001140,0.018000,0.180000,1.000000,5.484480
0.020000,0.750845,2.173033,0.001540,0.022000,0.200000,1.000000,5.484507
0.020000,0.750845,2.173033,0.002024,0.026400,0.220000,1.000000,5.484539
0.020000,0.750845,2.173033,0.002600,0.031200,0.240000,1.000000,5.484578
0.020000,0.750845,2.173033,0.003276,0.036400,0.260000,1.000000,5.484623
0.020000,0.751319,2.172545,0.004060,0.042000,0.280000,1.000000,5.484676
0.020000,0.751947,2.171901,0.004960,0.048000,0.300000,1.000000,5.484736
0.020000,0.752662,2.171167,0.005984,0.054400,0.320000,1.000000,5.484805
0.020000,0.753468,2.170339,0.007140,0.061200,0.340000,1.000000,5.484883
0.020000,0.754373,2.169411,0.008436,0.068400,0.360000,1.000000,5.484970
0.020000,0.755381,2.168377,0.009880,0.076000,0.380000,1.000000,5.485068
0.020000,0.756498,2.167232,0.011480,0.084000,0.400000,1.000000,5.485177
0.020000,0.757729,2.165969,0.013244,0.092400,0.420000,1.000000,5.485297
0.020000,0.759081,2.164583,0.015180,0.101200,0.440000,1.000000,5.485430
0.020000,0.760559,2.163068,0.017296,0.110400,0.460000,1.000000,5.485575
0.020000,0.762168,2.161420,0.019600,0.120000,0.480000,1.000000,5.485734
0.020000,0.763915,2.159631,0.022100,0.130000,0.500000,1.000000,5.485907
0.020000,0.765804,2.157696,0.024804,0.140400,0.520000,1.000000,5.486095
0.020000,0.767842,2.155611,0.027720,0.151200,0.540000,1.000000,5.486299
0.020000,0.770034,2.153368,0.030856,0.162400,0.560000,1.000000,5.486519
0.020000,0.772386,2.150963,0.034220,0.174000,0.580000,1.000000,5.486757
0.020000,0.774904,2.148390,0.037820,0.186000,0.600000,1.000000,5.487013
0.020000,0.777593,2.145643,0.041664,0.198400,0.620000,1.000000,5.487289
0.020000,0.780459,2.142717,0.045760,0.211200,0.640000,1.000000,5.487584
0.020000,0.783508,2.139606,0.050116,0.224400,0.660000,1.000000,5.487901
0.020000,0.786746,2.136305,0.054740,0.238000,0.680000,1.000000,5.488239
0.020000,0.790178,2.132807,0.059640,0.252000,0.700000,1.000000,5.488601
0.020000,0.793811,2.129109,0.064824,0.266400,0.720000,1.000000,5.488987
0.020000,0.797649,2.125204,0.070300,0.281200,0.740000,1.000000,5.489399
0.020000,0.801700,2.121086,0.076076,0.296400,0.760000,1.000000,5.489838
0.020000,0.805969,2.116751,0.082160,0.312000,0.780000,1.000000,5.490304
0.020000,0.810461,2.112193,0.088560,0.328000,0.800000,1.000000,5.490800
0.020000,0.815184,2.107407,0.095284,0.344400,0.820000,1.000000,5.491327
0.020000,0.820142,2.102387,0.102340,0.361200,0.840000,1.000000,5.491886
0.020000,0.825343,2.097128,0.109736,0.378400,0.860000,1.000000,5.492479
0.020000,0.830791,2.091624,0.117480,0.396000,0.880000,1.000000,5.493107
0.020000,0.836494,2.085872,0.125580,0.414000,0.900000,1.000000,5.493773
0.020000,0.842457,2.079865,0.134044,0.432400,0.920000,1.000000,5.494478
0.020000,0.848686,2.073599,0.142880,0.451200,0.940000,1.000000,5.495224
0.020000,0.855189,2.067068,0.152096,0.470400,0.960000,1.000000,5.496012
0.020000,0.861971,2.060268,0.161700,0.490000,0.980000,1.000000,5.496846
0.020000,0.869038,2.053193,0.171700,0.510000,1.000000,1.000000,5.497728
0.020000,0.876392,2.045845,0.182096,0.529600,0.980000,-1.000000,5.498658
0.020000,0.884028,2.038230,0.192880,0.548800,0.960000,-1.000000,5.499638
0.020000,0.891941,2.030354,0.204044,0.567600,0.940000,-1.000000,5.500669
0.020000,0.900126,2.022225,0.215580,0.586000,0.920000,-1.000000,5.501752
0.020000,0.908579,2.013849,0.227480,0.604000,0.900000,-1.000000,5.502888
0.020000,0.917294,2.005232,0.239736,0.621600,0.880000,-1.000000,5.504077
0.020000,0.926268,1.996382,0.252340,0.638800,0.860000,-1.000000,5.505322
0.020000,0.935495,1.987304,0.265284,0.655600,0.840000,-1.000000,5.506623
0.020000,0.944972,1.978006,0.278560,0.672000,0.820000,-1.000000,5.507981
0.020000,0.954693,1.968495,0.292160,0.688000,0.800000,-1.000000,5.509397
0.020000,0.964653,1.958777,0.306076,0.703600,0.780000,-1.000000,5.510873
0.020000,0.974850,1.948859,0.320300,0.718800,0.760000,-1.000000,5.512409
0.020000,0.985277,1.938749,0.334824,0.733600,0.740000,-1.000000,5.514006
0.020000,0.995930,1.928453,0.349640,0.748000,0.720000,-1.000000,5.515666
0.020000,1.006806,1.917977,0.364740,0.762000,0.700000,-1.000000,5.517390
0.020000,1.017899,1.907330,0.380116,0.775600,0.680000,-1.000000,5.519178
0.020000,1.029205,1.896517,0.395760,0.788800,0.660000,-1.000000,5.521032
0.020000,1.040719,1.885547,0.411664,0.801600,0.640000,-1.000000,5.522953
0.020000,1.052438,1.874426,0.427820,0.814000,0.620000,-1.000000,5.524941
0.020000,1.064357,1.863160,0.444220,0.826000,0.600000,-1.000000,5.526998
0.020000,1.076471,1.851758,0.460856,0.837600,0.580000,-1.000000,5.529125
0.020000,1.088776,1.840227,0.477720,0.848800,0.560000,-1.000000,5.531323
0.020000,1.101268,1.828572,0.494804,0.859600,0.540000,-1.000000,5.533592
0.020000,1.113942,1.816803,0.512100,0.870000,0.520000,-1.000000,5.535933
0.020000,1.126793,1.804925,0.529600,0.880000,0.500000,-1.000000,5.538347
0.020000,1.139818,1.792946,0.547296,0.889600,0.480000,-1.000000,5.540836
0.020000,1.153012,1.780873,0.565180,0.898800,0.460000,-1.000000,5.543399
0.020000,1.166370,1.768713,0.583244,0.907600,0.440000,-1.000000,5.546037
0.020000,1.179889,1.756473,0.601480,0.916000,0.420000,-1.000000,5.548751
0.020000,1.193562,1.744161,0.619880,0.924000,0.400000,-1.000000,5.551542
0.020000,1.207387,1.731784,0.638436,0.931600,0.380000,-1.000000,5.554410
0.020000,1.221358,1.719348,0.657140,0.938800,0.360000,-1.000000,5.557356
0.020000,1.235472,1.706861,0.675984,0.945600,0.340000,-1.000000,5.560380
0.020000,1.249722,1.694331,0.694960,0.952000,0.320000,-1.000000,5.563482
0.020000,1.264105,1.681764,0.714060,0.958000,0.300000,-1.000000,5.566663
0.020000,1.278616,1.669167,0.733276,0.963600,0.280000,-1.000000,5.569922
0.020000,1.293251,1.656548,0.752600,0.968800,0.260000,-1.000000,5.573261
0.020000,1.308004,1.643913,0.772024,0.973600,0.240000,-1.000000,5.576678
0.020000,1.322870,1.631269,0.791540,0.978000,0.220000,-1.000000,5.580175
0.020000,1.337846,1.618624,0.811140,0.982000,0.200000,-1.000000,5.583751
0.020000,1.352925,1.605984,0.830816,0.985600,0.180000,-1.000000,5.587405
0.020000,1.368103,1.593357,0.850560,0.988800,0.160000,-1.000000,5.591138
0.020000,1.383375,1.580749,0.870364,0.991600,0.140000,-1.000000,5.594948
0.020000,1.398735,1.568166,0.890220,0.994000,0.120000,-1.000000,5.598837
0.020000,1.414179,1.555617,0.910120,0.996000,0.100000,-1.000000,5.602802
0.020000,1.429702,1.543107,0.930056,0.997600,0.080000,-1.000000,5.606843
0.020000,1.445296,1.530642,0.950020,0.998800,0.060000,-1.000000,5.610960
0.020000,1.460959,1.518230,0.970004,0.999600,0.040000,-1.000000,5.615151
0.020000,1.476683,1.505877,0.990000,1.000000,0.020000,-1.000000,5.619416
0.020000,1.492463,1.493590,1.010000,1.000000,0.000000,-1.000000,5.623753
0.020000,1.508296,1.481371,1.030000,1.000000,0.000000,0.000000,5.628162
0.020000,1.524184,1.469223,1.050000,1.000000,0.000000,0.000000,5.632643
0.020000,1.540127,1.457147,1.070000,1.000000,0.000000,0.000000,5.637197
0.020000,1.556125,1.445144,1.090000,1.000000,0.000000,0.000000,5.641824
0.020000,1.572178,1.433216,1.110000,1.000000,0.000000,0.000000,5.646524
0.020000,1.588288,1.421364,1.130000,1.000000,0.000000,0.000000,5.651299
0.020000,1.604455,1.409589,1.150000,1.000000,0.000000,0.000000,5.656148
0.020000,1.620679,1.397894,1.170000,1.000000,0.000000,0.000000,5.661071
0.020000,1.636961,1.386280,1.190000,1.000000,0.000000,0.000000,5.666069
0.020000,1.653301,1.374747,1.210000,1.000000,0.000000,0.000000,5.671143
0.020000,1.669700,1.363299,1.230000,1.000000,0.000000,0.000000,5.676292
0.020000,1.686158,1.351935,1.250000,1.000000,0.000000,0.000000,5.681517
