dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.574098,0.461528,0.000004,0.000392,0.019614,0.980675,6.282147
0.020000,1.574101,0.461528,0.000007,0.000168,-0.011206,-1.540996,6.282159
0.020000,1.574109,0.461528,0.000015,0.000378,0.010510,1.085799,6.282186
0.020000,1.574122,0.461528,0.000028,0.000673,0.014715,0.210289,6.282233
0.020000,1.574143,0.461528,0.000049,0.001051,0.018924,0.210439,6.282307
0.020000,1.574173,0.461528,0.000080,0.001514,0.023138,0.210685,6.282413
0.020000,1.574215,0.461528,0.000121,0.002061,0.027359,0.211051,6.282558
0.020000,1.574268,0.461528,0.000175,0.002693,0.031590,0.211562,6.282747
0.020000,1.574337,0.461528,0.000243,0.003410,0.035835,0.212240,6.282986
0.020000,1.574548,0.461528,0.000455,0.010592,0.359123,16.164416,0.000096
0.020000,1.575125,0.461528,0.001032,0.028840,0.912406,27.664119,0.000454
0.020000,1.575812,0.461529,0.001718,0.034315,0.273764,-31.932062,0.000881
0.020000,1.576617,0.461530,0.002524,0.040293,0.298860,1.254803,0.001382
0.020000,1.577552,0.461531,0.003458,0.046733,0.322041,1.159021,0.001964
0.020000,1.578626,0.461534,0.004532,0.053678,0.347226,1.259249,0.002634
0.020000,1.579847,0.461537,0.005754,0.061086,0.370416,1.159521,0.003397
0.020000,1.581227,0.461543,0.007133,0.068988,0.395074,1.232909,0.004261
0.020000,1.582775,0.461550,0.008681,0.077383,0.419756,1.234104,0.005232
0.020000,1.584500,0.461560,0.010406,0.086270,0.444372,1.230757,0.006317
0.020000,1.586413,0.461573,0.012319,0.095652,0.469066,1.234737,0.007524
0.020000,1.588523,0.461591,0.014430,0.105525,0.493670,1.230160,0.008859
0.020000,1.590841,0.461613,0.016748,0.115890,0.518248,1.228902,0.010330
0.020000,1.593377,0.461641,0.019283,0.126775,0.544259,1.300566,0.011945
0.020000,1.596139,0.461677,0.022046,0.138148,0.568643,1.219190,0.013712
0.020000,1.599140,0.461721,0.025048,0.150063,0.595729,1.354324,0.015640
0.020000,1.602389,0.461775,0.028297,0.162473,0.620506,1.238824,0.017737
0.020000,1.605897,0.461841,0.031805,0.175408,0.646764,1.312934,0.020013
0.020000,1.609673,0.461921,0.035583,0.188879,0.673532,1.338361,0.022477
0.020000,1.613730,0.462018,0.039641,0.202891,0.700628,1.354810,0.025139
0.020000,1.618077,0.462133,0.043989,0.217430,0.726949,1.316041,0.028010
0.020000,1.622726,0.462271,0.048640,0.232530,0.754980,1.401562,0.031101
0.020000,1.627687,0.462433,0.053604,0.248199,0.783467,1.424374,0.034425
0.020000,1.632972,0.462625,0.058892,0.264440,0.812053,1.429290,0.037993
0.020000,1.638593,0.462849,0.064518,0.281254,0.840692,1.431919,0.041819
0.020000,1.644556,0.463111,0.070486,0.298415,0.858039,0.867395,0.045913
0.020000,1.650862,0.463415,0.076800,0.315696,0.864071,0.301578,0.050285
0.020000,1.657515,0.463765,0.083462,0.333112,0.870810,0.336963,0.054942
0.020000,1.664517,0.464167,0.090475,0.350661,0.877416,0.330272,0.059895
0.020000,1.671869,0.464628,0.097842,0.368339,0.883898,0.324132,0.065153
0.020000,1.679575,0.465152,0.105566,0.386200,0.893069,0.458543,0.070727
0.020000,1.687638,0.465747,0.113650,0.404210,0.900489,0.370977,0.076630
0.020000,1.696059,0.466420,0.122098,0.422402,0.909615,0.456316,0.082874
0.020000,1.704842,0.467179,0.130914,0.440798,0.919773,0.507875,0.089473
0.020000,1.713990,0.468031,0.140102,0.459387,0.929465,0.484633,0.096441
0.020000,1.723507,0.468987,0.149666,0.478213,0.941313,0.592385,0.103793
0.020000,1.733394,0.470056,0.159611,0.497262,0.952443,0.556491,0.111547
0.020000,1.743657,0.471248,0.169943,0.516581,0.965939,0.674808,0.119719
