dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.265586,1.423015,0.000004,0.000391,0.019549,0.977451,4.711240
0.020000,2.265586,1.423015,0.000020,0.001173,0.039098,0.977451,4.711253
0.020000,2.265586,1.423015,0.000055,0.002346,0.058647,0.977451,4.711283
0.020000,2.265586,1.423015,0.000117,0.003910,0.078196,0.977451,4.711336
0.020000,2.265586,1.423015,0.000215,0.005865,0.097745,0.977451,4.711419
0.020000,2.265586,1.423015,0.000356,0.008211,0.117294,0.977451,4.711539
0.020000,2.265586,1.423015,0.000547,0.010947,0.136843,0.977451,4.711702
0.020000,2.265586,1.423015,0.000798,0.014075,0.156392,0.977451,4.711914
0.020000,2.265586,1.423015,0.001114,0.017594,0.175941,0.977451,4.712183
0.020000,2.265586,1.422866,0.001505,0.021504,0.195490,0.977451,4.712516
0.020000,2.265586,1.422392,0.001978,0.025805,0.215039,0.977451,4.712919
0.020000,2.265587,1.421829,0.002541,0.030496,0.234588,0.977451,4.713399
0.020000,2.265588,1.421169,0.003202,0.035579,0.254137,0.977451,4.713963
0.020000,2.265589,1.420402,0.003968,0.041053,0.273686,0.977451,4.714618
0.020000,2.265591,1.419523,0.004848,0.046918,0.293235,0.977451,4.715372
0.020000,2.265595,1.418522,0.005849,0.053173,0.312784,0.977451,4.716231
0.020000,2.265600,1.417392,0.006979,0.059820,0.332334,0.977451,4.717204
0.020000,2.265607,1.416125,0.008246,0.066858,0.351883,0.977451,4.718298
0.020000,2.265616,1.414714,0.009657,0.074286,0.371432,0.977451,4.719521
0.020000,2.265628,1.413150,0.011221,0.082106,0.390981,0.977451,4.720881
0.020000,2.265644,1.411426,0.012945,0.090317,0.410530,0.977451,4.722386
0.020000,2.265664,1.409533,0.014838,0.098918,0.430079,0.977451,4.724045
0.020000,2.265690,1.407465,0.016906,0.107911,0.449628,0.977451,4.725868
0.020000,2.265723,1.405213,0.019158,0.117294,0.469177,0.977451,4.727863
0.020000,2.265763,1.402770,0.021602,0.127069,0.488726,0.977451,4.730040
0.020000,2.265813,1.400128,0.024245,0.137234,0.508275,0.977451,4.732410
0.020000,2.265874,1.397278,0.027095,0.147791,0.527824,0.977451,4.734983
0.020000,2.265947,1.394213,0.030160,0.158738,0.547373,0.977451,4.737770
0.020000,2.266036,1.390927,0.033448,0.170077,0.566922,0.977451,4.740783
0.020000,2.266141,1.387409,0.036967,0.181806,0.586471,0.977451,4.744036
0.020000,2.266267,1.383654,0.040725,0.193926,0.606020,0.977451,4.747540
0.020000,2.266415,1.379653,0.044728,0.206438,0.625569,0.977451,4.751310
0.020000,2.266589,1.375399,0.048986,0.219340,0.645118,0.977451,4.755361
0.020000,2.266793,1.370888,0.053502,0.232242,0.645118,-0.000000,4.759705
0.020000,2.267030,1.366120,0.058276,0.245145,0.645118,0.000000,4.764351
0.020000,2.267304,1.361095,0.063308,0.258047,0.645118,0.000000,4.769309
0.020000,2.267619,1.355815,0.068598,0.270950,0.645118,-0.000000,4.774589
0.020000,2.267979,1.350278,0.074146,0.283852,0.645118,0.000000,4.780203
0.020000,2.268390,1.344487,0.079952,0.296754,0.645118,0.000000,4.786163
0.020000,2.268856,1.338441,0.086016,0.309657,0.645118,-0.000000,4.792482
0.020000,2.269383,1.332141,0.092338,0.322559,0.645118,0.000000,4.799175
0.020000,2.269976,1.325587,0.098918,0.335461,0.645118,0.000000,4.806256
0.020000,2.270642,1.318782,0.105756,0.348364,0.645118,0.000000,4.813741
0.020000,2.271388,1.311725,0.112853,0.361266,0.645118,0.000000,4.821649
0.020000,2.272221,1.304418,0.120207,0.374168,0.645118,-0.000000,4.829997
