dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.980586,1.423342,0.000004,0.000391,0.019549,0.977451,4.711240
0.020000,1.980586,1.423338,0.000008,0.000189,-0.010092,-1.482035,4.711253
0.020000,1.980586,1.423330,0.000016,0.000426,0.011823,1.095710,4.711283
0.020000,1.980586,1.423315,0.000031,0.000757,0.016554,0.236566,4.711336
0.020000,1.980586,1.423291,0.000055,0.001182,0.021289,0.236742,4.711419
0.020000,1.980586,1.423257,0.000089,0.001703,0.026029,0.237031,4.711539
0.020000,1.980586,1.423211,0.000135,0.002319,0.030779,0.237462,4.711702
0.020000,1.980586,1.423150,0.000196,0.003029,0.035540,0.238061,4.711914
0.020000,1.980586,1.423073,0.000273,0.003836,0.040317,0.238858,4.712183
0.020000,1.980586,1.422829,0.000517,0.012204,0.418435,18.905913,4.712516
0.020000,1.980586,1.422241,0.001105,0.029401,0.859824,22.069462,4.712919
0.020000,1.980587,1.421542,0.001804,0.034982,0.279036,-29.039421,4.713399
0.020000,1.980588,1.420720,0.002626,0.041082,0.304996,1.297983,4.713963
0.020000,1.980590,1.419767,0.003579,0.047645,0.328183,1.159370,4.714618
0.020000,1.980593,1.418672,0.004674,0.054735,0.354504,1.316071,4.715372
0.020000,1.980597,1.417427,0.005920,0.062293,0.377876,1.168556,4.716231
0.020000,1.980603,1.416019,0.007327,0.070356,0.403151,1.263771,4.717204
0.020000,1.980612,1.414441,0.008905,0.078925,0.428437,1.264277,4.718298
0.020000,1.980623,1.412681,0.010665,0.087999,0.453719,1.264107,4.719521
0.020000,1.980638,1.410730,0.012617,0.097579,0.478983,1.263231,4.720881
0.020000,1.980658,1.408576,0.014770,0.107663,0.504216,1.261623,4.722386
0.020000,1.980684,1.406212,0.017135,0.118251,0.529418,1.260106,4.724045
0.020000,1.980716,1.403624,0.019723,0.129398,0.557314,1.394782,4.725868
0.020000,1.980757,1.400804,0.022544,0.141027,0.581489,1.208784,4.727863
0.020000,1.980808,1.397740,0.025608,0.153201,0.608679,1.359465,4.730040
0.020000,1.980870,1.394422,0.028926,0.165919,0.635897,1.360907,4.732410
0.020000,1.980947,1.390839,0.032510,0.179181,0.663109,1.360630,4.734983
0.020000,1.981039,1.386981,0.036369,0.192987,0.690299,1.359485,4.737770
0.020000,1.981151,1.382835,0.040516,0.207338,0.717538,1.361964,4.740783
0.020000,1.981284,1.378392,0.044962,0.222296,0.747888,1.517479,4.744036
0.020000,1.981443,1.373638,0.049718,0.237803,0.775359,1.373580,4.747540
0.020000,1.981631,1.368563,0.054796,0.253906,0.805182,1.491140,4.751310
0.020000,1.981853,1.363156,0.060208,0.270609,0.835116,1.496675,4.755361
0.020000,1.982112,1.357408,0.065962,0.287700,0.854566,0.972521,4.759705
0.020000,1.982415,1.351317,0.072060,0.304890,0.859523,0.247866,4.764351
0.020000,1.982765,1.344882,0.078505,0.322240,0.867490,0.398311,4.769309
0.020000,1.983170,1.338099,0.085300,0.339746,0.875293,0.390175,4.774589
0.020000,1.983634,1.330966,0.092448,0.357405,0.882944,0.382540,4.780203
0.020000,1.984165,1.323481,0.099952,0.375226,0.891046,0.405123,4.786163
0.020000,1.984769,1.315639,0.107817,0.393251,0.901275,0.511436,4.792482
0.020000,1.985455,1.307438,0.116047,0.411474,0.911145,0.493490,4.799175
0.020000,1.986231,1.298874,0.124645,0.429924,0.922466,0.566044,4.806256
0.020000,1.987105,1.289946,0.133617,0.448577,0.932666,0.510025,4.813741
0.020000,1.988088,1.280647,0.142967,0.467500,0.946129,0.673137,4.821649
0.020000,1.989189,1.270977,0.152700,0.486669,0.958495,0.618275,4.829997
0.020000,1.990421,1.260930,0.162823,0.506115,0.972298,0.690150,4.838804
0.020000,1.991796,1.250502,0.173340,0.525888,0.988653,0.817780,4.848092
0.020000,1.993326,1.239691,0.184259,0.545945,1.002806,0.707647,4.857883
0.020000,1.995025,1.228492,0.195586,0.566348,1.020163,0.867859,4.868201
0.020000,1.996910,1.216902,0.207328,0.587097,1.037460,0.864839,4.879069
0.020000,1.998996,1.204923,0.219488,0.607973,1.043783,0.316129,4.890510
0.020000,2.001298,1.192562,0.232061,0.628678,1.035252,-0.426553,4.902541
0.020000,2.003833,1.179827,0.245046,0.649241,1.028143,-0.355425,4.915177
0.020000,2.006617,1.166726,0.258439,0.669665,1.021212,-0.346576,4.928437
0.020000,2.009668,1.153269,0.272238,0.689937,1.013625,-0.379310,4.942339
0.020000,2.013005,1.139465,0.286440,0.710078,1.007021,-0.330211,4.956899
0.020000,2.016647,1.125326,0.301041,0.730059,0.999085,-0.396809,4.972133
0.020000,2.020614,1.110863,0.316038,0.749860,0.990002,-0.454165,4.988059
0.020000,2.024926,1.096089,0.331428,0.769498,0.981903,-0.404916,5.004690
0.020000,2.029603,1.081020,0.347207,0.788932,0.971707,-0.509800,5.022040
0.020000,2.034667,1.065671,0.363369,0.808132,0.960030,-0.583851,5.040120
0.020000,2.040138,1.050060,0.379910,0.827059,0.946326,-0.685215,5.058938
0.020000,2.046038,1.034209,0.396824,0.845685,0.931325,-0.750047,5.078502
0.020000,2.052387,1.018139,0.414103,0.863955,0.913500,-0.891258,5.098812
0.020000,2.059204,1.001874,0.431739,0.881797,0.892105,-1.069771,5.119867
0.020000,2.066510,0.985441,0.449723,0.899170,0.868645,-1.172996,5.141661
0.020000,2.074321,0.968871,0.468042,0.915969,0.839934,-1.435545,5.164182
0.020000,2.082654,0.952194,0.486684,0.932125,0.807815,-1.605934,5.187411
0.020000,2.091522,0.935446,0.505635,0.947544,0.770953,-1.843098,5.211324
0.020000,2.100936,0.918663,0.524878,0.962138,0.729664,-2.064434,5.235891
0.020000,2.110904,0.901885,0.544394,0.975787,0.682459,-2.360286,5.261074
0.020000,2.121430,0.885153,0.564162,0.988399,0.630585,-2.593698,5.286825
0.020000,2.132515,0.868509,0.584159,0.999869,0.573512,-2.853646,5.313094
0.020000,2.144155,0.851998,0.604361,1.010095,0.511327,-3.109266,5.339820
0.020000,2.156342,0.835663,0.624741,1.018994,0.444948,-3.318941,5.366937
0.020000,2.169062,0.819549,0.645270,1.026467,0.373625,-3.566115,5.394373
0.020000,2.182299,0.803701,0.665920,1.032460,0.299644,-3.699090,5.422051
0.020000,2.196029,0.788159,0.686658,1.036905,0.222283,-3.868014,5.449890
0.020000,2.210226,0.772964,0.707453,1.039775,0.143477,-3.940330,5.477807
0.020000,2.224860,0.758152,0.728274,1.041051,0.063786,-3.984554,5.505718
0.020000,2.239896,0.743759,0.749089,1.040736,-0.015743,-3.976420,5.533538
0.020000,2.255298,0.729814,0.769866,1.038854,-0.094097,-3.917723,5.561184
0.020000,2.271022,0.716345,0.790570,1.035215,-0.181950,-4.392660,5.588572
0.020000,2.287025,0.703376,0.811168,1.029884,-0.266550,-4.229966,5.615620
0.020000,2.303263,0.690923,0.831631,1.023173,-0.335546,-3.449836,5.642258
0.020000,2.319695,0.678997,0.851935,1.015171,-0.400075,-3.226445,5.668424
0.020000,2.336278,0.667605,0.872054,1.005978,-0.459691,-2.980758,5.694060
0.020000,2.352973,0.656749,0.891968,0.995685,-0.514611,-2.746027,5.719119
0.020000,2.369739,0.646428,0.911656,0.984416,-0.563463,-2.442587,5.743557
0.020000,2.386538,0.636636,0.931101,0.972254,-0.608121,-2.232932,5.767341
0.020000,2.403337,0.627366,0.950288,0.959316,-0.646863,-1.937059,5.790443
0.020000,2.420100,0.618607,0.969202,0.945690,-0.681327,-1.723221,5.812843
0.020000,2.436797,0.610345,0.987831,0.931465,-0.711264,-1.496841,5.834525
0.020000,2.453400,0.602567,1.006165,0.916725,-0.736984,-1.285993,5.855481
0.020000,2.469881,0.595255,1.024196,0.901537,-0.759401,-1.120850,5.875707
0.020000,2.486218,0.588392,1.041916,0.885975,-0.778075,-0.933731,5.895204
0.020000,2.502387,0.581961,1.059317,0.870080,-0.794754,-0.833914,5.913977
0.020000,2.518370,0.575942,1.076396,0.853917,-0.808145,-0.669553,5.932033
0.020000,2.534148,0.570317,1.093146,0.837510,-0.820389,-0.612223,5.949384
0.020000,2.549704,0.565068,1.109564,0.820903,-0.830309,-0.495989,5.966043
0.020000,2.565024,0.560175,1.125646,0.804114,-0.839462,-0.457663,5.982024
0.020000,2.580094,0.555621,1.141389,0.787168,-0.847283,-0.391037,5.997343
0.020000,2.594902,0.551387,1.156791,0.770077,-0.854557,-0.363710,6.012019
0.020000,2.609437,0.547457,1.171848,0.752851,-0.861322,-0.338221,6.026068
0.020000,2.623688,0.543812,1.186558,0.735493,-0.867892,-0.328544,6.039510
0.020000,2.637646,0.540437,1.200918,0.718009,-0.874208,-0.315803,6.052362
0.020000,2.651303,0.537317,1.214926,0.700404,-0.880235,-0.301349,6.064644
0.020000,2.664648,0.534435,1.228579,0.682655,-0.887472,-0.361847,6.076374
0.020000,2.677676,0.531778,1.241875,0.664791,-0.893177,-0.285206,6.087569
0.020000,2.690378,0.529332,1.254811,0.646775,-0.900794,-0.380876,6.098248
0.020000,2.702747,0.527083,1.267383,0.628610,-0.908270,-0.373797,6.108427
0.020000,2.714777,0.525019,1.279589,0.610298,-0.915621,-0.367540,6.118123
0.020000,2.726462,0.523128,1.291425,0.591811,-0.924319,-0.434893,6.127352
0.020000,2.737794,0.521399,1.302888,0.573156,-0.932773,-0.422726,6.136129
0.020000,2.748767,0.519820,1.313974,0.554316,-0.942008,-0.461745,6.144468
0.020000,2.759379,0.518382,1.324683,0.535454,-0.943056,-0.052378,6.152386
0.020000,2.769632,0.517072,1.335020,0.516824,-0.931512,0.577186,6.159902
