dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,7.296492,5.942337,0.000004,0.000400,0.019976,0.998801,2.721350
0.020000,7.296487,5.942340,0.000010,0.000288,-0.005562,-1.276924,2.721330
0.020000,7.296475,5.942345,0.000023,0.000649,0.018017,1.178996,2.721285
0.020000,7.296454,5.942355,0.000046,0.001153,0.025226,0.360422,2.721204
0.020000,7.296421,5.942369,0.000082,0.001802,0.032437,0.360533,2.721077
0.020000,7.296374,5.942390,0.000134,0.002595,0.039651,0.360715,2.720895
0.020000,7.296309,5.942419,0.000204,0.003532,0.046871,0.360986,2.720647
0.020000,7.296225,5.942457,0.000297,0.004614,0.054098,0.361361,2.720324
0.020000,7.296118,5.942505,0.000413,0.005841,0.061335,0.361858,2.719914
0.020000,7.295987,5.942564,0.000558,0.007213,0.068585,0.362493,2.719408
0.020000,7.295827,5.942635,0.000732,0.008730,0.075850,0.363280,2.718795
0.020000,7.295153,5.942939,0.001472,0.036966,1.411803,66.797631,2.718065
0.020000,7.294315,5.943317,0.002391,0.045975,0.450453,-48.067486,2.717208
0.020000,7.293344,5.943757,0.003457,0.053304,0.366451,-4.200095,2.716214
0.020000,7.292228,5.944263,0.004682,0.061260,0.397790,1.566943,2.715070
0.020000,7.290960,5.944840,0.006076,0.069682,0.421096,1.165264,2.713768
0.020000,7.289528,5.945495,0.007651,0.078731,0.452484,1.569407,2.712295
0.020000,7.287923,5.946231,0.009416,0.088267,0.476791,1.215342,2.710642
0.020000,7.286135,5.947055,0.011385,0.098427,0.507984,1.559661,2.708796
0.020000,7.284155,5.947972,0.013567,0.109118,0.534549,1.328264,2.706746
0.020000,7.281973,5.948989,0.015974,0.120365,0.562373,1.391200,2.704482
0.020000,7.279579,5.950111,0.018618,0.132188,0.591123,1.437474,2.701990
0.020000,7.276964,5.951345,0.021510,0.144584,0.619813,1.434511,2.699260
0.020000,7.274118,5.952698,0.024661,0.157552,0.648422,1.430440,2.696278
