dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.470971,3.193344,0.000004,0.000400,0.020000,1.000000,0.001681
0.020000,1.470972,3.193344,0.000005,0.000075,-0.016268,-1.813413,0.001675
0.020000,1.470976,3.193344,0.000009,0.000168,0.004665,1.046648,0.001664
0.020000,1.470982,3.193344,0.000015,0.000299,0.006531,0.093298,0.001643
0.020000,1.470991,3.193344,0.000024,0.000466,0.008397,0.093303,0.001610
0.020000,1.471004,3.193344,0.000038,0.000672,0.010263,0.093312,0.001563
0.020000,1.471023,3.193344,0.000056,0.000914,0.012129,0.093325,0.001499
0.020000,1.471047,3.193344,0.000080,0.001194,0.013996,0.093344,0.001415
0.020000,1.471077,3.193344,0.000110,0.001512,0.015864,0.093368,0.001309
0.020000,1.471114,3.193344,0.000147,0.001866,0.017732,0.093399,0.001178
0.020000,1.471159,3.193344,0.000192,0.002258,0.019600,0.093438,0.001019
0.020000,1.471213,3.193344,0.000246,0.002688,0.021470,0.093486,0.000831
0.020000,1.471276,3.193344,0.000309,0.003154,0.023341,0.093542,0.000609
0.020000,1.471349,3.193344,0.000382,0.003659,0.025213,0.093609,0.000353
0.020000,1.471433,3.193344,0.000466,0.004200,0.027087,0.093686,0.000058
0.020000,1.472377,3.193344,0.001410,0.047170,2.148466,106.068944,6.282908
0.020000,1.473641,3.193343,0.002674,0.063212,0.802118,-67.317393,6.282529
0.020000,1.475058,3.193342,0.004091,0.070853,0.382035,-21.004134,6.282104
0.020000,1.476637,3.193340,0.005670,0.078926,0.403644,1.080442,6.281630
0.020000,1.478386,3.193337,0.007420,0.087496,0.428524,1.244014,6.281105
0.020000,1.480316,3.193332,0.009349,0.096461,0.448226,0.985106,6.280526
0.020000,1.482432,3.193326,0.011465,0.105833,0.468616,1.019486,6.279891
0.020000,1.484747,3.193318,0.013780,0.115737,0.495204,1.329384,6.279195
0.020000,1.487267,3.193307,0.016300,0.125986,0.512445,0.862051,6.278437
0.020000,1.490001,3.193292,0.019035,0.136734,0.537411,1.248281,6.277614
0.020000,1.492959,3.193275,0.021992,0.147881,0.557355,0.997208,6.276724
0.020000,1.496149,3.193253,0.025183,0.159513,0.581591,1.211842,6.275762
0.020000,1.499579,3.193225,0.028613,0.171515,0.600085,0.924666,6.274728
0.020000,1.503260,3.193192,0.032294,0.184061,0.627295,1.360496,6.273617
0.020000,1.507199,3.193152,0.036233,0.196964,0.645166,0.893555,6.272426
