dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.471450,2.908344,0.000004,0.000400,0.020000,1.000000,0.001681
0.020000,1.471450,2.908344,0.000020,0.001200,0.040000,1.000000,0.001675
0.020000,1.471450,2.908344,0.000056,0.002400,0.060000,1.000000,0.001664
0.020000,1.471450,2.908344,0.000120,0.004000,0.080000,1.000000,0.001643
0.020000,1.471450,2.908344,0.000220,0.006000,0.100000,1.000000,0.001610
0.020000,1.471450,2.908344,0.000364,0.008400,0.120000,1.000000,0.001563
0.020000,1.471450,2.908344,0.000560,0.011200,0.140000,1.000000,0.001499
0.020000,1.471450,2.908344,0.000816,0.014400,0.160000,1.000000,0.001415
0.020000,1.471450,2.908344,0.001140,0.018000,0.180000,1.000000,0.001309
0.020000,1.471450,2.908344,0.001540,0.022000,0.200000,1.000000,0.001178
0.020000,1.471450,2.908344,0.002024,0.026400,0.220000,1.000000,0.001019
0.020000,1.471450,2.908344,0.002600,0.031200,0.240000,1.000000,0.000831
0.020000,1.471450,2.908344,0.003276,0.036400,0.260000,1.000000,0.000609
0.020000,1.471450,2.908344,0.004060,0.042000,0.280000,1.000000,0.000353
0.020000,1.471450,2.908344,0.004960,0.048000,0.300000,1.000000,0.000058
0.020000,1.472298,2.908344,0.005984,0.054400,0.320000,1.000000,6.282908
0.020000,1.473454,2.908343,0.007140,0.061200,0.340000,1.000000,6.282529
0.020000,1.474750,2.908342,0.008436,0.068400,0.360000,1.000000,6.282104
0.020000,1.476193,2.908340,0.009880,0.076000,0.380000,1.000000,6.281630
0.020000,1.477794,2.908338,0.011480,0.084000,0.400000,1.000000,6.281105
0.020000,1.479558,2.908333,0.013244,0.092400,0.420000,1.000000,6.280526
0.020000,1.481493,2.908328,0.015180,0.101200,0.440000,1.000000,6.279891
0.020000,1.483610,2.908320,0.017296,0.110400,0.460000,1.000000,6.279195
0.020000,1.485914,2.908310,0.019600,0.120000,0.480000,1.000000,6.278437
0.020000,1.488414,2.908297,0.022100,0.130000,0.500000,1.000000,6.277614
0.020000,1.491117,2.908281,0.024804,0.140400,0.520000,1.000000,6.276724
0.020000,1.494034,2.908260,0.027720,0.151200,0.540000,1.000000,6.275762
0.020000,1.497169,2.908235,0.030856,0.162400,0.560000,1.000000,6.274728
0.020000,1.500533,2.908205,0.034220,0.174000,0.580000,1.000000,6.273617
0.020000,1.504133,2.908169,0.037820,0.186000,0.600000,1.000000,6.272426
0.020000,1.507977,2.908125,0.041664,0.198400,0.620000,1.000000,6.271154
0.020000,1.512072,2.908073,0.045760,0.211200,0.640000,1.000000,6.269797
0.020000,1.516428,2.908011,0.050116,0.224400,0.660000,1.000000,6.268351
0.020000,1.521051,2.907939,0.054740,0.238000,0.680000,1.000000,6.266815
0.020000,1.525951,2.907855,0.059640,0.252000,0.700000,1.000000,6.265185
0.020000,1.531134,2.907757,0.064824,0.266400,0.720000,1.000000,6.263457
0.020000,1.536609,2.907644,0.070300,0.281200,0.740000,1.000000,6.261630
0.020000,1.542383,2.907514,0.076076,0.296400,0.760000,1.000000,6.259700
0.020000,1.548465,2.907365,0.082160,0.312000,0.780000,1.000000,6.257663
0.020000,1.554863,2.907195,0.088560,0.328000,0.800000,1.000000,6.255516
0.020000,1.561584,2.907001,0.095284,0.344400,0.820000,1.000000,6.253257
0.020000,1.568637,2.906782,0.102340,0.361200,0.840000,1.000000,6.250882
0.020000,1.576029,2.906534,0.109736,0.378400,0.860000,1.000000,6.248387
0.020000,1.583767,2.906254,0.117480,0.396000,0.880000,1.000000,6.245770
0.020000,1.591862,2.905940,0.125580,0.414000,0.900000,1.000000,6.243027
0.020000,1.600318,2.905588,0.134044,0.432400,0.920000,1.000000,6.240154
0.020000,1.609145,2.905195,0.142880,0.451200,0.940000,1.000000,6.237148
