dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.471870,2.658344,0.000004,0.000400,0.020000,1.000000,0.001681
0.020000,1.471869,2.658344,0.000005,0.000065,-0.016727,-1.836327,0.001675
0.020000,1.471866,2.658344,0.000008,0.000147,0.004092,1.040919,0.001664
0.020000,1.471860,2.658344,0.000013,0.000262,0.005729,0.081840,0.001643
0.020000,1.471852,2.658344,0.000022,0.000409,0.007366,0.081845,0.001610
0.020000,1.471840,2.658344,0.000033,0.000589,0.009003,0.081853,0.001563
0.020000,1.471824,2.658344,0.000050,0.000802,0.010640,0.081864,0.001499
0.020000,1.471803,2.658344,0.000070,0.001048,0.012277,0.081880,0.001415
0.020000,1.471777,2.658344,0.000097,0.001326,0.013916,0.081902,0.001309
0.020000,1.471744,2.658344,0.000130,0.001637,0.015554,0.081929,0.001178
0.020000,1.471705,2.658344,0.000169,0.001981,0.017193,0.081963,0.001019
0.020000,1.471657,2.658344,0.000216,0.002358,0.018833,0.082005,0.000831
0.020000,1.471602,2.658344,0.000272,0.002767,0.020475,0.082055,0.000609
0.020000,1.471538,2.658344,0.000336,0.003209,0.022117,0.082113,0.000353
0.020000,1.471464,2.658344,0.000410,0.003685,0.023760,0.082181,0.000058
0.020000,1.472228,2.658344,0.001174,0.038194,1.725456,85.084765,6.282908
0.020000,1.473290,2.658343,0.002235,0.053077,0.744157,-49.064917,6.282529
0.020000,1.474479,2.658342,0.003425,0.059488,0.320583,-21.178710,6.282104
0.020000,1.475805,2.658341,0.004750,0.066262,0.338657,0.903683,6.281630
0.020000,1.477274,2.658338,0.006219,0.073451,0.359463,1.040327,6.281105
0.020000,1.478893,2.658334,0.007839,0.080969,0.375908,0.822223,6.280526
0.020000,1.480670,2.658329,0.009615,0.088827,0.392914,0.850296,6.279891
0.020000,1.482612,2.658322,0.011558,0.097129,0.415104,1.109492,6.279195
0.020000,1.484727,2.658313,0.013672,0.105718,0.429430,0.716301,6.278437
0.020000,1.487021,2.658301,0.015966,0.114722,0.450217,1.039378,6.277614
0.020000,1.489502,2.658286,0.018448,0.124058,0.466768,0.827562,6.276724
0.020000,1.492178,2.658267,0.021124,0.133796,0.486897,1.006404,6.275762
0.020000,1.495055,2.658244,0.024000,0.143839,0.502181,0.764217,6.274728
0.020000,1.498141,2.658217,0.027087,0.154334,0.524747,1.128330,6.273617
0.020000,1.501443,2.658183,0.030389,0.165123,0.539453,0.735268,6.272426
0.020000,1.504969,2.658143,0.033915,0.176281,0.557910,0.922845,6.271154
0.020000,1.508725,2.658095,0.037672,0.187825,0.577200,0.964524,6.269797
0.020000,1.512720,2.658039,0.041666,0.199745,0.595987,0.939317,6.268351
0.020000,1.516959,2.657973,0.045907,0.212001,0.612808,0.841060,6.266815
0.020000,1.521451,2.657895,0.050399,0.224623,0.631091,0.914187,6.265185
0.020000,1.526202,2.657806,0.055151,0.237608,0.649254,0.908134,6.263457
0.020000,1.531220,2.657702,0.060170,0.250954,0.667286,0.901606,6.261630
0.020000,1.536512,2.657583,0.065463,0.264658,0.685178,0.894607,6.259700
0.020000,1.542085,2.657446,0.071038,0.278740,0.704117,0.946943,6.257663
0.020000,1.547947,2.657290,0.076902,0.293185,0.722238,0.906034,6.255516
0.020000,1.554103,2.657113,0.083061,0.307957,0.738616,0.818907,6.253257
0.020000,1.560562,2.656912,0.089523,0.323097,0.756986,0.918508,6.250882
0.020000,1.567331,2.656685,0.096296,0.338634,0.776883,0.994828,6.248387
0.020000,1.574416,2.656429,0.103385,0.354468,0.791701,0.740900,6.245770
0.020000,1.581825,2.656141,0.110799,0.370720,0.812560,1.042942,6.243027
0.020000,1.589564,2.655819,0.118545,0.387294,0.828740,0.808997,6.240154
0.020000,1.597640,2.655459,0.126630,0.404218,0.846179,0.871961,6.237148
0.020000,1.606061,2.655058,0.135060,0.421510,0.864589,0.920513,6.234006
0.020000,1.614833,2.654612,0.143843,0.439177,0.883381,0.939596,6.230724
0.020000,1.623963,2.654117,0.152987,0.457179,0.900063,0.834097,6.227298
0.020000,1.633451,2.653569,0.162490,0.475173,0.899740,-0.016135,6.223728
0.020000,1.643288,2.652965,0.172347,0.492807,0.881659,-0.904080,6.220016
0.020000,1.653468,2.652302,0.182547,0.510045,0.861922,-0.986845,6.216163
0.020000,1.663981,2.651575,0.193085,0.526896,0.842567,-0.967756,6.212171
0.020000,1.674819,2.650782,0.203953,0.543399,0.825128,-0.871905,6.208043
0.020000,1.685977,2.649918,0.215144,0.559522,0.806148,-0.949022,6.203781
0.020000,1.697443,2.648980,0.226649,0.575262,0.787005,-0.957144,6.199386
0.020000,1.709212,2.647965,0.238462,0.590626,0.768222,-0.939159,6.194861
0.020000,1.721276,2.646868,0.250575,0.605652,0.751263,-0.847957,6.190208
0.020000,1.733625,2.645687,0.262980,0.620268,0.730838,-1.021257,6.185429
0.020000,1.746251,2.644417,0.275670,0.634524,0.712773,-0.903240,6.180528
0.020000,1.759148,2.643056,0.288639,0.648416,0.694591,-0.909085,6.175505
0.020000,1.772307,2.641599,0.301878,0.661942,0.676314,-0.913875,6.170365
0.020000,1.785719,2.640044,0.315380,0.675101,0.657961,-0.917645,6.165109
0.020000,1.799376,2.638387,0.329137,0.687892,0.639552,-0.920432,6.159740
0.020000,1.813271,2.636624,0.343144,0.700314,0.621107,-0.922279,6.154261
0.020000,1.827395,2.634753,0.357391,0.712367,0.602642,-0.923231,6.148676
0.020000,1.841740,2.632770,0.371873,0.724076,0.585432,-0.860484,6.142986
0.020000,1.856298,2.630672,0.386581,0.735424,0.567401,-0.901588,6.137195
0.020000,1.871061,2.628457,0.401509,0.746377,0.547645,-0.987777,6.131307
0.020000,1.886020,2.626122,0.416649,0.757033,0.532812,-0.741667,6.125324
0.020000,1.901167,2.623664,0.431995,0.767264,0.511551,-1.063020,6.119251
0.020000,1.916495,2.621080,0.447539,0.777202,0.496893,-0.732889,6.113090
0.020000,1.931994,2.618368,0.463273,0.786741,0.476963,-0.996510,6.106845
0.020000,1.947657,2.615525,0.479192,0.795930,0.459465,-0.874925,6.100521
0.020000,1.963476,2.612551,0.495288,0.804801,0.443545,-0.795996,6.094120
0.020000,1.979442,2.609442,0.511554,0.813296,0.424725,-0.940971,6.087648
0.020000,1.995547,2.606198,0.527983,0.821441,0.407253,-0.873625,6.081107
0.020000,2.011784,2.602815,0.544568,0.829240,0.389977,-0.863782,6.074503
0.020000,2.028143,2.599294,0.561301,0.836694,0.372703,-0.863728,6.067838
0.020000,2.044617,2.595632,0.578178,0.843803,0.355436,-0.863318,6.061119
0.020000,2.061198,2.591830,0.595189,0.850567,0.338184,-0.862611,6.054348
0.020000,2.077877,2.587885,0.612329,0.856986,0.320951,-0.861669,6.047531
0.020000,2.094647,2.583797,0.629590,0.863061,0.303740,-0.860549,6.040672
