dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.191858,7.884260,0.000004,0.000400,0.020000,1.000000,6.232089
0.020000,0.191857,7.884260,0.000004,0.000004,-0.019817,-1.990829,6.232090
0.020000,0.191857,7.884260,0.000004,0.000008,0.000229,1.002292,6.232090
0.020000,0.191857,7.884260,0.000005,0.000015,0.000321,0.004583,6.232091
0.020000,0.191857,7.884260,0.000005,0.000023,0.000413,0.004580,6.232093
0.020000,0.191856,7.884260,0.000006,0.000033,0.000504,0.004575,6.232095
0.020000,0.191855,7.884260,0.000007,0.000045,0.000595,0.004567,6.232098
0.020000,0.191854,7.884260,0.000008,0.000059,0.000686,0.004557,6.232102
0.020000,0.191852,7.884260,0.000009,0.000074,0.000777,0.004543,6.232108
0.020000,0.191851,7.884260,0.000011,0.000092,0.000868,0.004525,6.232114
0.020000,0.191848,7.884260,0.000013,0.000111,0.000958,0.004502,6.232122
0.020000,0.191846,7.884260,0.000016,0.000132,0.001047,0.004475,6.232131
0.020000,0.191843,7.884260,0.000019,0.000154,0.001136,0.004442,6.232142
0.020000,0.191839,7.884261,0.000023,0.000179,0.001224,0.004403,6.232154
0.020000,0.191835,7.884261,0.000027,0.000205,0.001311,0.004358,6.232169
0.020000,0.191830,7.884261,0.000031,0.000233,0.001398,0.004306,6.232185
0.020000,0.191825,7.884261,0.000037,0.000263,0.001482,0.004246,6.232204
0.020000,0.192769,7.884213,0.000982,0.047263,2.350023,117.427041,6.232224
0.020000,0.194205,7.884140,0.002419,0.071873,1.230477,-55.977328,6.232247
0.020000,0.195795,7.884059,0.004012,0.079638,0.388284,-42.109645,6.232273
0.020000,0.197549,7.883969,0.005768,0.087803,0.408210,0.996297,6.232300
0.020000,0.199474,7.883871,0.007695,0.096365,0.428130,0.995988,6.232331
0.020000,0.201578,7.883764,0.009802,0.105325,0.447989,0.992960,6.232364
0.020000,0.203868,7.883648,0.012096,0.114685,0.467998,1.000448,6.232400
0.020000,0.206354,7.883522,0.014584,0.124444,0.487936,0.996934,6.232440
0.020000,0.209043,7.883385,0.017276,0.134599,0.507779,0.992147,6.232482
0.020000,0.211942,7.883238,0.020180,0.145155,0.527802,1.001137,6.232527
0.020000,0.215060,7.883080,0.023302,0.156110,0.547730,0.996397,6.232575
0.020000,0.218405,7.882911,0.026651,0.167462,0.567622,0.994599,6.232627
0.020000,0.221985,7.882730,0.030235,0.179215,0.587660,1.001920,6.232682
0.020000,0.225807,7.882537,0.034063,0.191365,0.607500,0.991999,6.232741
0.020000,0.229880,7.882331,0.038141,0.203917,0.627572,1.003574,6.232803
0.020000,0.234212,7.882113,0.042478,0.216866,0.647442,0.993495,6.232868
0.020000,0.238811,7.881881,0.047083,0.230215,0.667466,1.001214,6.232937
0.020000,0.243684,7.881636,0.051962,0.243964,0.687451,0.999234,6.233010
0.020000,0.248840,7.881378,0.057124,0.258111,0.707345,0.994703,6.233087
0.020000,0.254286,7.881105,0.062577,0.272659,0.727414,1.003484,6.233167
0.020000,0.260031,7.880818,0.068329,0.287607,0.747396,0.999097,6.233250
0.020000,0.266083,7.880515,0.074389,0.302955,0.767380,0.999165,6.233338
0.020000,0.272449,7.880198,0.080763,0.318702,0.787351,0.998562,6.233429
0.020000,0.279137,7.879865,0.087460,0.334850,0.807408,1.002842,6.233523
0.020000,0.286157,7.879517,0.094488,0.351398,0.827426,1.000910,6.233622
0.020000,0.293515,7.879152,0.101854,0.368348,0.847454,1.001422,6.233724
0.020000,0.301219,7.878771,0.109568,0.385697,0.867494,1.001957,6.233829
0.020000,0.309278,7.878374,0.117637,0.403448,0.887544,1.002515,6.233938
0.020000,0.317700,7.877959,0.126069,0.421600,0.907606,1.003097,6.234050
0.020000,0.326493,7.877527,0.134872,0.440154,0.927657,1.002540,6.234166
0.020000,0.335664,7.877078,0.144055,0.459108,0.947729,1.003602,6.234285
0.020000,0.345222,7.876611,0.153624,0.478465,0.967854,1.006258,6.234406
0.020000,0.355174,7.876125,0.163588,0.498225,0.987967,1.005659,6.234531
0.020000,0.365522,7.875622,0.173948,0.517986,0.988081,0.005706,6.234658
0.020000,0.376256,7.875101,0.184695,0.537354,0.968408,-0.983655,6.234788
0.020000,0.387370,7.874564,0.195822,0.556327,0.948637,-0.988533,6.234919
0.020000,0.398855,7.874010,0.207320,0.574905,0.928909,-0.986412,6.235052
0.020000,0.410703,7.873440,0.219182,0.593088,0.909155,-0.987698,6.235186
0.020000,0.422906,7.872855,0.231399,0.610878,0.889463,-0.984628,6.235321
0.020000,0.435457,7.872254,0.243965,0.628271,0.869646,-0.990822,6.235457
0.020000,0.448348,7.871639,0.256870,0.645270,0.849971,-0.983772,6.235592
0.020000,0.461571,7.871011,0.270107,0.661875,0.830227,-0.987188,6.235727
0.020000,0.475117,7.870368,0.283669,0.678084,0.810479,-0.987394,6.235862
0.020000,0.488979,7.869713,0.297547,0.693898,0.790708,-0.988563,6.235995
0.020000,0.503150,7.869044,0.311733,0.709318,0.770988,-0.985978,6.236127
0.020000,0.517621,7.868364,0.326220,0.724343,0.751242,-0.987289,6.236257
0.020000,0.532384,7.867671,0.341000,0.738973,0.731490,-0.987605,6.236386
0.020000,0.547432,7.866968,0.356064,0.753207,0.711736,-0.987723,6.236512
0.020000,0.562756,7.866253,0.371405,0.767047,0.691979,-0.987869,6.236635
0.020000,0.578349,7.865527,0.387015,0.780491,0.672218,-0.988042,6.236754
0.020000,0.594203,7.864792,0.402886,0.793540,0.652453,-0.988241,6.236871
0.020000,0.610309,7.864046,0.419009,0.806194,0.632664,-0.989443,6.236984
0.020000,0.626661,7.863291,0.435378,0.818452,0.612904,-0.988015,6.237092
0.020000,0.643250,7.862527,0.451985,0.830314,0.593128,-0.988784,6.237197
0.020000,0.660068,7.861753,0.468820,0.841781,0.573343,-0.989238,6.237296
0.020000,0.677107,7.860972,0.485877,0.852852,0.553543,-0.989996,6.237391
0.020000,0.694359,7.860182,0.503148,0.863527,0.533731,-0.990616,6.237480
0.020000,0.711817,7.859384,0.520624,0.873806,0.513951,-0.988979,6.237564
0.020000,0.729473,7.858579,0.538298,0.883688,0.494132,-0.990950,6.237642
0.020000,0.747318,7.857766,0.556161,0.893174,0.474297,-0.991753,6.237714
0.020000,0.765344,7.856947,0.574207,0.902264,0.454498,-0.989978,6.237780
0.020000,0.783545,7.856120,0.592426,0.910957,0.434642,-0.992774,6.237839
0.020000,0.801911,7.855287,0.610811,0.919253,0.414817,-0.991281,6.237891
0.020000,0.820435,7.854448,0.629354,0.927153,0.394962,-0.992749,6.237937
0.020000,0.839109,7.853603,0.648047,0.934655,0.375107,-0.992720,6.237975
0.020000,0.857925,7.852752,0.666882,0.941760,0.355243,-0.993219,6.238006
0.020000,0.876875,7.851896,0.685851,0.948467,0.335371,-0.993618,6.238029
0.020000,0.895951,7.851034,0.704947,0.954777,0.315489,-0.994101,6.238045
0.020000,0.915145,7.850167,0.724161,0.960689,0.295601,-0.994402,6.238053
0.020000,0.934449,7.849295,0.743485,0.966203,0.275701,-0.994983,6.238052
0.020000,0.953856,7.848418,0.762911,0.971319,0.255793,-0.995381,6.238044
0.020000,0.973357,7.847537,0.782432,0.976036,0.235880,-0.995681,6.238027
0.020000,0.992944,7.846652,0.802039,0.980355,0.215952,-0.996399,6.238003
0.020000,1.012609,7.845763,0.821725,0.984276,0.196015,-0.996852,6.237969
0.020000,1.032345,7.844869,0.841480,0.987797,0.176081,-0.996687,6.237927
0.020000,1.052143,7.843972,0.861299,0.990920,0.156115,-0.998315,6.237877
0.020000,1.071996,7.843071,0.881172,0.993643,0.136158,-0.997839,6.237818
0.020000,1.091894,7.842167,0.901091,0.995967,0.116192,-0.998295,6.237750
0.020000,1.111832,7.841260,0.921049,0.997890,0.096194,-0.999874,6.237673
0.020000,1.131799,7.840350,0.941037,0.999415,0.076214,-0.998997,6.237588
0.020000,1.151789,7.839437,0.961048,1.000539,0.056217,-0.999861,6.237494
0.020000,1.171793,7.838521,0.981073,1.001263,0.036188,-1.001483,6.237391
0.020000,1.191804,7.837603,1.001105,1.001586,0.016182,-1.000296,6.237280
0.020000,1.211817,7.836682,1.021139,1.001710,0.006175,-0.500346,6.237160
0.020000,1.231832,7.835759,1.041176,1.001833,0.006152,-0.001138,6.237031
0.020000,1.251850,7.834833,1.061215,1.001956,0.006171,0.000929,6.236894
0.020000,1.271870,7.833905,1.081257,1.002080,0.006182,0.000564,6.236748
0.020000,1.291893,7.832973,1.101301,1.002203,0.006153,-0.001445,6.236594
0.020000,1.311917,7.832037,1.121347,1.002327,0.006174,0.001030,6.236430
0.020000,1.331944,7.831099,1.141396,1.002450,0.006190,0.000837,6.236258
0.020000,1.351974,7.830156,1.161448,1.002573,0.006155,-0.001783,6.236078
0.020000,1.372005,7.829210,1.181502,1.002697,0.006176,0.001094,6.235889
0.020000,1.392039,7.828260,1.201558,1.002821,0.006200,0.001179,6.235691
0.020000,1.412075,7.827305,1.221617,1.002944,0.006157,-0.002152,6.235484
0.020000,1.432114,7.826347,1.241678,1.003068,0.006179,0.001118,6.235269
0.020000,1.452154,7.825383,1.261742,1.003192,0.006211,0.001595,6.235045
0.020000,1.472197,7.824415,1.281808,1.003315,0.006160,-0.002555,6.234812
0.020000,1.492243,7.823443,1.301877,1.003439,0.006182,0.001098,6.234571
0.020000,1.512290,7.822465,1.321948,1.003563,0.006224,0.002091,6.234321
0.020000,1.532340,7.821482,1.342022,1.003687,0.006164,-0.002996,6.234062
0.020000,1.552392,7.820493,1.362098,1.003810,0.006185,0.001030,6.233795
0.020000,1.572446,7.819499,1.382177,1.003935,0.006238,0.002675,6.233518
0.020000,1.592502,7.818499,1.402258,1.004058,0.006169,-0.003476,6.233234
0.020000,1.612560,7.817494,1.422342,1.004182,0.006187,0.000911,6.232940
0.020000,1.632621,7.816482,1.442428,1.004307,0.006254,0.003353,6.232638
0.020000,1.652684,7.815464,1.462517,1.004431,0.006174,-0.004000,6.232327
0.020000,1.672749,7.814439,1.482608,1.004554,0.006189,0.000736,6.232007
0.020000,1.692816,7.813408,1.502701,1.004680,0.006271,0.004133,6.231679
0.020000,1.712885,7.812370,1.522797,1.004803,0.006180,-0.004572,6.231342
0.020000,1.732956,7.811325,1.542896,1.004927,0.006190,0.000501,6.230996
0.020000,1.753030,7.810273,1.562997,1.005053,0.006290,0.005024,6.230642
0.020000,1.773106,7.809213,1.583100,1.005177,0.006186,-0.005193,6.230278
0.020000,1.793183,7.808146,1.603206,1.005301,0.006190,0.000201,6.229906
0.020000,1.813263,7.807072,1.623315,1.005427,0.006311,0.006033,6.229525
0.020000,1.833345,7.805989,1.643426,1.005551,0.006194,-0.005869,6.229136
