dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.162746,7.315004,0.000004,0.000400,0.020000,1.000000,6.232089
0.020000,0.162746,7.315004,0.000004,0.000004,-0.019817,-1.990829,6.232090
0.020000,0.162746,7.315004,0.000004,0.000008,0.000229,1.002292,6.232090
0.020000,0.162746,7.315003,0.000005,0.000015,0.000321,0.004583,6.232091
0.020000,0.162747,7.315003,0.000005,0.000023,0.000413,0.004580,6.232093
0.020000,0.162747,7.315003,0.000006,0.000033,0.000504,0.004575,6.232095
0.020000,0.162748,7.315003,0.000007,0.000045,0.000595,0.004567,6.232098
0.020000,0.162749,7.315003,0.000008,0.000059,0.000686,0.004557,6.232102
0.020000,0.162751,7.315003,0.000009,0.000074,0.000777,0.004543,6.232108
0.020000,0.162753,7.315003,0.000011,0.000092,0.000868,0.004525,6.232114
0.020000,0.162755,7.315003,0.000013,0.000111,0.000958,0.004502,6.232122
0.020000,0.162757,7.315003,0.000016,0.000132,0.001047,0.004475,6.232131
0.020000,0.162760,7.315003,0.000019,0.000154,0.001136,0.004442,6.232142
0.020000,0.162764,7.315003,0.000023,0.000179,0.001224,0.004403,6.232154
0.020000,0.162768,7.315002,0.000027,0.000205,0.001311,0.004358,6.232169
0.020000,0.162773,7.315002,0.000031,0.000233,0.001398,0.004306,6.232185
0.020000,0.162778,7.315002,0.000037,0.000263,0.001482,0.004246,6.232204
0.020000,0.163734,7.314953,0.000994,0.047851,2.379424,118.897075,6.232224
0.020000,0.165182,7.314879,0.002444,0.072527,1.233773,-57.282558,6.232247
0.020000,0.166788,7.314797,0.004051,0.080361,0.391741,-42.101607,6.232273
0.020000,0.168557,7.314707,0.005823,0.088598,0.411824,1.004143,6.232300
0.020000,0.170499,7.314608,0.007768,0.097236,0.431896,1.003622,6.232331
0.020000,0.172622,7.314500,0.009894,0.106274,0.451903,1.000336,6.232364
0.020000,0.174934,7.314383,0.012208,0.115715,0.472055,1.007638,6.232400
0.020000,0.177441,7.314255,0.014719,0.125558,0.492132,1.003817,6.232440
