dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.471982,5.385000,0.000004,0.000400,0.020000,1.000000,6.281319
0.020000,1.471980,5.385000,0.000006,0.000080,-0.015989,-1.799437,6.281325
0.020000,1.471976,5.385000,0.000009,0.000181,0.005014,1.050143,6.281338
0.020000,1.471970,5.385000,0.000016,0.000321,0.007020,0.100289,6.281360
0.020000,1.471960,5.385000,0.000026,0.000501,0.009026,0.100299,6.281395
0.020000,1.471946,5.385000,0.000040,0.000722,0.011032,0.100315,6.281446
0.020000,1.471926,5.385000,0.000060,0.000983,0.013039,0.100340,6.281515
0.020000,1.471900,5.385000,0.000085,0.001284,0.015046,0.100374,6.281605
0.020000,1.471868,5.385000,0.000118,0.001625,0.017055,0.100419,6.281719
0.020000,1.471828,5.385000,0.000158,0.002006,0.019064,0.100477,6.281860
0.020000,1.471779,5.385000,0.000207,0.002428,0.021075,0.100549,6.282030
0.020000,1.471721,5.385000,0.000264,0.002889,0.023088,0.100636,6.282233
0.020000,1.471653,5.385000,0.000332,0.003391,0.025103,0.100741,6.282471
0.020000,1.471575,5.385000,0.000411,0.003934,0.027120,0.100865,6.282747
0.020000,1.471484,5.385000,0.000501,0.004517,0.029140,0.101009,6.283064
0.020000,1.472061,5.385000,0.001078,0.028856,1.216952,59.390582,0.000240
0.020000,1.473102,5.385001,0.002119,0.052012,1.157804,-2.957375,0.000647
0.020000,1.474268,5.385002,0.003284,0.058290,0.313917,-42.194385,0.001104
0.020000,1.475566,5.385003,0.004583,0.064921,0.331544,0.881362,0.001613
0.020000,1.477005,5.385006,0.006022,0.071953,0.351601,1.002872,0.002178
0.020000,1.478592,5.385010,0.007609,0.079335,0.369119,0.875898,0.002802
0.020000,1.480332,5.385015,0.009349,0.087025,0.384459,0.766982,0.003486
0.020000,1.482235,5.385023,0.011252,0.095140,0.405759,1.064972,0.004235
0.020000,1.484306,5.385032,0.013323,0.103571,0.421578,0.790974,0.005051
0.020000,1.486553,5.385045,0.015570,0.112356,0.439246,0.883399,0.005938
0.020000,1.488984,5.385060,0.018001,0.121531,0.458741,0.974773,0.006898
0.020000,1.491604,5.385080,0.020622,0.131025,0.474670,0.796448,0.007934
0.020000,1.494422,5.385104,0.023439,0.140889,0.493208,0.926892,0.009050
0.020000,1.497445,5.385133,0.026462,0.151131,0.512109,0.945054,0.010250
0.020000,1.500678,5.385168,0.029695,0.161671,0.527017,0.745387,0.011534
0.020000,1.504130,5.385210,0.033148,0.172613,0.547075,1.002889,0.012909
0.020000,1.507808,5.385260,0.036826,0.183916,0.565149,0.903707,0.014376
0.020000,1.511718,5.385320,0.040737,0.195535,0.580979,0.791526,0.015938
0.020000,1.515868,5.385389,0.044887,0.207514,0.598954,0.898740,0.017600
0.020000,1.520264,5.385471,0.049284,0.219850,0.616783,0.891429,0.019365
0.020000,1.524914,5.385565,0.053935,0.232539,0.634452,0.883478,0.021236
0.020000,1.529824,5.385674,0.058846,0.245578,0.651950,0.874886,0.023216
0.020000,1.535002,5.385800,0.064026,0.258963,0.669263,0.865657,0.025310
0.020000,1.540454,5.385944,0.069479,0.272691,0.686379,0.855798,0.027521
0.020000,1.546187,5.386108,0.075214,0.286757,0.703286,0.845318,0.029853
0.020000,1.552208,5.386296,0.081238,0.301197,0.722025,0.936975,0.032309
0.020000,1.558524,5.386508,0.087558,0.315985,0.739390,0.868228,0.034894
0.020000,1.565141,5.386748,0.094179,0.331055,0.753515,0.706284,0.037611
0.020000,1.572067,5.387018,0.101111,0.346564,0.775426,1.095526,0.040465
0.020000,1.579306,5.387322,0.108357,0.362304,0.786998,0.578591,0.043458
0.020000,1.586869,5.387663,0.115927,0.378508,0.810208,1.160498,0.046597
0.020000,1.594759,5.388044,0.123826,0.394956,0.822419,0.610555,0.049884
0.020000,1.602983,5.388469,0.132061,0.411761,0.840236,0.890843,0.053324
0.020000,1.611548,5.388941,0.140639,0.428916,0.857770,0.876726,0.056922
0.020000,1.620461,5.389466,0.149568,0.446418,0.875091,0.866042,0.060682
0.020000,1.629721,5.390047,0.158846,0.463895,0.873857,-0.061691,0.064605
0.020000,1.639319,5.390688,0.168466,0.480997,0.855068,-0.939453,0.068691
0.020000,1.649249,5.391392,0.178420,0.497710,0.835677,-0.969577,0.072937
0.020000,1.659500,5.392164,0.188700,0.514034,0.816190,-0.974342,0.077341
0.020000,1.670066,5.393007,0.199300,0.529965,0.796543,-0.982357,0.081903
0.020000,1.680939,5.393925,0.210212,0.545605,0.781993,-0.727503,0.086620
0.020000,1.692110,5.394922,0.221427,0.560760,0.757772,-1.211042,0.091492
0.020000,1.703572,5.396003,0.232940,0.575639,0.743929,-0.692119,0.096515
0.020000,1.715316,5.397171,0.244741,0.590064,0.721247,-1.134134,0.101689
0.020000,1.727333,5.398429,0.256824,0.604155,0.704543,-0.835169,0.107010
0.020000,1.739616,5.399783,0.269182,0.617894,0.686987,-0.877835,0.112478
0.020000,1.752157,5.401235,0.281807,0.631232,0.666884,-1.005140,0.118090
0.020000,1.764947,5.402790,0.294691,0.644208,0.648817,-0.903345,0.123844
0.020000,1.777978,5.404451,0.307827,0.656821,0.630654,-0.908124,0.129737
0.020000,1.791242,5.406222,0.321209,0.669070,0.612423,-0.911555,0.135767
0.020000,1.804730,5.408107,0.334828,0.680953,0.594150,-0.913677,0.141931
0.020000,1.818434,5.410109,0.348677,0.692470,0.575859,-0.914537,0.148227
0.020000,1.832346,5.412232,0.362751,0.703673,0.560149,-0.785491,0.154651
0.020000,1.846458,5.414479,0.377040,0.714473,0.540003,-1.007313,0.161201
0.020000,1.860760,5.416854,0.391538,0.724905,0.521586,-0.920866,0.167872
0.020000,1.875246,5.419359,0.406239,0.735057,0.507590,-0.699782,0.174663
0.020000,1.889906,5.421999,0.421135,0.744773,0.485828,-1.088118,0.181568
0.020000,1.904733,5.424774,0.436219,0.754222,0.472444,-0.669195,0.188585
0.020000,1.919717,5.427689,0.451484,0.763259,0.451831,-1.030645,0.195710
0.020000,1.934851,5.430747,0.466924,0.771995,0.436799,-0.751563,0.202939
0.020000,1.950127,5.433948,0.482532,0.780387,0.419613,-0.859350,0.210266
0.020000,1.965536,5.437297,0.498301,0.788423,0.401814,-0.889926,0.217689
0.020000,1.981070,5.440794,0.514223,0.796130,0.385364,-0.822513,0.225202
0.020000,1.996720,5.444442,0.530293,0.803509,0.368935,-0.821418,0.232800
0.020000,2.012480,5.448242,0.546505,0.810562,0.352623,-0.815617,0.240480
0.020000,2.028340,5.452197,0.562850,0.817288,0.336312,-0.815564,0.248235
0.020000,2.044293,5.456307,0.579324,0.823679,0.319577,-0.836732,0.256061
0.020000,2.060330,5.460573,0.595919,0.829752,0.303611,-0.798323,0.263952
0.020000,2.076444,5.464997,0.612629,0.835505,0.287657,-0.797684,0.271903
0.020000,2.092626,5.469579,0.629448,0.840932,0.271389,-0.813396,0.279908
0.020000,2.108870,5.474319,0.646368,0.846040,0.255358,-0.801551,0.287961
0.020000,2.125166,5.479217,0.663385,0.850828,0.239397,-0.798051,0.296057
0.020000,2.141507,5.484275,0.680491,0.855298,0.223504,-0.794648,0.304190
0.020000,2.157886,5.489490,0.697680,0.859468,0.208496,-0.750399,0.312353
0.020000,2.174295,5.494863,0.714947,0.863321,0.192684,-0.790616,0.320542
0.020000,2.190727,5.500393,0.732284,0.866846,0.176221,-0.823125,0.328748
0.020000,2.207173,5.506079,0.749685,0.870068,0.161101,-0.755996,0.336968
0.020000,2.223627,5.511920,0.767145,0.872990,0.146091,-0.750509,0.345193
0.020000,2.240081,5.517913,0.784656,0.875574,0.129212,-0.843946,0.353419
0.020000,2.256528,5.524057,0.802214,0.877871,0.114874,-0.716915,0.361639
0.020000,2.272961,5.530351,0.819810,0.879841,0.098474,-0.820001,0.369846
0.020000,2.289373,5.536791,0.837440,0.881499,0.082905,-0.778436,0.378035
0.020000,2.305756,5.543375,0.855098,0.882853,0.067729,-0.758803,0.386200
0.020000,2.322104,5.550100,0.872775,0.883876,0.051109,-0.831015,0.394334
0.020000,2.338411,5.556963,0.890467,0.884605,0.036481,-0.731382,0.402432
0.020000,2.354672,5.563963,0.908170,0.885168,0.028141,-0.417010,0.410490
0.020000,2.370888,5.571097,0.925886,0.885795,0.031367,0.161287,0.418505
0.020000,2.387057,5.578367,0.943615,0.886429,0.031671,0.015220,0.426474
0.020000,2.403181,5.585770,0.961357,0.887126,0.034838,0.158330,0.434395
0.020000,2.419259,5.593307,0.979114,0.887828,0.035146,0.015400,0.442266
0.020000,2.435291,5.600976,0.996886,0.888590,0.038075,0.146489,0.450085
0.020000,2.451277,5.608776,1.014673,0.889360,0.038516,0.022009,0.457848
0.020000,2.467216,5.616707,1.032477,0.890182,0.041095,0.128980,0.465555
0.020000,2.483109,5.624768,1.050297,0.891017,0.041740,0.032214,0.473203
0.020000,2.498956,5.632958,1.068135,0.891895,0.043909,0.108489,0.480789
0.020000,2.514756,5.641275,1.085991,0.892791,0.044783,0.043704,0.488312
0.020000,2.530510,5.649720,1.103865,0.893721,0.046528,0.087208,0.495770
0.020000,2.546218,5.658290,1.121759,0.894674,0.047620,0.054640,0.503161
0.020000,2.561879,5.666985,1.139672,0.895653,0.048958,0.066880,0.510484
0.020000,2.577494,5.675804,1.157605,0.896658,0.050230,0.063617,0.517736
0.020000,2.593062,5.684745,1.175559,0.897682,0.051207,0.048843,0.524915
0.020000,2.608585,5.693809,1.193533,0.898734,0.052599,0.069612,0.532022
0.020000,2.624061,5.702992,1.211529,0.899799,0.053289,0.034461,0.539053
0.020000,2.639492,5.712295,1.229547,0.900893,0.054704,0.070761,0.546008
0.020000,2.654877,5.721716,1.247587,0.901999,0.055279,0.028754,0.552885
0.020000,2.670216,5.731254,1.265650,0.903127,0.056413,0.056716,0.559683
0.020000,2.685509,5.740907,1.283735,0.904270,0.057128,0.035750,0.566401
0.020000,2.700758,5.750675,1.301844,0.905429,0.057966,0.041864,0.573037
0.020000,2.715961,5.760556,1.319976,0.906604,0.058724,0.037902,0.579591
