dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.470918,4.815000,0.000004,0.000400,0.020000,1.000000,6.281319
0.020000,1.470920,4.815000,0.000006,0.000080,-0.015989,-1.799437,6.281325
0.020000,1.470923,4.815000,0.000009,0.000181,0.005014,1.050143,6.281338
0.020000,1.470930,4.815000,0.000016,0.000321,0.007020,0.100289,6.281360
0.020000,1.470940,4.815000,0.000026,0.000501,0.009026,0.100299,6.281395
0.020000,1.470954,4.815000,0.000040,0.000722,0.011032,0.100315,6.281446
0.020000,1.470974,4.815000,0.000060,0.000983,0.013039,0.100340,6.281515
0.020000,1.470999,4.815000,0.000085,0.001284,0.015046,0.100374,6.281605
0.020000,1.471032,4.815000,0.000118,0.001625,0.017055,0.100419,6.281719
0.020000,1.471072,4.815000,0.000158,0.002006,0.019064,0.100477,6.281860
0.020000,1.471121,4.815000,0.000207,0.002428,0.021075,0.100549,6.282030
0.020000,1.471178,4.815000,0.000264,0.002889,0.023088,0.100636,6.282233
0.020000,1.471246,4.815000,0.000332,0.003391,0.025103,0.100741,6.282471
0.020000,1.471325,4.815000,0.000411,0.003934,0.027120,0.100865,6.282747
0.020000,1.471415,4.815000,0.000501,0.004517,0.029140,0.101009,6.283064
0.020000,1.472198,4.815000,0.001284,0.039140,1.731167,85.101314,0.000240
0.020000,1.473471,4.815001,0.002557,0.063627,1.224339,-25.341376,0.000647
0.020000,1.474897,4.815002,0.003983,0.071315,0.384407,-41.996611,0.001104
0.020000,1.476486,4.815004,0.005572,0.079437,0.406109,1.085116,0.001613
0.020000,1.478247,4.815007,0.007333,0.088053,0.430812,1.235141,0.002178
0.020000,1.480189,4.815012,0.009275,0.097102,0.452437,1.081269,0.002802
0.020000,1.482319,4.815019,0.011405,0.106531,0.471428,0.949544,0.003486
0.020000,1.484649,4.815028,0.013735,0.116486,0.497750,1.316095,0.004235
0.020000,1.487186,4.815040,0.016272,0.126834,0.517403,0.982630,0.005051
0.020000,1.489938,4.815055,0.019024,0.137621,0.539360,1.097869,0.005938
0.020000,1.492916,4.815074,0.022002,0.148893,0.563602,1.212111,0.006898
0.020000,1.496127,4.815098,0.025213,0.160563,0.583525,0.996134,0.007934
0.020000,1.499581,4.815127,0.028667,0.172697,0.606697,1.158597,0.009050
0.020000,1.503287,4.815163,0.032373,0.185305,0.630373,1.183775,0.010250
0.020000,1.507252,4.815206,0.036339,0.198289,0.649212,0.941988,0.011534
0.020000,1.511488,4.815258,0.040575,0.211778,0.674432,1.260998,0.012909
0.020000,1.516002,4.815319,0.045089,0.225724,0.697290,1.142900,0.014376
0.020000,1.520802,4.815392,0.049891,0.240073,0.717467,1.008845,0.015938
0.020000,1.525899,4.815478,0.054988,0.254880,0.740352,1.144258,0.017600
0.020000,1.531301,4.815577,0.060391,0.270143,0.763140,1.139381,0.019365
0.020000,1.537017,4.815694,0.066108,0.285859,0.785818,1.133913,0.021236
0.020000,1.543056,4.815828,0.072149,0.302027,0.808375,1.127846,0.023216
0.020000,1.549427,4.815982,0.078522,0.318643,0.830799,1.121178,0.025310
0.020000,1.556139,4.816160,0.085236,0.335704,0.853077,1.113907,0.027521
0.020000,1.563200,4.816362,0.092300,0.353208,0.875197,1.106032,0.029853
0.020000,1.570621,4.816593,0.099724,0.371202,0.899682,1.224214,0.032309
0.020000,1.578409,4.816855,0.107517,0.389653,0.922583,1.145044,0.034894
0.020000,1.586574,4.817151,0.115687,0.408485,0.941598,0.950769,0.037611
0.020000,1.595125,4.817485,0.124245,0.427892,0.970333,1.436750,0.040465
0.020000,1.604070,4.817860,0.133197,0.447620,0.986423,0.804485,0.043458
0.020000,1.613419,4.818282,0.142556,0.467961,1.017006,1.529181,0.046597
0.020000,1.623181,4.818753,0.152329,0.488643,1.034119,0.855631,0.049884
0.020000,1.633363,4.819279,0.162525,0.509809,1.058279,1.207994,0.053324
0.020000,1.643976,4.819865,0.173154,0.531453,1.082213,1.196710,0.056922
0.020000,1.655029,4.820515,0.184226,0.553573,1.106005,1.189604,0.060682
0.020000,1.666520,4.821236,0.195740,0.575711,1.106882,0.043824,0.064605
0.020000,1.678442,4.822032,0.207688,0.597430,1.085985,-1.044837,0.068691
0.020000,1.690786,4.822907,0.220063,0.618716,1.064296,-1.084464,0.072937
0.020000,1.703541,4.823867,0.232854,0.639565,1.042428,-1.093376,0.077341
0.020000,1.716698,4.824917,0.246054,0.659970,1.020287,-1.107059,0.081903
0.020000,1.730251,4.826062,0.259655,0.680059,1.004413,-0.793687,0.086620
0.020000,1.744188,4.827306,0.273646,0.699586,0.976390,-1.401173,0.091492
0.020000,1.758500,4.828656,0.288023,0.718810,0.961195,-0.759748,0.096515
0.020000,1.773178,4.830115,0.302773,0.737507,0.934842,-1.317630,0.101689
0.020000,1.788212,4.831690,0.317889,0.755824,0.915815,-0.951332,0.107010
0.020000,1.803594,4.833384,0.333364,0.773735,0.895576,-1.011957,0.112478
0.020000,1.819313,4.835205,0.349187,0.791175,0.871984,-1.179624,0.118090
0.020000,1.835358,4.837155,0.365351,0.808190,0.850761,-1.061131,0.123844
0.020000,1.851721,4.839241,0.381847,0.824775,0.829230,-1.076558,0.129737
0.020000,1.868392,4.841467,0.398665,0.840923,0.807412,-1.090920,0.135767
0.020000,1.885359,4.843838,0.415798,0.856629,0.785327,-1.104231,0.141931
0.020000,1.902614,4.846359,0.433236,0.871889,0.762997,-1.116507,0.148227
0.020000,1.920146,4.849035,0.450971,0.886763,0.743687,-0.965515,0.154651
0.020000,1.937945,4.851869,0.468993,0.901134,0.718546,-1.257024,0.161201
0.020000,1.955998,4.854867,0.487294,0.915041,0.695329,-1.160833,0.167872
0.020000,1.974298,4.858032,0.505866,0.928589,0.677442,-0.894397,0.174663
0.020000,1.992832,4.861368,0.524698,0.941579,0.649482,-1.397961,0.181568
0.020000,2.011591,4.864880,0.543782,0.954216,0.631844,-0.881915,0.188585
0.020000,2.030561,4.868571,0.563108,0.966312,0.604794,-1.352489,0.195710
0.020000,2.049734,4.872444,0.582668,0.978002,0.584534,-1.013000,0.202939
0.020000,2.069098,4.876502,0.602453,0.989228,0.561275,-1.162974,0.210266
0.020000,2.088641,4.880749,0.622452,0.999967,0.536967,-1.215383,0.217689
0.020000,2.108353,4.885187,0.642657,1.010249,0.514099,-1.143386,0.225202
0.020000,2.128221,4.889818,0.663059,1.020069,0.490996,-1.155187,0.232800
0.020000,2.148236,4.894645,0.683647,1.029425,0.467781,-1.160728,0.240480
