dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.230405,7.353716,0.000004,0.000397,0.019833,0.991648,3.849600
0.020000,5.230405,7.353716,0.000005,0.000039,-0.017887,-1.885980,3.849597
0.020000,5.230403,7.353715,0.000006,0.000088,0.002432,1.015951,3.849591
0.020000,5.230401,7.353712,0.000010,0.000156,0.003404,0.048573,3.849580
0.020000,5.230397,7.353709,0.000014,0.000243,0.004373,0.048458,3.849563
0.020000,5.230392,7.353705,0.000021,0.000350,0.005338,0.048270,3.849538
0.020000,5.230385,7.353699,0.000031,0.000476,0.006298,0.047990,3.849505
0.020000,5.230375,7.353691,0.000043,0.000621,0.007250,0.047600,3.849461
0.020000,5.230363,7.353680,0.000059,0.000785,0.008192,0.047082,3.849406
0.020000,5.230349,7.353668,0.000078,0.000967,0.009120,0.046418,3.849338
0.020000,5.230123,7.353474,0.000376,0.014871,0.695195,34.303730,3.849256
0.020000,5.229668,7.353085,0.000975,0.029945,0.753711,2.925824,3.849159
0.020000,5.229133,7.352628,0.001678,0.035140,0.259747,-24.698214,3.849045
0.020000,5.228514,7.352099,0.002492,0.040747,0.280326,1.028930,3.848914
0.020000,5.227803,7.351491,0.003428,0.046767,0.301042,1.035825,3.848763
0.020000,5.226994,7.350800,0.004492,0.053199,0.321571,1.026455,3.848593
0.020000,5.226081,7.350020,0.005693,0.060043,0.342208,1.031864,3.848402
0.020000,5.225057,7.349146,0.007039,0.067296,0.362621,1.020649,3.848189
0.020000,5.223917,7.348173,0.008538,0.074958,0.383107,1.024301,3.847953
0.020000,5.222654,7.347095,0.010198,0.083028,0.403507,1.019957,3.847693
0.020000,5.221261,7.345908,0.012028,0.091504,0.423814,1.015352,3.847410
0.020000,5.219733,7.344606,0.014036,0.100385,0.444053,1.011967,3.847102
0.020000,5.218063,7.343184,0.016229,0.109669,0.464218,1.008263,3.846768
0.020000,5.216245,7.341637,0.018617,0.119354,0.484231,1.000656,3.846409
0.020000,5.214273,7.339960,0.021205,0.129439,0.504227,0.999799,3.846024
0.020000,5.212140,7.338148,0.024004,0.139921,0.524103,0.993766,3.845614
0.020000,5.209840,7.336196,0.027020,0.150797,0.543805,0.985133,3.845178
0.020000,5.207368,7.334100,0.030261,0.162065,0.563403,0.979867,3.844716
0.020000,5.204717,7.331854,0.033735,0.173723,0.582911,0.975411,3.844230
