dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.045064,7.570219,0.000004,0.000397,0.019833,0.991648,3.849600
0.020000,5.045064,7.570219,0.000020,0.001190,0.039666,0.991648,3.849597
0.020000,5.045064,7.570219,0.000056,0.002380,0.059499,0.991648,3.849591
0.020000,5.045064,7.570219,0.000119,0.003967,0.079332,0.991648,3.849580
0.020000,5.045064,7.570219,0.000218,0.005950,0.099165,0.991648,3.849563
0.020000,5.045064,7.570219,0.000361,0.008330,0.118998,0.991648,3.849538
0.020000,5.045064,7.570219,0.000555,0.011106,0.138831,0.991648,3.849505
0.020000,5.045064,7.570219,0.000809,0.014280,0.158664,0.991648,3.849461
0.020000,5.045064,7.570219,0.001130,0.017850,0.178497,0.991648,3.849406
0.020000,5.045064,7.570219,0.001527,0.021816,0.198330,0.991648,3.849338
0.020000,5.044855,7.570041,0.002007,0.026180,0.218163,0.991648,3.849256
0.020000,5.044421,7.569670,0.002578,0.030939,0.237996,0.991648,3.849159
0.020000,5.043912,7.569234,0.003249,0.036096,0.257829,0.991648,3.849045
0.020000,5.043321,7.568729,0.004026,0.041649,0.277662,0.991648,3.848914
0.020000,5.042643,7.568149,0.004919,0.047599,0.297494,0.991648,3.848763
0.020000,5.041871,7.567489,0.005934,0.053946,0.317327,0.991648,3.848593
0.020000,5.040999,7.566745,0.007080,0.060689,0.337160,0.991648,3.848402
0.020000,5.040022,7.565910,0.008366,0.067829,0.356993,0.991648,3.848189
0.020000,5.038932,7.564981,0.009797,0.075365,0.376826,0.991648,3.847953
0.020000,5.037725,7.563951,0.011384,0.083298,0.396659,0.991648,3.847693
0.020000,5.036394,7.562816,0.013133,0.091628,0.416492,0.991648,3.847410
0.020000,5.034933,7.561571,0.015053,0.100355,0.436325,0.991648,3.847102
0.020000,5.033335,7.560211,0.017152,0.109478,0.456158,0.991648,3.846768
0.020000,5.031595,7.558730,0.019436,0.118998,0.475991,0.991648,3.846409
0.020000,5.029706,7.557124,0.021915,0.128914,0.495824,0.991648,3.846024
0.020000,5.027663,7.555388,0.024597,0.139227,0.515657,0.991648,3.845614
0.020000,5.025458,7.553517,0.027488,0.149937,0.535490,0.991648,3.845178
0.020000,5.023086,7.551506,0.030598,0.161044,0.555323,0.991648,3.844716
0.020000,5.020541,7.549349,0.033934,0.172547,0.575156,0.991648,3.844230
0.020000,5.017816,7.547043,0.037504,0.184447,0.594989,0.991648,3.843720
0.020000,5.014905,7.544582,0.041316,0.196743,0.614822,0.991648,3.843187
0.020000,5.011802,7.541961,0.045378,0.209436,0.634655,0.991648,3.842631
0.020000,5.008500,7.539176,0.049697,0.222526,0.654488,0.991648,3.842055
0.020000,5.004994,7.536221,0.054283,0.236012,0.674321,0.991648,3.841460
0.020000,5.001276,7.533092,0.059142,0.249895,0.694154,0.991648,3.840848
0.020000,4.997341,7.529785,0.064283,0.264175,0.713987,0.991648,3.840222
0.020000,4.993181,7.526294,0.069713,0.278851,0.733820,0.991648,3.839583
0.020000,4.988792,7.522614,0.075441,0.293925,0.753653,0.991648,3.838935
0.020000,4.984166,7.518741,0.081474,0.309394,0.773486,0.991648,3.838281
0.020000,4.979297,7.514670,0.087820,0.325261,0.793319,0.991648,3.837624
0.020000,4.974179,7.510397,0.094488,0.341524,0.813152,0.991648,3.836969
0.020000,4.968805,7.505916,0.101485,0.358183,0.832985,0.991648,3.836320
0.020000,4.963169,7.501222,0.108820,0.375240,0.852818,0.991648,3.835681
0.020000,4.957265,7.496312,0.116499,0.392693,0.872650,0.991648,3.835058
0.020000,4.951086,7.491179,0.124531,0.410542,0.892483,0.991648,3.834456
0.020000,4.944626,7.485820,0.132925,0.428789,0.912316,0.991648,3.833882
0.020000,4.937883,7.480231,0.141683,0.447035,0.912316,0.000000,3.833343
0.020000,4.930855,7.474414,0.150806,0.465281,0.912316,0.000000,3.832845
0.020000,4.923544,7.468367,0.160294,0.483528,0.912316,-0.000000,3.832397
0.020000,4.915949,7.462090,0.170147,0.501774,0.912316,0.000000,3.832007
0.020000,4.908073,7.455587,0.180361,0.519624,0.892483,-0.991648,3.831683
0.020000,4.899923,7.448861,0.190928,0.537077,0.872650,-0.991648,3.831435
0.020000,4.891505,7.441917,0.201840,0.554133,0.852818,-0.991648,3.831270
0.020000,4.882826,7.434760,0.213089,0.570793,0.832985,-0.991648,3.831198
0.020000,4.873894,7.427393,0.224668,0.587056,0.813152,-0.991648,3.831228
0.020000,4.864714,7.419821,0.236568,0.602922,0.793319,-0.991648,3.831368
0.020000,4.855294,7.412048,0.248781,0.618392,0.773486,-0.991648,3.831628
0.020000,4.845640,7.404077,0.261299,0.633465,0.753653,-0.991648,3.832015
0.020000,4.835762,7.395913,0.274115,0.648141,0.733820,-0.991648,3.832540
0.020000,4.825665,7.387558,0.287221,0.662421,0.713987,-0.991648,3.833211
0.020000,4.815357,7.379015,0.300608,0.676304,0.694154,-0.991648,3.834035
0.020000,4.804846,7.370289,0.314269,0.689791,0.674321,-0.991648,3.835023
0.020000,4.794141,7.361381,0.328196,0.702880,0.654488,-0.991648,3.836183
0.020000,4.783249,7.352295,0.342380,0.715573,0.634655,-0.991648,3.837523
0.020000,4.772178,7.343033,0.356815,0.727870,0.614822,-0.991648,3.839051
0.020000,4.760937,7.333597,0.371491,0.739770,0.594989,-0.991648,3.840777
0.020000,4.749534,7.323990,0.386402,0.751273,0.575156,-0.991648,3.842708
0.020000,4.737978,7.314213,0.401538,0.762379,0.555323,-0.991648,3.844853
0.020000,4.726278,7.304270,0.416893,0.773089,0.535490,-0.991648,3.847219
0.020000,4.714443,7.294161,0.432458,0.783402,0.515657,-0.991648,3.849816
0.020000,4.702482,7.283888,0.448225,0.793319,0.495824,-0.991648,3.852650
0.020000,4.690404,7.273452,0.464187,0.802838,0.475991,-0.991648,3.855730
0.020000,4.678219,7.262856,0.480335,0.811962,0.456158,-0.991648,3.859063
0.020000,4.665937,7.252099,0.496661,0.820688,0.436325,-0.991648,3.862657
0.020000,4.653567,7.241185,0.513158,0.829018,0.416492,-0.991648,3.866519
0.020000,4.641119,7.230112,0.529818,0.836951,0.396659,-0.991648,3.870657
0.020000,4.628603,7.218884,0.546632,0.844488,0.376826,-0.991648,3.875078
0.020000,4.616030,7.207499,0.563593,0.851628,0.356993,-0.991648,3.879788
0.020000,4.603410,7.195961,0.580693,0.858371,0.337160,-0.991648,3.884794
0.020000,4.590754,7.184268,0.597924,0.864717,0.317327,-0.991648,3.890104
0.020000,4.578072,7.172422,0.615278,0.870667,0.297494,-0.991648,3.895722
0.020000,4.565374,7.160425,0.632747,0.876220,0.277662,-0.991648,3.901654
0.020000,4.552673,7.148276,0.650323,0.881377,0.257829,-0.991648,3.907907
0.020000,4.539979,7.135977,0.667998,0.886137,0.237996,-0.991648,3.914485
0.020000,4.527302,7.123529,0.685764,0.890500,0.218163,-0.991648,3.921393
0.020000,4.514656,7.110933,0.703614,0.894467,0.198330,-0.991648,3.928636
0.020000,4.502050,7.098190,0.721539,0.898037,0.178497,-0.991648,3.936216
0.020000,4.489495,7.085301,0.739532,0.901210,0.158664,-0.991648,3.944137
0.020000,4.477005,7.072268,0.757584,0.903987,0.138831,-0.991648,3.952402
0.020000,4.464590,7.059092,0.775687,0.906367,0.118998,-0.991648,3.961013
0.020000,4.452261,7.045776,0.793834,0.908350,0.099165,-0.991648,3.969969
0.020000,4.440030,7.032322,0.812017,0.909936,0.079332,-0.991648,3.979273
0.020000,4.427909,7.018731,0.830228,0.911126,0.059499,-0.991648,3.988922
0.020000,4.415908,7.005008,0.848458,0.911920,0.039666,-0.991648,3.998915
0.020000,4.404040,6.991154,0.866701,0.912316,0.019833,-0.991648,4.009251
0.020000,4.392317,6.977174,0.884945,0.912164,-0.007619,-1.372619,4.019923
0.020000,4.380751,6.963073,0.903183,0.911615,-0.027452,-0.991648,4.030927
0.020000,4.369352,6.948856,0.921406,0.910669,-0.047285,-0.991648,4.042255
0.020000,4.358131,6.934527,0.939606,0.909327,-0.067118,-0.991648,4.053901
0.020000,4.347098,6.920091,0.957775,0.907588,-0.086951,-0.991648,4.065856
0.020000,4.336265,6.905553,0.975906,0.905452,-0.106784,-0.991648,4.078109
0.020000,4.325640,6.890920,0.993989,0.902920,-0.126617,-0.991648,4.090648
0.020000,4.315232,6.876198,1.012018,0.899991,-0.146450,-0.991648,4.103462
0.020000,4.305052,6.861395,1.029985,0.896665,-0.166283,-0.991648,4.116536
0.020000,4.295107,6.846516,1.047881,0.892943,-0.186116,-0.991648,4.129853
