dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.882483,7.760134,0.000004,0.000397,0.019833,0.991648,3.849600
0.020000,4.882484,7.760134,0.000005,0.000034,-0.018126,-1.897931,3.849597
0.020000,4.882485,7.760135,0.000006,0.000077,0.002134,1.012966,3.849591
0.020000,4.882487,7.760137,0.000009,0.000137,0.002986,0.042608,3.849580
0.020000,4.882490,7.760140,0.000013,0.000213,0.003836,0.042507,3.849563
0.020000,4.882495,7.760144,0.000019,0.000307,0.004683,0.042342,3.849538
0.020000,4.882501,7.760149,0.000028,0.000417,0.005525,0.042096,3.849505
0.020000,4.882510,7.760156,0.000039,0.000545,0.006360,0.041754,3.849461
0.020000,4.882520,7.760165,0.000052,0.000688,0.007186,0.041300,3.849406
0.020000,4.882533,7.760176,0.000069,0.000848,0.008000,0.040717,3.849338
0.020000,4.882340,7.760012,0.000323,0.012679,0.591533,29.176657,3.849256
0.020000,4.881925,7.759656,0.000870,0.027343,0.733208,7.083759,3.849159
0.020000,4.881437,7.759239,0.001512,0.032095,0.237614,-24.779708,3.849045
0.020000,4.880871,7.758755,0.002256,0.037228,0.256629,0.950723,3.848914
0.020000,4.880221,7.758200,0.003111,0.042745,0.275829,0.960033,3.848763
0.020000,4.879482,7.757568,0.004084,0.048643,0.294928,0.954944,3.848593
0.020000,4.878646,7.756854,0.005183,0.054927,0.314205,0.963853,3.848402
0.020000,4.877709,7.756054,0.006414,0.061595,0.333367,0.958082,3.848189
0.020000,4.876665,7.755163,0.007787,0.068649,0.352696,0.966462,3.847953
0.020000,4.875507,7.754175,0.009309,0.076090,0.372059,0.968114,3.847693
0.020000,4.874230,7.753086,0.010988,0.083919,0.391461,0.970137,3.847410
0.020000,4.872827,7.751891,0.012830,0.092138,0.410940,0.973921,3.847102
0.020000,4.871293,7.750585,0.014845,0.100748,0.430501,0.978088,3.846768
0.020000,4.869621,7.749163,0.017040,0.109750,0.450089,0.979368,3.846409
0.020000,4.867806,7.747619,0.019423,0.119146,0.469840,0.987583,3.846024
0.020000,4.865841,7.745950,0.022002,0.128940,0.489677,0.991804,3.845614
0.020000,4.863719,7.744149,0.024785,0.139131,0.509565,0.994410,3.845178
0.020000,4.861435,7.742212,0.027779,0.149723,0.529583,1.000925,3.844716
0.020000,4.858983,7.740134,0.030993,0.160718,0.549764,1.009038,3.844230
0.020000,4.856355,7.737910,0.034436,0.172119,0.570031,1.013346,3.843720
0.020000,4.853546,7.735535,0.038114,0.183928,0.590450,1.020945,3.843187
0.020000,4.850549,7.733004,0.042037,0.196147,0.610986,1.026806,3.842631
0.020000,4.847357,7.730312,0.046213,0.208781,0.631694,1.035396,3.842055
0.020000,4.843965,7.727453,0.050650,0.221833,0.652600,1.045291,3.841460
0.020000,4.840364,7.724423,0.055356,0.235306,0.673646,1.052291,3.840848
0.020000,4.836548,7.721216,0.060340,0.249203,0.694852,1.060343,3.840222
0.020000,4.832512,7.717827,0.065610,0.263529,0.716274,1.071071,3.839583
0.020000,4.828246,7.714252,0.071176,0.278287,0.737919,1.082260,3.838935
0.020000,4.823746,7.710484,0.077046,0.293483,0.759797,1.093898,3.838281
0.020000,4.819003,7.706518,0.083228,0.309119,0.781791,1.099705,3.837624
0.020000,4.814010,7.702350,0.089732,0.325202,0.804158,1.118372,3.836969
0.020000,4.808761,7.697973,0.096567,0.341736,0.826693,1.126705,3.836320
0.020000,4.803248,7.693382,0.103741,0.358726,0.849510,1.140863,3.835681
0.020000,4.797463,7.688571,0.111265,0.376178,0.872606,1.154790,3.835058
0.020000,4.791400,7.683534,0.119147,0.394097,0.895943,1.166885,3.834456
0.020000,4.785051,7.678267,0.127397,0.412490,0.919650,1.185317,3.833882
0.020000,4.778411,7.672764,0.136020,0.431167,0.933856,0.710310,3.833343
0.020000,4.771480,7.667026,0.145019,0.449938,0.938536,0.233993,3.832845
0.020000,4.764255,7.661050,0.154395,0.468806,0.943394,0.242931,3.832397
0.020000,4.756734,7.654836,0.164150,0.487775,0.948464,0.253470,3.832007
0.020000,4.748921,7.648384,0.174283,0.506652,0.943859,-0.230229,3.831683
0.020000,4.740819,7.641697,0.184788,0.525243,0.929522,-0.716862,3.831435
0.020000,4.732433,7.634780,0.195659,0.543547,0.915195,-0.716356,3.831270
0.020000,4.723768,7.627634,0.206891,0.561564,0.900887,-0.715367,3.831198
0.020000,4.714830,7.620262,0.218476,0.579296,0.886593,-0.714738,3.831228
0.020000,4.705623,7.612668,0.230411,0.596742,0.872291,-0.715089,3.831368
0.020000,4.696153,7.604854,0.242689,0.613902,0.857991,-0.715021,3.831628
0.020000,4.686425,7.596821,0.255305,0.630775,0.843677,-0.715677,3.832015
0.020000,4.676445,7.588573,0.268252,0.647362,0.829335,-0.717105,3.832540
0.020000,4.666219,7.580111,0.281525,0.663661,0.814965,-0.718517,3.833211
0.020000,4.655752,7.571438,0.295119,0.679673,0.800599,-0.718296,3.834035
0.020000,4.645052,7.562553,0.309027,0.695397,0.786170,-0.721431,3.835023
0.020000,4.634123,7.553460,0.323243,0.710831,0.771705,-0.723228,3.836183
0.020000,4.622974,7.544159,0.337763,0.725975,0.757207,-0.724943,3.837523
0.020000,4.611610,7.534652,0.352579,0.740829,0.742678,-0.726410,3.839051
0.020000,4.600038,7.524939,0.367687,0.755391,0.728114,-0.728221,3.840777
0.020000,4.588266,7.515021,0.383080,0.769659,0.713423,-0.734534,3.842708
0.020000,4.576301,7.504898,0.398753,0.783635,0.698782,-0.732073,3.844853
0.020000,4.564150,7.494571,0.414699,0.797316,0.684046,-0.736810,3.847219
0.020000,4.551822,7.484040,0.430913,0.810700,0.669211,-0.741739,3.849816
0.020000,4.539323,7.473306,0.447389,0.823787,0.654343,-0.743392,3.852650
0.020000,4.526663,7.462367,0.464121,0.836575,0.639401,-0.747114,3.855730
0.020000,4.513849,7.451223,0.481102,0.849064,0.624470,-0.746559,3.859063
0.020000,4.500891,7.439875,0.498327,0.861249,0.609241,-0.761409,3.862657
0.020000,4.487797,7.428322,0.515790,0.873132,0.594154,-0.754394,3.866519
0.020000,4.474576,7.416562,0.533484,0.884707,0.578753,-0.770013,3.870657
0.020000,4.461238,7.404595,0.551403,0.895977,0.563500,-0.762644,3.875078
0.020000,4.447792,7.392420,0.569542,0.906935,0.547882,-0.780897,3.879788
0.020000,4.434248,7.380037,0.587894,0.917579,0.532218,-0.783219,3.884794
0.020000,4.420617,7.367444,0.606452,0.927907,0.516407,-0.790537,3.890104
0.020000,4.406908,7.354640,0.625210,0.937916,0.500412,-0.799758,3.895722
0.020000,4.393133,7.341623,0.644162,0.947600,0.484213,-0.809954,3.901654
