dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.359276,6.227284,0.000004,0.000400,0.020000,1.000000,1.606024
0.020000,4.359276,6.227287,0.000007,0.000144,-0.012810,-1.640502,1.606034
0.020000,4.359275,6.227293,0.000013,0.000324,0.008988,1.089898,1.606057
0.020000,4.359275,6.227305,0.000025,0.000575,0.012584,0.179823,1.606098
0.020000,4.359274,6.227323,0.000043,0.000899,0.016183,0.179922,1.606161
0.020000,4.359273,6.227349,0.000069,0.001295,0.019784,0.180084,1.606252
0.020000,4.359272,6.227384,0.000104,0.001762,0.023391,0.180325,1.606375
0.020000,4.359271,6.227430,0.000150,0.002302,0.027004,0.180662,1.606537
0.020000,4.359268,6.227488,0.000208,0.002915,0.030626,0.181108,1.606741
0.020000,4.359266,6.227560,0.000280,0.003600,0.034260,0.181682,1.606994
0.020000,4.359263,6.227647,0.000367,0.004358,0.037908,0.182398,1.607300
0.020000,4.359259,6.227751,0.000471,0.005190,0.041573,0.183273,1.607664
0.020000,4.359238,6.228308,0.001029,0.027872,1.134124,54.627544,1.608092
0.020000,4.359203,6.229233,0.001955,0.046301,0.921419,-10.635264,1.608589
0.020000,4.359163,6.230295,0.003017,0.053129,0.341409,-29.000490,1.609160
0.020000,4.359116,6.231503,0.004227,0.060460,0.366564,1.257725,1.609811
0.020000,4.359062,6.232869,0.005593,0.068324,0.393190,1.331325,1.610548
0.020000,4.359001,6.234399,0.007124,0.076551,0.411376,0.909261,1.611375
0.020000,4.358931,6.236105,0.008832,0.085416,0.443243,1.593354,1.612300
0.020000,4.358851,6.237996,0.010724,0.094602,0.459289,0.802310,1.613327
0.020000,4.358761,6.240082,0.012813,0.104424,0.491069,1.589032,1.614464
0.020000,4.358660,6.242373,0.015106,0.114635,0.510590,0.976049,1.615715
0.020000,4.358546,6.244877,0.017612,0.125342,0.535337,1.237347,1.617088
0.020000,4.358417,6.247606,0.020344,0.136585,0.562162,1.341237,1.618589
0.020000,4.358273,6.250569,0.023311,0.148335,0.587495,1.266655,1.620226
0.020000,4.358111,6.253776,0.026522,0.160552,0.610819,1.166173,1.622005
0.020000,4.357931,6.257237,0.029987,0.173276,0.636231,1.270604,1.623933
0.020000,4.357729,6.260961,0.033718,0.186507,0.661524,1.264645,1.626019
0.020000,4.357503,6.264961,0.037724,0.200308,0.690054,1.426524,1.628271
0.020000,4.357251,6.269245,0.042015,0.214583,0.713777,1.186150,1.630697
0.020000,4.356971,6.273824,0.046602,0.229345,0.738086,1.215432,1.633305
0.020000,4.356658,6.278708,0.051497,0.244733,0.769402,1.565823,1.636106
0.020000,4.356310,6.283908,0.056708,0.260553,0.791022,1.080985,1.639108
0.020000,4.355923,6.289435,0.062249,0.277048,0.824714,1.684598,1.642324
0.020000,4.355493,6.295299,0.068129,0.293998,0.847528,1.140712,1.645762
0.020000,4.355015,6.301512,0.074360,0.311537,0.876917,1.469469,1.649435
0.020000,4.354484,6.308084,0.080953,0.329659,0.906140,1.461105,1.653355
0.020000,4.353895,6.315026,0.087920,0.348363,0.935160,1.451026,1.657534
0.020000,4.353242,6.322350,0.095273,0.367642,0.963945,1.439266,1.661988
0.020000,4.352518,6.330067,0.103024,0.387573,0.996583,1.631893,1.666729
0.020000,4.351715,6.338190,0.111186,0.408094,1.026040,1.472820,1.671775
0.020000,4.350827,6.346729,0.119772,0.429273,1.058932,1.644601,1.677140
