dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.952873,0.505674,0.000004,0.000393,0.019660,0.982978,3.127887
0.020000,2.952873,0.505674,0.000004,0.000017,-0.018817,-1.923804,3.127888
0.020000,2.952874,0.505674,0.000005,0.000038,0.001054,0.993511,3.127891
0.020000,2.952875,0.505674,0.000006,0.000067,0.001475,0.021060,3.127895
0.020000,2.952878,0.505674,0.000008,0.000105,0.001896,0.021038,3.127903
0.020000,2.952881,0.505674,0.000012,0.000152,0.002316,0.021002,3.127913
0.020000,2.952885,0.505674,0.000016,0.000206,0.002735,0.020949,3.127928
0.020000,2.952890,0.505673,0.000021,0.000269,0.003152,0.020876,3.127947
0.020000,2.952897,0.505673,0.000028,0.000341,0.003568,0.020778,3.127971
0.020000,2.952745,0.505675,0.000180,0.007616,0.363763,18.009762,3.128000
0.020000,2.952279,0.505682,0.000646,0.023280,0.783194,20.971532,3.128036
0.020000,2.951725,0.505689,0.001200,0.027706,0.221288,-28.095281,3.128078
0.020000,2.951075,0.505698,0.001850,0.032517,0.240546,0.962917,3.128128
0.020000,2.950321,0.505708,0.002604,0.037713,0.259810,0.963162,3.128185
0.020000,2.949455,0.505720,0.003470,0.043294,0.279080,0.963507,3.128251
0.020000,2.948470,0.505733,0.004456,0.049261,0.298357,0.963844,3.128326
0.020000,2.947357,0.505748,0.005568,0.055614,0.317642,0.964277,3.128411
0.020000,2.946110,0.505764,0.006815,0.062353,0.336937,0.964748,3.128505
0.020000,2.944721,0.505782,0.008204,0.069478,0.356243,0.965278,3.128610
0.020000,2.943181,0.505802,0.009744,0.076989,0.375560,0.965870,3.128725
0.020000,2.941484,0.505824,0.011442,0.084887,0.394891,0.966529,3.128852
0.020000,2.939620,0.505847,0.013305,0.093172,0.414236,0.967258,3.128991
0.020000,2.937584,0.505873,0.015342,0.101844,0.433597,0.968071,3.129143
0.020000,2.935366,0.505900,0.017560,0.110903,0.452976,0.968930,3.129307
0.020000,2.932959,0.505930,0.019967,0.120351,0.472374,0.969901,3.129484
0.020000,2.930355,0.505961,0.022571,0.130186,0.491793,0.970940,3.129674
0.020000,2.927547,0.505994,0.025379,0.140411,0.511234,0.972066,3.129878
0.020000,2.924527,0.506029,0.028400,0.151025,0.530700,0.973283,3.130096
0.020000,2.921287,0.506066,0.031640,0.162029,0.550192,0.974595,3.130328
0.020000,2.917819,0.506105,0.035109,0.173423,0.569712,0.976007,3.130575
0.020000,2.914115,0.506145,0.038813,0.185208,0.589262,0.977514,3.130836
0.020000,2.910167,0.506187,0.042761,0.197385,0.608845,0.979129,3.131111
0.020000,2.905968,0.506230,0.046960,0.209955,0.628462,0.980849,3.131402
0.020000,2.901510,0.506275,0.051418,0.222917,0.648115,0.982683,3.131707
0.020000,2.896785,0.506321,0.056144,0.236273,0.667808,0.984627,3.132027
0.020000,2.891785,0.506368,0.061144,0.250024,0.687542,0.986696,3.132361
0.020000,2.886501,0.506416,0.066428,0.264170,0.707319,0.988877,3.132710
0.020000,2.880927,0.506464,0.072002,0.278713,0.727143,0.991189,3.133072
