dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.956779,0.790647,0.000004,0.000393,0.019660,0.982978,3.127887
0.020000,2.956779,0.790647,0.000020,0.001180,0.039319,0.982978,3.127888
0.020000,2.956779,0.790647,0.000055,0.002359,0.058979,0.982978,3.127891
0.020000,2.956779,0.790647,0.000118,0.003932,0.078638,0.982978,3.127895
0.020000,2.956779,0.790647,0.000216,0.005898,0.098298,0.982978,3.127903
0.020000,2.956779,0.790647,0.000358,0.008257,0.117957,0.982978,3.127913
0.020000,2.956779,0.790647,0.000550,0.011009,0.137617,0.982978,3.127928
0.020000,2.956779,0.790647,0.000802,0.014155,0.157276,0.982978,3.127947
0.020000,2.956779,0.790647,0.001121,0.017694,0.176936,0.982978,3.127971
0.020000,2.956618,0.790649,0.001514,0.021626,0.196596,0.982978,3.128000
0.020000,2.956143,0.790656,0.001990,0.025951,0.216255,0.982978,3.128036
0.020000,2.955576,0.790663,0.002556,0.030669,0.235915,0.982978,3.128078
0.020000,2.954912,0.790672,0.003220,0.035780,0.255574,0.982978,3.128128
0.020000,2.954141,0.790683,0.003991,0.041285,0.275234,0.982978,3.128185
0.020000,2.953257,0.790694,0.004876,0.047183,0.294893,0.982978,3.128251
0.020000,2.952250,0.790708,0.005882,0.053474,0.314553,0.982978,3.128326
0.020000,2.951114,0.790723,0.007018,0.060158,0.334212,0.982978,3.128411
0.020000,2.949840,0.790740,0.008292,0.067236,0.353872,0.982978,3.128505
0.020000,2.948421,0.790758,0.009712,0.074706,0.373532,0.982978,3.128610
0.020000,2.946848,0.790778,0.011285,0.082570,0.393191,0.982978,3.128725
0.020000,2.945115,0.790801,0.013019,0.090827,0.412851,0.982978,3.128852
0.020000,2.943212,0.790825,0.014922,0.099477,0.432510,0.982978,3.128991
0.020000,2.941132,0.790851,0.017002,0.108521,0.452170,0.982978,3.129143
0.020000,2.938867,0.790879,0.019266,0.117957,0.471829,0.982978,3.129307
0.020000,2.936410,0.790909,0.021724,0.127787,0.491489,0.982978,3.129484
0.020000,2.933752,0.790941,0.024382,0.138010,0.511148,0.982978,3.129674
0.020000,2.930886,0.790975,0.027248,0.148626,0.530808,0.982978,3.129878
0.020000,2.927804,0.791010,0.030331,0.159636,0.550468,0.982978,3.130096
0.020000,2.924497,0.791048,0.033637,0.171038,0.570127,0.982978,3.130328
0.020000,2.920959,0.791087,0.037176,0.182834,0.589787,0.982978,3.130575
0.020000,2.917180,0.791128,0.040955,0.195023,0.609446,0.982978,3.130836
0.020000,2.913154,0.791171,0.044981,0.207605,0.629106,0.982978,3.131111
0.020000,2.908873,0.791216,0.049263,0.220580,0.648765,0.982978,3.131402
0.020000,2.904328,0.791261,0.053808,0.233949,0.668425,0.982978,3.131707
0.020000,2.899511,0.791308,0.058625,0.247710,0.688084,0.982978,3.132027
0.020000,2.894416,0.791356,0.063721,0.261865,0.707744,0.982978,3.132361
0.020000,2.889033,0.791405,0.069103,0.276413,0.727404,0.982978,3.132710
0.020000,2.883356,0.791454,0.074781,0.291355,0.747063,0.982978,3.133072
0.020000,2.877375,0.791504,0.080761,0.306689,0.766723,0.982978,3.133449
