dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,13.854108,0.112385,0.000004,0.000400,0.020000,1.000000,1.577898
0.020000,13.854108,0.112385,0.000004,0.000003,-0.019874,-1.993700,1.577899
0.020000,13.854108,0.112385,0.000004,0.000006,0.000158,1.001575,1.577899
0.020000,13.854108,0.112384,0.000004,0.000010,0.000220,0.003150,1.577900
0.020000,13.854108,0.112384,0.000005,0.000016,0.000283,0.003149,1.577901
0.020000,13.854108,0.112384,0.000005,0.000023,0.000346,0.003149,1.577903
0.020000,13.854108,0.112383,0.000006,0.000031,0.000409,0.003147,1.577905
0.020000,13.854108,0.112382,0.000007,0.000040,0.000472,0.003146,1.577909
0.020000,13.854108,0.112381,0.000008,0.000051,0.000535,0.003144,1.577913
0.020000,13.854108,0.112380,0.000009,0.000063,0.000598,0.003141,1.577918
0.020000,13.854108,0.112378,0.000010,0.000076,0.000661,0.003138,1.577924
0.020000,13.854108,0.112377,0.000012,0.000091,0.000723,0.003134,1.577931
0.020000,13.854108,0.112375,0.000014,0.000106,0.000786,0.003129,1.577940
0.020000,13.854108,0.112372,0.000017,0.000123,0.000848,0.003123,1.577950
0.020000,13.854108,0.112369,0.000020,0.000142,0.000911,0.003116,1.577961
0.020000,13.854108,0.112366,0.000023,0.000161,0.000973,0.003108,1.577974
0.020000,13.854108,0.112362,0.000026,0.000182,0.001035,0.003099,1.577988
0.020000,13.854100,0.113483,0.001147,0.056042,2.793016,139.599069,1.578005
0.020000,13.854090,0.114923,0.002587,0.071973,0.796557,-99.822952,1.578023
0.020000,13.854078,0.116518,0.004182,0.079749,0.388780,-20.388887,1.578043
0.020000,13.854065,0.118276,0.005940,0.087923,0.408718,0.996933,1.578065
0.020000,13.854051,0.120206,0.007870,0.096496,0.428659,0.997028,1.578089
0.020000,13.854036,0.122315,0.009979,0.105468,0.448601,0.997107,1.578116
0.020000,13.854019,0.124612,0.012276,0.114839,0.468536,0.996775,1.578145
0.020000,13.854001,0.127104,0.014768,0.124609,0.488477,0.997019,1.578176
0.020000,13.853981,0.129799,0.017464,0.134777,0.508424,0.997358,1.578210
0.020000,13.853959,0.132706,0.020371,0.145344,0.528358,0.996695,1.578246
0.020000,13.853936,0.135832,0.023497,0.156310,0.548304,0.997288,1.578285
0.020000,13.853911,0.139186,0.026851,0.167675,0.568246,0.997100,1.578327
0.020000,13.853883,0.142774,0.030439,0.179439,0.588187,0.997067,1.578372
0.020000,13.853854,0.146606,0.034271,0.191602,0.608133,0.997321,1.578420
0.020000,13.853823,0.150690,0.038355,0.204163,0.628075,0.997098,1.578471
