dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,14.354095,0.115936,0.000004,0.000400,0.020000,1.000000,1.577898
0.020000,14.354095,0.115936,0.000004,0.000003,-0.019874,-1.993700,1.577899
0.020000,14.354095,0.115936,0.000004,0.000006,0.000158,1.001575,1.577899
0.020000,14.354095,0.115936,0.000004,0.000010,0.000220,0.003150,1.577900
0.020000,14.354095,0.115937,0.000005,0.000016,0.000283,0.003149,1.577901
0.020000,14.354095,0.115937,0.000005,0.000023,0.000346,0.003149,1.577903
0.020000,14.354095,0.115938,0.000006,0.000031,0.000409,0.003147,1.577905
0.020000,14.354095,0.115938,0.000007,0.000040,0.000472,0.003146,1.577909
0.020000,14.354095,0.115939,0.000008,0.000051,0.000535,0.003144,1.577913
0.020000,14.354095,0.115941,0.000009,0.000063,0.000598,0.003141,1.577918
0.020000,14.354095,0.115942,0.000010,0.000076,0.000661,0.003138,1.577924
0.020000,14.354095,0.115944,0.000012,0.000091,0.000723,0.003134,1.577931
0.020000,14.354095,0.115946,0.000014,0.000106,0.000786,0.003129,1.577940
0.020000,14.354095,0.115949,0.000017,0.000123,0.000848,0.003123,1.577950
0.020000,14.354095,0.115951,0.000020,0.000142,0.000911,0.003116,1.577961
0.020000,14.354095,0.115955,0.000023,0.000161,0.000973,0.003108,1.577974
0.020000,14.354095,0.115958,0.000026,0.000182,0.001035,0.003099,1.577988
0.020000,14.354087,0.117087,0.001155,0.056449,2.813382,140.617364,1.578005
0.020000,14.354077,0.118536,0.002604,0.072427,0.798874,-100.725419,1.578023
0.020000,14.354065,0.120141,0.004209,0.080251,0.391219,-20.382757,1.578043
0.020000,14.354052,0.121910,0.005979,0.088477,0.411279,1.003036,1.578065
0.020000,14.354038,0.123852,0.007921,0.097104,0.431341,1.003100,1.578089
0.020000,14.354022,0.125975,0.010043,0.106132,0.451404,1.003145,1.578116
0.020000,14.354005,0.128286,0.012354,0.115561,0.471460,1.002773,1.578145
0.020000,14.353987,0.130794,0.014862,0.125391,0.491519,1.002977,1.578176
0.020000,14.353967,0.133506,0.017575,0.135623,0.511585,1.003274,1.578210
0.020000,14.353945,0.136431,0.020500,0.146256,0.531636,1.002559,1.578246
0.020000,14.353922,0.139577,0.023646,0.157290,0.551698,1.003103,1.578285
0.020000,14.353896,0.142951,0.027020,0.168725,0.571755,1.002858,1.578327
0.020000,14.353869,0.146562,0.030631,0.180561,0.591811,1.002764,1.578372
0.020000,14.353840,0.150418,0.034487,0.192798,0.611870,1.002955,1.578420
0.020000,14.353808,0.154527,0.038596,0.205437,0.631923,1.002662,1.578471
0.020000,14.353775,0.158896,0.042966,0.218476,0.651978,1.002766,1.578525
0.020000,14.353739,0.163534,0.047604,0.231917,0.672035,1.002830,1.578583
0.020000,14.353700,0.168450,0.052519,0.245759,0.692084,1.002441,1.578643
0.020000,14.353659,0.173649,0.057719,0.260002,0.712140,1.002797,1.578707
0.020000,14.353616,0.179142,0.063212,0.274645,0.732191,1.002591,1.578775
0.020000,14.353569,0.184936,0.069006,0.289690,0.752239,1.002396,1.578846
0.020000,14.353520,0.191038,0.075109,0.305136,0.772289,1.002500,1.578921
