dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.571718,1.998637,0.000004,0.000400,0.020000,1.000000,5.484404
0.020000,0.571718,1.998637,0.000004,0.000013,-0.019334,-1.966703,5.484406
0.020000,0.571719,1.998637,0.000005,0.000030,0.000833,1.008328,5.484408
0.020000,0.571719,1.998636,0.000006,0.000053,0.001166,0.016660,5.484412
0.020000,0.571720,1.998635,0.000008,0.000083,0.001499,0.016676,5.484419
0.020000,0.571722,1.998633,0.000010,0.000120,0.001833,0.016702,5.484428
0.020000,0.571724,1.998631,0.000013,0.000163,0.002168,0.016740,5.484442
0.020000,0.571727,1.998628,0.000018,0.000213,0.002504,0.016793,5.484459
0.020000,0.571731,1.998624,0.000023,0.000270,0.002841,0.016863,5.484480
0.020000,0.571736,1.998619,0.000030,0.000334,0.003180,0.016953,5.484507
0.020000,0.571741,1.998613,0.000038,0.000404,0.003522,0.017066,5.484539
0.020000,0.571748,1.998606,0.000047,0.000482,0.003866,0.017204,5.484578
0.020000,0.571756,1.998598,0.000059,0.000566,0.004213,0.017369,5.484623
0.020000,0.572240,1.998102,0.000752,0.034662,1.704824,85.030561,5.484676
0.020000,0.572878,1.997446,0.001667,0.045756,0.554696,-57.506425,5.484736
0.020000,0.573605,1.996700,0.002708,0.052061,0.315220,-11.973775,5.484805
0.020000,0.574425,1.995859,0.003884,0.058774,0.335648,1.021403,5.484883
0.020000,0.575345,1.994915,0.005202,0.065896,0.356113,1.023234,5.484970
0.020000,0.576370,1.993863,0.006670,0.073421,0.376278,1.008260,5.485068
0.020000,0.577506,1.992698,0.008297,0.081360,0.396934,1.032796,5.485177
0.020000,0.578759,1.991414,0.010091,0.089701,0.417067,1.006667,5.485297
0.020000,0.580134,1.990004,0.012060,0.098456,0.437744,1.033823,5.485430
0.020000,0.581637,1.988464,0.014213,0.107614,0.457906,1.008113,5.485575
0.020000,0.583274,1.986786,0.016556,0.117185,0.478549,1.032128,5.485734
0.020000,0.585050,1.984967,0.019100,0.127164,0.498933,1.019196,5.485907
0.020000,0.586973,1.982999,0.021851,0.137551,0.519340,1.020378,5.486095
0.020000,0.589046,1.980876,0.024818,0.148348,0.539852,1.025569,5.486299
0.020000,0.591277,1.978594,0.028009,0.159555,0.560373,1.026087,5.486519
0.020000,0.593670,1.976147,0.031432,0.171173,0.580905,1.026605,5.486757
0.020000,0.596233,1.973528,0.035096,0.183202,0.601448,1.027120,5.487013
0.020000,0.598970,1.970732,0.039009,0.195642,0.622000,1.027632,5.487289
0.020000,0.601888,1.967753,0.043179,0.208494,0.642563,1.028137,5.487584
0.020000,0.604992,1.964585,0.047614,0.221756,0.663136,1.028633,5.487901
0.020000,0.608289,1.961224,0.052323,0.235434,0.683891,1.037778,5.488239
0.020000,0.611785,1.957662,0.057313,0.249525,0.704519,1.031369,5.488601
0.020000,0.615485,1.953895,0.062594,0.264028,0.725152,1.031646,5.488987
0.020000,0.619396,1.949916,0.068173,0.278947,0.745967,1.040755,5.489399
0.020000,0.623524,1.945720,0.074058,0.294282,0.766759,1.039600,5.489838
0.020000,0.627874,1.941302,0.080259,0.310031,0.787465,1.035331,5.490304
0.020000,0.632454,1.936656,0.086783,0.326199,0.808360,1.044722,5.490800
0.020000,0.637269,1.931776,0.093639,0.342784,0.829276,1.045794,5.491327
0.020000,0.642326,1.926656,0.100834,0.359788,0.850212,1.046831,5.491886
0.020000,0.647630,1.921292,0.108379,0.377212,0.871169,1.047828,5.492479
0.020000,0.653189,1.915677,0.116280,0.395055,0.892145,1.048778,5.493107
0.020000,0.659009,1.909806,0.124546,0.413322,0.913340,1.059767,5.493773
0.020000,0.665096,1.903674,0.133186,0.432010,0.934428,1.054427,5.494478
0.020000,0.671457,1.897276,0.142209,0.451123,0.955624,1.059795,5.495224
0.020000,0.678099,1.890605,0.151622,0.470658,0.976793,1.058442,5.496012
0.020000,0.685028,1.883657,0.161435,0.490623,0.998249,1.072772,5.496846
0.020000,0.692251,1.876427,0.171655,0.511016,1.019617,1.068399,5.497728
0.020000,0.699770,1.868915,0.182283,0.531427,1.020556,0.046981,5.498658
0.020000,0.707579,1.861126,0.193312,0.551453,1.001300,-0.962789,5.499638
0.020000,0.715674,1.853069,0.204734,0.571088,0.981764,-0.976821,5.500669
0.020000,0.724051,1.844749,0.216541,0.590334,0.962277,-0.974354,5.501752
0.020000,0.732706,1.836173,0.228725,0.609200,0.943311,-0.948273,5.502888
0.020000,0.741633,1.827347,0.241278,0.627671,0.923551,-0.988029,5.504077
0.020000,0.750828,1.818278,0.254193,0.645759,0.904390,-0.958038,5.505322
0.020000,0.760287,1.808972,0.267463,0.663462,0.885154,-0.961826,5.506623
0.020000,0.770006,1.799437,0.281078,0.680775,0.865680,-0.973686,5.507981
0.020000,0.779980,1.789678,0.295032,0.697703,0.846367,-0.965650,5.509397
0.020000,0.790205,1.779702,0.309317,0.714243,0.827023,-0.967191,5.510873
0.020000,0.800676,1.769517,0.323925,0.730401,0.807913,-0.955510,5.512409
0.020000,0.811390,1.759128,0.338849,0.746169,0.788374,-0.976935,5.514006
0.020000,0.822342,1.748544,0.354080,0.761547,0.768921,-0.972661,5.515666
0.020000,0.833528,1.737769,0.369610,0.776548,0.750039,-0.944105,5.517390
0.020000,0.844944,1.726812,0.385434,0.791152,0.730201,-0.991890,5.519178
0.020000,0.856585,1.715680,0.401541,0.805375,0.711156,-0.952261,5.521032
0.020000,0.868447,1.704378,0.417925,0.819210,0.691754,-0.970074,5.522953
0.020000,0.880526,1.692914,0.434578,0.832656,0.672275,-0.973948,5.524941
0.020000,0.892819,1.681296,0.451493,0.845714,0.652929,-0.967335,5.526998
0.020000,0.905320,1.669530,0.468660,0.858385,0.633544,-0.969225,5.529125
0.020000,0.918026,1.657622,0.486074,0.870668,0.614121,-0.971166,5.531323
0.020000,0.930933,1.645581,0.503725,0.882561,0.594658,-0.973151,5.533592
0.020000,0.944035,1.633413,0.521606,0.894064,0.575154,-0.975174,5.535933
0.020000,0.957330,1.621125,0.539710,0.905179,0.555738,-0.970825,5.538347
0.020000,0.970813,1.608725,0.558028,0.915906,0.536357,-0.969023,5.540836
0.020000,0.984479,1.596219,0.576553,0.926236,0.516487,-0.993530,5.543399
0.020000,0.998325,1.583616,0.595276,0.936180,0.497232,-0.962716,5.546037
0.020000,1.012347,1.570921,0.614191,0.945728,0.477404,-0.991410,5.548751
0.020000,1.026539,1.558142,0.633289,0.954888,0.457985,-0.970978,5.551542
0.020000,1.040898,1.545286,0.652561,0.963648,0.437990,-0.999733,5.554410
0.020000,1.055419,1.532361,0.672002,0.972024,0.418787,-0.960166,5.557356
0.020000,1.070099,1.519373,0.691602,0.979997,0.398658,-1.006426,5.560380
0.020000,1.084932,1.506331,0.711353,0.987575,0.378895,-0.988181,5.563482
0.020000,1.099914,1.493240,0.731249,0.994757,0.359112,-0.989127,5.566663
0.020000,1.115040,1.480109,0.751279,1.001546,0.339472,-0.981990,5.569922
0.020000,1.130307,1.466945,0.771438,1.007933,0.319341,-1.006572,5.573261
0.020000,1.145709,1.453754,0.791717,1.013921,0.299379,-0.998089,5.576678
0.020000,1.161241,1.440544,0.812107,1.019508,0.279373,-1.000312,5.580175
0.020000,1.176899,1.427322,0.832601,1.024694,0.259307,-1.003279,5.583751
0.020000,1.192679,1.414096,0.853190,1.029478,0.239181,-1.006307,5.587405
0.020000,1.208574,1.400872,0.873867,1.033858,0.218993,-1.009397,5.591138
0.020000,1.224581,1.387657,0.894624,1.037833,0.198742,-1.012549,5.594948
0.020000,1.240693,1.374459,0.915452,1.041401,0.178427,-1.015765,5.598837
0.020000,1.256907,1.361284,0.936343,1.044563,0.158078,-1.017421,5.602802
0.020000,1.273215,1.348140,0.957290,1.047318,0.137770,-1.015434,5.606843
0.020000,1.289614,1.335033,0.978283,1.049660,0.117104,-1.033291,5.610960
0.020000,1.306098,1.321970,0.999315,1.051590,0.096514,-1.029506,5.615151
0.020000,1.322660,1.308958,1.020377,1.053107,0.075852,-1.033070,5.619416
0.020000,1.339296,1.296005,1.041461,1.054210,0.055118,-1.036709,5.623753
0.020000,1.356002,1.283113,1.062563,1.055108,0.044903,-0.510748,5.628162
0.020000,1.372780,1.270284,1.083683,1.056016,0.045381,0.023893,5.632643
0.020000,1.389630,1.257520,1.104822,1.056924,0.045401,0.000987,5.637197
0.020000,1.406553,1.244823,1.125979,1.057837,0.045654,0.012650,5.641824
0.020000,1.423550,1.232194,1.147154,1.058755,0.045898,0.012229,5.646524
0.020000,1.440621,1.219635,1.168347,1.059679,0.046241,0.017142,5.651299
0.020000,1.457768,1.207147,1.189559,1.060611,0.046573,0.016598,5.656148
0.020000,1.474991,1.194732,1.210790,1.061542,0.046577,0.000169,5.661071
0.020000,1.492290,1.182392,1.232040,1.062478,0.046779,0.010115,5.666069
0.020000,1.509666,1.170128,1.253308,1.063418,0.047011,0.011631,5.671143
0.020000,1.527121,1.157943,1.274596,1.064367,0.047443,0.021579,5.676292
0.020000,1.544654,1.145837,1.295902,1.065313,0.047307,-0.006813,5.681517
0.020000,1.562266,1.133813,1.317227,1.066262,0.047453,0.007332,5.686819
0.020000,1.579958,1.121873,1.338571,1.067216,0.047694,0.012042,5.692196
0.020000,1.597731,1.110018,1.359935,1.068175,0.047934,0.011981,5.697650
0.020000,1.615584,1.098250,1.381318,1.069131,0.047788,-0.007299,5.703181
0.020000,1.633518,1.086571,1.402719,1.070088,0.047864,0.003814,5.708788
0.020000,1.651534,1.074984,1.424140,1.071052,0.048195,0.016522,5.714472
0.020000,1.669633,1.063489,1.445581,1.072012,0.048017,-0.008874,5.720233
0.020000,1.687814,1.052089,1.467040,1.072971,0.047958,-0.002940,5.726071
0.020000,1.706078,1.040787,1.488519,1.073934,0.048113,0.007719,5.731986
0.020000,1.724426,1.029583,1.510017,1.074895,0.048071,-0.002101,5.737978
0.020000,1.742857,1.018480,1.531534,1.075852,0.047839,-0.011600,5.744046
0.020000,1.761372,1.007480,1.553070,1.076809,0.047865,0.001316,5.750191
0.020000,1.779972,0.996585,1.574625,1.077765,0.047824,-0.002067,5.756412
0.020000,1.798655,0.985797,1.596199,1.078715,0.047477,-0.017347,5.762709
