dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,10.354423,0.731816,0.000004,0.000400,0.020000,1.000000,6.281545
0.020000,10.354421,0.731816,0.000006,0.000114,-0.014310,-1.715497,6.281554
0.020000,10.354416,0.731816,0.000011,0.000256,0.007113,1.071137,6.281575
0.020000,10.354406,0.731816,0.000021,0.000455,0.009959,0.142289,6.281611
0.020000,10.354392,0.731816,0.000035,0.000711,0.012805,0.142339,6.281668
0.020000,10.354372,0.731816,0.000055,0.001024,0.015654,0.142421,6.281750
0.020000,10.354344,0.731816,0.000083,0.001395,0.018505,0.142542,6.281862
0.020000,10.354307,0.731816,0.000120,0.001822,0.021359,0.142712,6.282007
0.020000,10.354261,0.731816,0.000166,0.002306,0.024218,0.142937,6.282192
0.020000,10.354204,0.731816,0.000223,0.002848,0.027082,0.143226,6.282420
0.020000,10.354135,0.731816,0.000292,0.003447,0.029954,0.143587,6.282695
0.020000,10.354053,0.731816,0.000374,0.004103,0.032834,0.144027,6.283024
0.020000,10.354349,0.731816,0.000670,0.014807,0.535165,25.116537,0.000224
0.020000,10.355022,0.731816,0.001342,0.033619,0.940624,20.272957,0.000671
0.020000,10.355793,0.731817,0.002114,0.038569,0.247476,-34.657398,0.001186
0.020000,10.356671,0.731818,0.002991,0.043865,0.264836,0.867959,0.001771
0.020000,10.357661,0.731821,0.003982,0.049541,0.283771,0.946759,0.002434
0.020000,10.358771,0.731824,0.005091,0.055489,0.297392,0.681089,0.003177
0.020000,10.360008,0.731828,0.006328,0.061845,0.317820,1.021358,0.004007
0.020000,10.361377,0.731834,0.007698,0.068462,0.330863,0.652184,0.004928
0.020000,10.362887,0.731842,0.009208,0.075500,0.351900,1.051849,0.005946
0.020000,10.364543,0.731853,0.010864,0.082802,0.365065,0.658212,0.007065
0.020000,10.366352,0.731867,0.012673,0.090448,0.382303,0.861930,0.008292
0.020000,10.368321,0.731885,0.014642,0.098469,0.401082,0.938920,0.009631
0.020000,10.370457,0.731907,0.016778,0.106784,0.415751,0.733489,0.011089
0.020000,10.372765,0.731934,0.019086,0.115429,0.432223,0.823597,0.012671
0.020000,10.375253,0.731968,0.021574,0.124401,0.448624,0.820034,0.014383
0.020000,10.377927,0.732009,0.024248,0.133696,0.464753,0.806433,0.016231
0.020000,10.380793,0.732058,0.027114,0.143308,0.480580,0.791360,0.018221
0.020000,10.383857,0.732117,0.030180,0.153273,0.498275,0.884771,0.020360
0.020000,10.387127,0.732188,0.033450,0.163521,0.512387,0.705605,0.022655
