dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.574689,1.031528,0.000004,0.000392,0.019614,0.980675,6.282147
0.020000,1.574686,1.031528,0.000007,0.000168,-0.011206,-1.540996,6.282159
0.020000,1.574678,1.031528,0.000015,0.000378,0.010510,1.085799,6.282186
0.020000,1.574665,1.031528,0.000028,0.000673,0.014715,0.210289,6.282233
0.020000,1.574644,1.031528,0.000049,0.001051,0.018924,0.210439,6.282307
0.020000,1.574614,1.031528,0.000080,0.001514,0.023138,0.210685,6.282413
0.020000,1.574572,1.031528,0.000121,0.002061,0.027359,0.211051,6.282558
0.020000,1.574518,1.031528,0.000175,0.002693,0.031590,0.211562,6.282747
0.020000,1.574450,1.031528,0.000243,0.003410,0.035835,0.212240,6.282986
0.020000,1.574494,1.031528,0.000286,0.002168,-0.062099,-4.896702,0.000096
0.020000,1.574866,1.031528,0.000659,0.018636,0.823445,44.277193,0.000454
0.020000,1.575310,1.031529,0.001102,0.022163,0.176329,-32.355799,0.000881
0.020000,1.575830,1.031529,0.001622,0.026007,0.192221,0.794604,0.001382
0.020000,1.576433,1.031530,0.002225,0.030143,0.206780,0.727946,0.001964
0.020000,1.577124,1.031532,0.002917,0.034593,0.222519,0.786969,0.002634
0.020000,1.577911,1.031534,0.003704,0.039330,0.236842,0.716129,0.003397
0.020000,1.578798,1.031538,0.004591,0.044369,0.251960,0.755920,0.004261
0.020000,1.579793,1.031542,0.005585,0.049708,0.266921,0.748058,0.005232
0.020000,1.580899,1.031549,0.006692,0.055341,0.281644,0.736128,0.006317
0.020000,1.582125,1.031557,0.007917,0.061265,0.296197,0.727667,0.007524
0.020000,1.583474,1.031568,0.009267,0.067474,0.310445,0.712393,0.008859
0.020000,1.584953,1.031582,0.010746,0.073962,0.324402,0.697842,0.010330
0.020000,1.586568,1.031600,0.012361,0.080741,0.338965,0.728176,0.011945
0.020000,1.588323,1.031623,0.014117,0.087784,0.352150,0.659219,0.013712
0.020000,1.590226,1.031651,0.016019,0.095117,0.366673,0.726165,0.015640
0.020000,1.592279,1.031685,0.018073,0.102704,0.379310,0.631858,0.017737
0.020000,1.594490,1.031727,0.020284,0.110552,0.392427,0.655836,0.020013
0.020000,1.596863,1.031777,0.022657,0.118659,0.405354,0.646380,0.022477
0.020000,1.599402,1.031838,0.025198,0.127018,0.417927,0.628643,0.025139
0.020000,1.602114,1.031910,0.027910,0.135606,0.429402,0.573750,0.028010
0.020000,1.605001,1.031995,0.030798,0.144431,0.441275,0.593622,0.031101
0.020000,1.608069,1.032096,0.033868,0.153485,0.452689,0.570704,0.034425
0.020000,1.611322,1.032214,0.037123,0.162752,0.463353,0.533209,0.037993
0.020000,1.614763,1.032351,0.040567,0.172216,0.473168,0.490737,0.041819
0.020000,1.618394,1.032510,0.044202,0.181719,0.475170,0.100112,0.045913
0.020000,1.622212,1.032694,0.048024,0.191108,0.469474,-0.284776,0.050285
0.020000,1.626214,1.032905,0.052031,0.200378,0.463457,-0.300863,0.054942
0.020000,1.630397,1.033145,0.056222,0.209509,0.456571,-0.344288,0.059895
0.020000,1.634758,1.033418,0.060591,0.218485,0.448793,-0.388902,0.065153
0.020000,1.639294,1.033727,0.065138,0.227320,0.441741,-0.352637,0.070727
0.020000,1.644001,1.034074,0.069857,0.235974,0.432733,-0.450386,0.076630
0.020000,1.648875,1.034464,0.074746,0.244450,0.423768,-0.448235,0.082874
0.020000,1.653911,1.034899,0.079801,0.252737,0.414380,-0.469431,0.089473
0.020000,1.659104,1.035383,0.085017,0.260810,0.403654,-0.536273,0.096441
0.020000,1.664451,1.035920,0.090391,0.268671,0.393031,-0.531181,0.103793
0.020000,1.669945,1.036513,0.095916,0.276287,0.380818,-0.610644,0.111547
0.020000,1.675580,1.037168,0.101590,0.283661,0.368684,-0.606674,0.119719
0.020000,1.681350,1.037887,0.107405,0.290752,0.354538,-0.707298,0.128329
0.020000,1.687249,1.038675,0.113356,0.297565,0.340665,-0.693650,0.137398
0.020000,1.693269,1.039537,0.119437,0.304075,0.325494,-0.758578,0.146945
0.020000,1.699400,1.040476,0.125640,0.310120,0.302239,-1.162733,0.156991
0.020000,1.705629,1.041495,0.131951,0.315569,0.272477,-1.488117,0.167548
0.020000,1.711941,1.042599,0.138359,0.320401,0.241601,-1.543795,0.178634
0.020000,1.718323,1.043789,0.144851,0.324614,0.210650,-1.547525,0.190263
0.020000,1.724761,1.045070,0.151416,0.328214,0.179961,-1.534467,0.202453
0.020000,1.731241,1.046442,0.158039,0.331174,0.148047,-1.595680,0.215218
0.020000,1.737748,1.047910,0.164709,0.333511,0.116833,-1.560733,0.228577
0.020000,1.744267,1.049475,0.171414,0.335217,0.085271,-1.578105,0.242546
0.020000,1.750784,1.051137,0.178140,0.336301,0.054212,-1.552948,0.257140
0.020000,1.757285,1.052899,0.184875,0.336762,0.023069,-1.557116,0.272377
0.020000,1.763755,1.054762,0.191607,0.336618,-0.007183,-1.512634,0.288270
0.020000,1.770179,1.056724,0.198325,0.335879,-0.036985,-1.490091,0.304835
0.020000,1.776545,1.058787,0.205016,0.334569,-0.065466,-1.424051,0.322083
0.020000,1.782838,1.060950,0.211671,0.332709,-0.093034,-1.378407,0.340026
0.020000,1.789045,1.063211,0.218277,0.330334,-0.118728,-1.284660,0.358673
0.020000,1.795156,1.065568,0.224827,0.327480,-0.142720,-1.199641,0.378029
0.020000,1.801158,1.068021,0.231311,0.324195,-0.164235,-1.075733,0.398098
0.020000,1.807041,1.070567,0.237721,0.320528,-0.183333,-0.954884,0.418878
0.020000,1.812797,1.073204,0.244052,0.316546,-0.199146,-0.790670,0.440364
0.020000,1.818418,1.075929,0.250298,0.312312,-0.211695,-0.627429,0.462546
0.020000,1.823897,1.078739,0.256456,0.307901,-0.220548,-0.442649,0.485409
0.020000,1.829231,1.081632,0.262524,0.303400,-0.225020,-0.223630,0.508933
0.020000,1.834415,1.084608,0.268502,0.298893,-0.225370,-0.017493,0.533089
