dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.574393,0.746528,0.000004,0.000392,0.019614,0.980675,6.282147
0.020000,1.574393,0.746528,0.000020,0.001177,0.039227,0.980675,6.282159
0.020000,1.574393,0.746528,0.000055,0.002354,0.058841,0.980675,6.282186
0.020000,1.574393,0.746528,0.000118,0.003923,0.078454,0.980675,6.282233
0.020000,1.574393,0.746528,0.000216,0.005884,0.098068,0.980675,6.282307
0.020000,1.574393,0.746528,0.000357,0.008238,0.117681,0.980675,6.282413
0.020000,1.574393,0.746528,0.000549,0.010984,0.137295,0.980675,6.282558
0.020000,1.574393,0.746528,0.000800,0.014122,0.156908,0.980675,6.282747
0.020000,1.574393,0.746528,0.001118,0.017652,0.176522,0.980675,6.282986
0.020000,1.574521,0.746528,0.001510,0.021575,0.196135,0.980675,0.000096
0.020000,1.574996,0.746528,0.001985,0.025890,0.215749,0.980675,0.000454
0.020000,1.575561,0.746529,0.002550,0.030597,0.235362,0.980675,0.000881
0.020000,1.576224,0.746530,0.003213,0.035697,0.254976,0.980675,0.001382
0.020000,1.576992,0.746531,0.003982,0.041188,0.274589,0.980675,0.001964
0.020000,1.577875,0.746533,0.004864,0.047072,0.294203,0.980675,0.002634
0.020000,1.578879,0.746536,0.005868,0.053349,0.313816,0.980675,0.003397
0.020000,1.580013,0.746540,0.007002,0.060017,0.333430,0.980675,0.004261
0.020000,1.581284,0.746546,0.008273,0.067078,0.353043,0.980675,0.005232
0.020000,1.582700,0.746554,0.009689,0.074531,0.372657,0.980675,0.006317
0.020000,1.584269,0.746565,0.011258,0.082377,0.392270,0.980675,0.007524
0.020000,1.585999,0.746579,0.012988,0.090614,0.411884,0.980675,0.008859
0.020000,1.587897,0.746598,0.014887,0.099244,0.431497,0.980675,0.010330
0.020000,1.589972,0.746621,0.016962,0.108267,0.451111,0.980675,0.011945
0.020000,1.592231,0.746650,0.019221,0.117681,0.470724,0.980675,0.013712
0.020000,1.594683,0.746686,0.021673,0.127488,0.490338,0.980675,0.015640
0.020000,1.597334,0.746730,0.024325,0.137687,0.509951,0.980675,0.017737
0.020000,1.600193,0.746784,0.027184,0.148278,0.529565,0.980675,0.020013
0.020000,1.603268,0.746849,0.030260,0.159262,0.549178,0.980675,0.022477
0.020000,1.606566,0.746928,0.033559,0.170637,0.568792,0.980675,0.025139
0.020000,1.610095,0.747022,0.037089,0.182406,0.588405,0.980675,0.028010
0.020000,1.613863,0.747133,0.040859,0.194566,0.608019,0.980675,0.031101
0.020000,1.617878,0.747265,0.044876,0.207119,0.627632,0.980675,0.034425
0.020000,1.622147,0.747419,0.049148,0.220063,0.647246,0.980675,0.037993
0.020000,1.626678,0.747600,0.053682,0.233401,0.666859,0.980675,0.041819
0.020000,1.631475,0.747811,0.058484,0.246738,0.666859,0.000000,0.045913
0.020000,1.636537,0.748054,0.063552,0.260075,0.666859,0.000000,0.050285
0.020000,1.641865,0.748335,0.068887,0.273412,0.666859,-0.000000,0.054942
0.020000,1.647457,0.748656,0.074488,0.286749,0.666859,0.000000,0.059895
0.020000,1.653314,0.749023,0.080357,0.300087,0.666859,0.000000,0.065153
0.020000,1.659435,0.749439,0.086492,0.313424,0.666859,-0.000000,0.070727
0.020000,1.665819,0.749911,0.092893,0.326761,0.666859,0.000000,0.076630
0.020000,1.672467,0.750442,0.099562,0.340098,0.666859,-0.000000,0.082874
0.020000,1.679376,0.751039,0.106497,0.353435,0.666859,0.000000,0.089473
0.020000,1.686547,0.751707,0.113699,0.366772,0.666859,-0.000000,0.096441
0.020000,1.693979,0.752453,0.121168,0.380110,0.666859,-0.000000,0.103793
0.020000,1.701669,0.753285,0.128904,0.393447,0.666859,0.000000,0.111547
0.020000,1.709618,0.754208,0.136906,0.406784,0.666859,-0.000000,0.119719
0.020000,1.717824,0.755231,0.145175,0.420121,0.666859,0.000000,0.128329
0.020000,1.726284,0.756361,0.153711,0.433458,0.666859,-0.000000,0.137398
0.020000,1.734998,0.757608,0.162514,0.446796,0.666859,0.000000,0.146945
0.020000,1.743959,0.758981,0.171579,0.459740,0.647246,-0.980675,0.156991
0.020000,1.753157,0.760486,0.180899,0.472293,0.627632,-0.980675,0.167548
0.020000,1.762581,0.762134,0.190467,0.484453,0.608019,-0.980675,0.178634
0.020000,1.772222,0.763932,0.200273,0.496222,0.588405,-0.980675,0.190263
0.020000,1.782067,0.765890,0.210312,0.507597,0.568792,-0.980675,0.202453
0.020000,1.792106,0.768017,0.220573,0.518581,0.549178,-0.980675,0.215218
