dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.550586,1.422687,0.000004,0.000391,0.019549,0.977451,4.711240
0.020000,2.550586,1.422691,0.000008,0.000189,-0.010092,-1.482035,4.711253
0.020000,2.550586,1.422700,0.000016,0.000426,0.011823,1.095710,4.711283
0.020000,2.550586,1.422715,0.000031,0.000757,0.016554,0.236566,4.711336
0.020000,2.550586,1.422739,0.000055,0.001182,0.021289,0.236742,4.711419
0.020000,2.550586,1.422773,0.000089,0.001703,0.026029,0.237031,4.711539
0.020000,2.550586,1.422819,0.000135,0.002319,0.030779,0.237462,4.711702
0.020000,2.550586,1.422880,0.000196,0.003029,0.035540,0.238061,4.711914
0.020000,2.550586,1.422956,0.000273,0.003836,0.040317,0.238858,4.712183
0.020000,2.550586,1.422902,0.000327,0.002726,-0.055479,-4.789813,4.712516
0.020000,2.550586,1.422543,0.000686,0.017920,0.759706,40.759288,4.712919
0.020000,2.550587,1.422117,0.001112,0.021308,0.169384,-29.516143,4.713399
0.020000,2.550587,1.421617,0.001612,0.025004,0.184816,0.771633,4.713963
0.020000,2.550588,1.421038,0.002191,0.028973,0.198445,0.681460,4.714618
0.020000,2.550590,1.420373,0.002856,0.033250,0.213846,0.770007,4.715372
0.020000,2.550593,1.419617,0.003612,0.037796,0.227295,0.672476,4.716231
0.020000,2.550596,1.418764,0.004465,0.042630,0.241721,0.721314,4.717204
0.020000,2.550602,1.417809,0.005420,0.047749,0.255946,0.711245,4.718298
0.020000,2.550608,1.416746,0.006483,0.053148,0.269934,0.699382,4.719521
0.020000,2.550618,1.415570,0.007659,0.058821,0.283646,0.685609,4.720881
0.020000,2.550630,1.414275,0.008954,0.064762,0.297042,0.669810,4.722386
0.020000,2.550645,1.412855,0.010374,0.070964,0.310090,0.652375,4.724045
0.020000,2.550664,1.411307,0.011923,0.077451,0.324381,0.714543,4.725868
0.020000,2.550689,1.409623,0.013606,0.084172,0.336030,0.582469,4.727863
0.020000,2.550719,1.407800,0.015429,0.091152,0.349028,0.649915,4.730040
0.020000,2.550756,1.405833,0.017397,0.098383,0.361535,0.625317,4.732410
0.020000,2.550801,1.403717,0.019514,0.105853,0.373478,0.597173,4.734983
0.020000,2.550856,1.401446,0.021785,0.113549,0.384795,0.565841,4.737770
0.020000,2.550921,1.399018,0.024214,0.121458,0.395471,0.533791,4.740783
0.020000,2.550999,1.396427,0.026806,0.129602,0.407224,0.587683,4.744036
0.020000,2.551091,1.393670,0.029565,0.137932,0.416479,0.462748,4.747540
0.020000,2.551199,1.390743,0.032494,0.146456,0.426216,0.486831,4.751310
0.020000,2.551326,1.387642,0.035597,0.155157,0.435039,0.441148,4.755361
0.020000,2.551474,1.384368,0.038875,0.163894,0.436849,0.090496,4.759705
0.020000,2.551645,1.380922,0.042325,0.172484,0.429512,-0.366856,4.764351
0.020000,2.551842,1.377309,0.045944,0.180946,0.423068,-0.322180,4.769309
0.020000,2.552068,1.373530,0.049729,0.189259,0.415663,-0.370252,4.774589
0.020000,2.552324,1.369591,0.053677,0.197404,0.407272,-0.419558,4.780203
0.020000,2.552614,1.365494,0.057784,0.205368,0.398194,-0.453871,4.786163
0.020000,2.552942,1.361243,0.062047,0.213154,0.389290,-0.445239,4.792482
0.020000,2.553310,1.356844,0.066462,0.220737,0.379139,-0.507539,4.799175
0.020000,2.553721,1.352300,0.071024,0.228110,0.368672,-0.523347,4.806256
0.020000,2.554180,1.347618,0.075729,0.235240,0.356471,-0.610067,4.813741
0.020000,2.554689,1.342802,0.080572,0.242136,0.344795,-0.583792,4.821649
0.020000,2.555252,1.337858,0.085547,0.248761,0.331294,-0.675052,4.829997
0.020000,2.555873,1.332794,0.090649,0.255106,0.317248,-0.702307,4.838804
0.020000,2.556555,1.327616,0.095872,0.261169,0.303135,-0.705649,4.848092
0.020000,2.557303,1.322330,0.101210,0.266900,0.286536,-0.829909,4.857883
0.020000,2.558120,1.316946,0.106656,0.272302,0.270113,-0.821152,4.868201
0.020000,2.559011,1.311471,0.112203,0.277346,0.252214,-0.894952,4.879069
0.020000,2.559978,1.305916,0.117841,0.281903,0.227852,-1.218124,4.890510
0.020000,2.561024,1.300297,0.123558,0.285820,0.195829,-1.601162,4.902541
0.020000,2.562153,1.294626,0.129340,0.289102,0.164123,-1.585264,4.915177
0.020000,2.563365,1.288918,0.135175,0.291749,0.132303,-1.591039,4.928437
0.020000,2.564664,1.283189,0.141050,0.293753,0.100202,-1.605052,4.942339
0.020000,2.566051,1.277451,0.146953,0.295127,0.068747,-1.572752,4.956899
0.020000,2.567527,1.271721,0.152870,0.295872,0.037211,-1.576763,4.972133
0.020000,2.569093,1.266012,0.158790,0.295992,0.006017,-1.559721,4.988059
0.020000,2.570748,1.260338,0.164700,0.295519,-0.023657,-1.483717,5.004690
0.020000,2.572494,1.254713,0.170589,0.294466,-0.052659,-1.450078,5.022040
0.020000,2.574329,1.249151,0.176447,0.292860,-0.080287,-1.381423,5.040120
0.020000,2.576252,1.243663,0.182261,0.290735,-0.106260,-1.298646,5.058938
0.020000,2.578262,1.238263,0.188024,0.288138,-0.129814,-1.177665,5.078502
0.020000,2.580357,1.232959,0.193727,0.285119,-0.150954,-1.057010,5.098812
0.020000,2.582534,1.227762,0.199361,0.281733,-0.169345,-0.919569,5.119867
0.020000,2.584793,1.222681,0.204922,0.278054,-0.183937,-0.729607,5.141661
0.020000,2.587131,1.217721,0.210405,0.274150,-0.195185,-0.562365,5.164182
0.020000,2.589545,1.212888,0.215807,0.270111,-0.201973,-0.339419,5.187411
0.020000,2.592035,1.208186,0.221128,0.266026,-0.204248,-0.113748,5.211324
0.020000,2.594598,1.203616,0.226368,0.261995,-0.201538,0.135501,5.235891
0.020000,2.597234,1.199177,0.231530,0.258115,-0.193981,0.377870,5.261074
0.020000,2.599944,1.194869,0.236620,0.254493,-0.181098,0.644123,5.286825
0.020000,2.602730,1.190687,0.241645,0.251232,-0.163075,0.901152,5.313094
0.020000,2.605592,1.186626,0.246613,0.248430,-0.140107,1.148431,5.339820
0.020000,2.608536,1.182679,0.251537,0.246182,-0.112383,1.386172,5.366937
0.020000,2.611567,1.178840,0.256428,0.244568,-0.080703,1.584006,5.394373
0.020000,2.614691,1.175100,0.261302,0.243661,-0.045322,1.769034,5.422051
0.020000,2.617915,1.171450,0.266172,0.243514,-0.007392,1.896525,5.449890
0.020000,2.621249,1.167882,0.271055,0.244162,0.032432,1.991191,5.477807
0.020000,2.624702,1.164387,0.275968,0.245624,0.073072,2.031982,5.505718
