dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,7.310771,5.974292,0.000004,0.000400,0.019976,0.998801,2.721350
0.020000,7.310767,5.974294,0.000009,0.000253,-0.007333,-1.365428,2.721330
0.020000,7.310756,5.974299,0.000020,0.000569,0.015805,1.156867,2.721285
0.020000,7.310738,5.974307,0.000041,0.001012,0.022128,0.316159,2.721204
0.020000,7.310709,5.974320,0.000072,0.001581,0.028453,0.316257,2.721077
0.020000,7.310668,5.974339,0.000118,0.002276,0.034781,0.316417,2.720895
0.020000,7.310611,5.974364,0.000180,0.003099,0.041115,0.316654,2.720647
0.020000,7.310537,5.974397,0.000261,0.004048,0.047454,0.316983,2.720324
0.020000,7.310444,5.974439,0.000363,0.005124,0.053803,0.317419,2.719914
0.020000,7.310328,5.974491,0.000490,0.006327,0.060162,0.317976,2.719408
0.020000,7.310188,5.974554,0.000643,0.007658,0.066535,0.318667,2.718795
0.020000,7.309538,5.974847,0.001357,0.035689,1.401546,66.750526,2.718065
0.020000,7.308727,5.975213,0.002246,0.044475,0.439333,-48.110628,2.717208
0.020000,7.307787,5.975638,0.003277,0.051564,0.354434,-4.244966,2.716214
0.020000,7.306708,5.976127,0.004463,0.059258,0.384720,1.514312,2.715070
0.020000,7.305481,5.976686,0.005811,0.067403,0.407228,1.125380,2.713768
0.020000,7.304096,5.977319,0.007334,0.076154,0.437546,1.515893,2.712295
0.020000,7.302544,5.978031,0.009041,0.085374,0.461005,1.172938,2.710642
0.020000,7.300815,5.978828,0.010945,0.095196,0.491114,1.505450,2.708796
0.020000,7.298900,5.979715,0.013056,0.105531,0.516735,1.281050,2.706746
0.020000,7.296789,5.980698,0.015384,0.116402,0.543560,1.341286,2.704482
0.020000,7.294475,5.981783,0.017940,0.127827,0.571267,1.385340,2.701990
0.020000,7.291946,5.982977,0.020736,0.139805,0.598901,1.381716,2.699260
0.020000,7.289194,5.984285,0.023783,0.152334,0.626441,1.376968,2.696278
0.020000,7.286211,5.985715,0.027091,0.165411,0.653862,1.371060,2.693033
0.020000,7.282987,5.987273,0.030672,0.179053,0.682061,1.409942,2.689511
0.020000,7.279513,5.988969,0.034538,0.193289,0.711798,1.486862,2.685699
0.020000,7.275781,5.990808,0.038699,0.208029,0.736995,1.259859,2.681584
0.020000,7.271782,5.992801,0.043167,0.223407,0.768913,1.595869,2.677152
0.020000,7.267507,5.994955,0.047953,0.239322,0.795778,1.343256,2.672389
0.020000,7.262950,5.997280,0.053070,0.255819,0.824827,1.452454,2.667281
0.020000,7.258101,5.999786,0.058528,0.272906,0.854356,1.476484,2.661813
0.020000,7.252954,6.002484,0.064339,0.290578,0.883583,1.461317,2.655970
0.020000,7.247500,6.005384,0.070516,0.308827,0.912465,1.444109,2.649736
0.020000,7.241733,6.008498,0.077071,0.327729,0.945127,1.633085,2.643096
0.020000,7.235647,6.011839,0.084014,0.347152,0.971110,1.299169,2.636034
0.020000,7.229234,6.015420,0.091358,0.367235,1.004184,1.653685,2.628533
0.020000,7.222490,6.019255,0.099116,0.387897,1.033093,1.445485,2.620577
0.020000,7.215410,6.023358,0.107299,0.409155,1.062909,1.490792,2.612151
0.020000,7.207989,6.027745,0.115920,0.431039,1.094193,1.564189,2.603237
0.020000,7.200224,6.032432,0.124990,0.453513,1.123671,1.473914,2.593820
0.020000,7.192111,6.037437,0.134522,0.476577,1.153239,1.478365,2.583884
0.020000,7.183651,6.042776,0.144527,0.500236,1.182944,1.485272,2.573413
0.020000,7.174840,6.048469,0.155016,0.524494,1.212858,1.495696,2.562392
0.020000,7.165680,6.054536,0.166003,0.549319,1.241294,1.421813,2.550808
0.020000,7.156174,6.060996,0.177497,0.574682,1.268150,1.342790,2.538648
0.020000,7.146323,6.067870,0.189509,0.600631,1.297405,1.462764,2.525899
0.020000,7.136138,6.075178,0.202045,0.626790,1.307985,0.528992,2.512559
0.020000,7.125633,6.082935,0.215103,0.652906,1.305778,-0.110383,2.498632
0.020000,7.114825,6.091154,0.228682,0.678929,1.301172,-0.230271,2.484125
0.020000,7.103736,6.099850,0.242773,0.704590,1.283022,-0.907512,2.469052
0.020000,7.092394,6.109028,0.257364,0.729508,1.245931,-1.854544,2.453440
0.020000,7.080828,6.118695,0.272437,0.753686,1.208882,-1.852446,2.437315
0.020000,7.069069,6.128856,0.287979,0.777065,1.168938,-1.997206,2.420710
0.020000,7.057146,6.139513,0.303971,0.799604,1.126956,-2.099120,2.403661
0.020000,7.045090,6.150669,0.320396,0.821253,1.082449,-2.225350,2.386205
0.020000,7.032934,6.162323,0.337235,0.841973,1.036001,-2.322386,2.368387
0.020000,7.020710,6.174471,0.354469,0.861707,0.986733,-2.463381,2.350253
0.020000,7.008449,6.187110,0.372078,0.880432,0.936230,-2.525148,2.331851
0.020000,6.996183,6.200231,0.390040,0.898106,0.883687,-2.627177,2.313233
0.020000,6.983942,6.213826,0.408334,0.914692,0.829332,-2.717731,2.294455
0.020000,6.971756,6.227883,0.426937,0.930177,0.774221,-2.755539,2.275573
0.020000,6.959655,6.242389,0.445828,0.944542,0.718275,-2.797317,2.256645
0.020000,6.947664,6.257327,0.464984,0.957776,0.661689,-2.829316,2.237728
0.020000,6.935810,6.272681,0.484381,0.969876,0.604999,-2.834475,2.218882
0.020000,6.924115,6.288431,0.503998,0.980851,0.548767,-2.811596,2.200165
0.020000,6.912601,6.304557,0.523813,0.990717,0.493293,-2.773736,2.181634
0.020000,6.901286,6.321036,0.543803,0.999493,0.438777,-2.725791,2.163343
0.020000,6.890188,6.337847,0.563947,1.007207,0.385733,-2.652194,2.145346
0.020000,6.879319,6.354966,0.584225,1.013895,0.334389,-2.567190,2.127693
0.020000,6.868691,6.372370,0.604617,1.019595,0.284981,-2.470402,2.110431
0.020000,6.858314,6.390034,0.625104,1.024349,0.237729,-2.362586,2.093604
0.020000,6.848193,6.407935,0.645668,1.028202,0.192626,-2.255158,2.077252
0.020000,6.838332,6.426049,0.666292,1.031201,0.149942,-2.134209,2.061411
0.020000,6.828735,6.444354,0.686960,1.033396,0.109740,-2.010076,2.046114
0.020000,6.819400,6.462826,0.707656,1.034827,0.071568,-1.908633,2.031389
0.020000,6.810327,6.481443,0.728367,1.035546,0.035960,-1.780390,2.017262
0.020000,6.801511,6.500185,0.749079,1.035597,0.002522,-1.671906,2.003755
0.020000,6.792948,6.519032,0.769779,1.035016,-0.029044,-1.578272,1.990885
0.020000,6.784632,6.537962,0.790456,1.033841,-0.058718,-1.483722,1.978668
0.020000,6.776555,6.556959,0.811098,1.032114,-0.086370,-1.382591,1.967117
0.020000,6.768708,6.576003,0.831696,1.029862,-0.112621,-1.312549,1.956242
0.020000,6.761083,6.595077,0.852238,1.027112,-0.137463,-1.242116,1.946050
0.020000,6.753669,6.614166,0.872716,1.023891,-0.161074,-1.180549,1.936548
0.020000,6.746457,6.633253,0.893120,1.020218,-0.183627,-1.127656,1.927739
0.020000,6.739434,6.652323,0.913442,1.016113,-0.205289,-1.083076,1.919626
0.020000,6.732591,6.671363,0.933674,1.011588,-0.226248,-1.047969,1.912210
0.020000,6.725915,6.690356,0.953807,1.006655,-0.246642,-1.019678,1.905493
0.020000,6.719394,6.709292,0.973834,1.001326,-0.266421,-0.988968,1.899474
0.020000,6.713018,6.728155,0.993746,0.995607,-0.285952,-0.976537,1.894152
0.020000,6.706774,6.746935,1.013536,0.989502,-0.305250,-0.964914,1.889526
0.020000,6.700651,6.765617,1.033196,0.983014,-0.324408,-0.957877,1.885595
0.020000,6.694637,6.784191,1.052719,0.976143,-0.343580,-0.958602,1.882358
0.020000,6.688722,6.802644,1.072097,0.968891,-0.362575,-0.949786,1.879813
0.020000,6.682893,6.820964,1.091322,0.961257,-0.381711,-0.956796,1.877958
0.020000,6.677140,6.839140,1.110387,0.953238,-0.400958,-0.962310,1.876793
0.020000,6.671453,6.857160,1.129283,0.944820,-0.420894,-0.996845,1.876316
0.020000,6.665822,6.875013,1.148003,0.936001,-0.440914,-1.000991,1.876527
0.020000,6.660236,6.892687,1.166539,0.926791,-0.460530,-0.980794,1.877426
0.020000,6.654686,6.910171,1.184883,0.917185,-0.480296,-0.988294,1.879010
0.020000,6.649163,6.927454,1.203026,0.907182,-0.500171,-0.993740,1.881282
0.020000,6.643659,6.944524,1.220962,0.896780,-0.520089,-0.995897,1.884240
0.020000,6.638166,6.961371,1.238681,0.885976,-0.540168,-1.003982,1.887885
0.020000,6.632676,6.977982,1.256177,0.874772,-0.560204,-1.001759,1.892216
0.020000,6.627182,6.994348,1.273440,0.863169,-0.580174,-0.998544,1.897234
0.020000,6.621678,7.010457,1.290464,0.851169,-0.600006,-0.991554,1.902939
0.020000,6.616159,7.026299,1.307239,0.838777,-0.619610,-0.980202,1.909329
0.020000,6.610618,7.041862,1.323759,0.825999,-0.638858,-0.962408,1.916405
0.020000,6.605053,7.057137,1.340016,0.812845,-0.657725,-0.943364,1.924163
0.020000,6.599458,7.072112,1.356002,0.799324,-0.676039,-0.915696,1.932602
0.020000,6.593832,7.086779,1.371711,0.785451,-0.693637,-0.879896,1.941717
0.020000,6.588171,7.101128,1.387136,0.771244,-0.710376,-0.836981,1.951503
0.020000,6.582476,7.115150,1.402271,0.756722,-0.726095,-0.785917,1.961954
0.020000,6.576743,7.128836,1.417109,0.741906,-0.740772,-0.733852,1.973061
0.020000,6.570975,7.142179,1.431645,0.726824,-0.754106,-0.666695,1.984814
0.020000,6.565170,7.155171,1.445876,0.711505,-0.765977,-0.593549,1.997199
0.020000,6.559332,7.167807,1.459795,0.695984,-0.776056,-0.503954,2.010200
0.020000,6.553461,7.180081,1.473401,0.680293,-0.784559,-0.425179,2.023800
0.020000,6.547561,7.191989,1.486690,0.664470,-0.791138,-0.328949,2.037976
0.020000,6.541635,7.203528,1.499662,0.648559,-0.795537,-0.219953,2.052705
0.020000,6.535687,7.214694,1.512314,0.632600,-0.797970,-0.121634,2.067957
0.020000,6.529721,7.225488,1.524646,0.616635,-0.798226,-0.012807,2.083701
0.020000,6.523741,7.235908,1.536661,0.600711,-0.796212,0.100720,2.099903
0.020000,6.517754,7.245957,1.548358,0.584870,-0.792060,0.207596,2.116523
0.020000,6.511764,7.255637,1.559741,0.569153,-0.785832,0.311405,2.133520
0.020000,6.505777,7.264950,1.570813,0.553600,-0.777629,0.410128,2.150848
0.020000,6.499798,7.273902,1.581578,0.538249,-0.767593,0.501796,2.168460
0.020000,6.493835,7.282499,1.592041,0.523130,-0.755951,0.582136,2.186304
0.020000,6.487891,7.290746,1.602206,0.508271,-0.742942,0.650456,2.204329
0.020000,6.481974,7.298650,1.612080,0.493691,-0.728980,0.698052,2.222479
0.020000,6.476090,7.306221,1.621668,0.479408,-0.714175,0.740294,2.240700
0.020000,6.470244,7.313465,1.630976,0.465427,-0.699025,0.757498,2.258935
0.020000,6.464443,7.320391,1.640011,0.451747,-0.683991,0.751662,2.277127
0.020000,6.458693,7.327009,1.648779,0.438366,-0.669077,0.745729,2.295222
0.020000,6.453000,7.333328,1.657284,0.425265,-0.655023,0.702710,2.313164
0.020000,6.447370,7.339357,1.665533,0.412428,-0.641846,0.658822,2.330901
0.020000,6.441810,7.345104,1.673529,0.399826,-0.630124,0.586111,2.348382
0.020000,6.436327,7.350579,1.681278,0.387429,-0.619826,0.514904,2.365559
0.020000,6.430927,7.355790,1.688782,0.375204,-0.611264,0.428111,2.382385
0.020000,6.425619,7.360746,1.696044,0.363106,-0.604930,0.316703,2.398819
0.020000,6.420408,7.365453,1.703066,0.351099,-0.600302,0.231381,2.414822
0.020000,6.415305,7.369921,1.709849,0.339145,-0.597741,0.128073,2.430357
0.020000,6.410315,7.374155,1.716393,0.327191,-0.597694,0.002319,2.445392
0.020000,6.405449,7.378163,1.722697,0.315212,-0.598919,-0.061228,2.459898
0.020000,6.400712,7.381952,1.728763,0.303288,-0.596201,0.135867,2.473856
0.020000,6.396110,7.385531,1.734593,0.291508,-0.589013,0.359410,2.487254
0.020000,6.391648,7.388909,1.740190,0.279841,-0.583332,0.284061,2.500085
0.020000,6.387328,7.392095,1.745557,0.268371,-0.573513,0.490953,2.512348
0.020000,6.383151,7.395098,1.750701,0.257220,-0.557551,0.798075,2.524052
0.020000,6.379118,7.397928,1.755628,0.246336,-0.544192,0.667946,2.535205
0.020000,6.375230,7.400594,1.760342,0.235716,-0.531035,0.657860,2.545820
0.020000,6.371487,7.403104,1.764849,0.225340,-0.518762,0.613664,2.555907
0.020000,6.367889,7.405466,1.769154,0.215214,-0.506297,0.623248,2.565481
0.020000,6.364435,7.407688,1.773260,0.205298,-0.495816,0.524077,2.574555
0.020000,6.361126,7.409775,1.777172,0.195615,-0.484159,0.582808,2.583143
0.020000,6.357961,7.411735,1.780895,0.186141,-0.473685,0.523711,2.591260
0.020000,6.354939,7.413573,1.784432,0.176880,-0.463042,0.532180,2.598922
0.020000,6.352058,7.415296,1.787789,0.167837,-0.452151,0.544548,2.606142
0.020000,6.349318,7.416909,1.790969,0.158986,-0.442553,0.479901,2.612937
0.020000,6.346716,7.418418,1.793976,0.150373,-0.430688,0.593210,2.619322
0.020000,6.344252,7.419827,1.796815,0.141943,-0.421496,0.459642,2.625310
0.020000,6.341922,7.421141,1.799490,0.133744,-0.409920,0.578787,2.630918
0.020000,6.339724,7.422364,1.802005,0.125762,-0.399095,0.541248,2.636160
0.020000,6.337656,7.423502,1.804365,0.118002,-0.388022,0.553642,2.641050
0.020000,6.335716,7.424557,1.806574,0.110444,-0.377918,0.505191,2.645602
0.020000,6.333900,7.425535,1.808637,0.103135,-0.365440,0.623922,2.649831
0.020000,6.332205,7.426439,1.810558,0.096046,-0.354426,0.550704,2.653749
0.020000,6.330627,7.427272,1.812342,0.089195,-0.342589,0.591844,2.657371
0.020000,6.329165,7.428038,1.813993,0.082561,-0.331665,0.546165,2.660709
0.020000,6.327813,7.428741,1.815517,0.076184,-0.318868,0.639849,2.663777
0.020000,6.326568,7.429384,1.816917,0.070044,-0.306997,0.593592,2.666587
0.020000,6.325426,7.429969,1.818200,0.064147,-0.294844,0.607656,2.669151
0.020000,6.324384,7.430500,1.819370,0.058498,-0.282431,0.620624,2.671482
0.020000,6.323437,7.430980,1.820432,0.053103,-0.269782,0.632441,2.673591
0.020000,6.322580,7.431412,1.821391,0.047951,-0.257597,0.609284,2.675491
0.020000,6.321811,7.431798,1.822252,0.043050,-0.245028,0.628425,2.677193
0.020000,6.321123,7.432142,1.823021,0.038430,-0.231035,0.699667,2.678708
0.020000,6.320514,7.432445,1.823702,0.034033,-0.219826,0.560458,2.680048
0.020000,6.319978,7.432712,1.824300,0.029935,-0.204889,0.746819,2.681224
0.020000,6.319511,7.432943,1.824821,0.026056,-0.193989,0.545034,2.682246
0.020000,6.319108,7.433142,1.825271,0.022475,-0.179014,0.748701,2.683126
0.020000,6.318764,7.433312,1.825654,0.019152,-0.166153,0.643084,2.683876
0.020000,6.318476,7.433454,1.825975,0.016069,-0.154165,0.599408,2.684504
0.020000,6.318238,7.433571,1.826241,0.013276,-0.139669,0.724798,2.685022
0.020000,6.318045,7.433665,1.826456,0.010746,-0.126465,0.660175,2.685442
0.020000,6.317892,7.433740,1.826625,0.008482,-0.113197,0.663407,2.685773
0.020000,6.317776,7.433797,1.826755,0.006485,-0.099877,0.666003,2.686026
0.020000,6.317691,7.433839,1.826850,0.004754,-0.086516,0.668030,2.686211
0.020000,6.317631,7.433868,1.826916,0.003292,-0.073125,0.669556,2.686339
0.020000,6.317594,7.433886,1.826958,0.002098,-0.059712,0.670650,2.686421
0.020000,6.317573,7.433897,1.826981,0.001172,-0.046285,0.671383,2.686467
0.020000,6.317563,7.433901,1.826992,0.000515,-0.032848,0.671829,2.686487
0.020000,6.317561,7.433902,1.826994,0.000127,-0.019407,0.672059,2.686492
0.020000,6.317561,7.433902,1.826994,0.000000,-0.006343,0.653203,2.686492
