dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,7.412767,6.202540,0.000004,0.000400,0.019976,0.998801,2.721350
0.020000,7.412767,6.202540,0.000020,0.001199,0.039952,0.998801,2.721330
0.020000,7.412767,6.202540,0.000056,0.002397,0.059928,0.998801,2.721285
0.020000,7.412767,6.202540,0.000120,0.003995,0.079904,0.998801,2.721204
0.020000,7.412767,6.202540,0.000220,0.005993,0.099880,0.998801,2.721077
0.020000,7.412767,6.202540,0.000364,0.008390,0.119856,0.998801,2.720895
0.020000,7.412767,6.202540,0.000559,0.011187,0.139832,0.998801,2.720647
0.020000,7.412767,6.202540,0.000815,0.014383,0.159808,0.998801,2.720324
0.020000,7.412767,6.202540,0.001139,0.017978,0.179784,0.998801,2.719914
0.020000,7.412767,6.202540,0.001538,0.021974,0.199760,0.998801,2.719408
0.020000,7.412767,6.202540,0.002022,0.026368,0.219736,0.998801,2.718795
0.020000,7.412282,6.202758,0.002597,0.031163,0.239712,0.998801,2.718065
0.020000,7.411667,6.203036,0.003272,0.036356,0.259688,0.998801,2.717208
0.020000,7.410954,6.203358,0.004055,0.041950,0.279664,0.998801,2.716214
0.020000,7.410135,6.203730,0.004954,0.047942,0.299640,0.998801,2.715070
0.020000,7.409204,6.204154,0.005977,0.054335,0.319616,0.998801,2.713768
0.020000,7.408154,6.204633,0.007131,0.061127,0.339592,0.998801,2.712295
0.020000,7.406978,6.205173,0.008426,0.068318,0.359568,0.998801,2.710642
0.020000,7.405668,6.205777,0.009868,0.075909,0.379544,0.998801,2.708796
0.020000,7.404217,6.206449,0.011466,0.083899,0.399520,0.998801,2.706746
0.020000,7.402620,6.207193,0.013228,0.092289,0.419496,0.998801,2.704482
0.020000,7.400869,6.208013,0.015162,0.101079,0.439472,0.998801,2.701990
0.020000,7.398958,6.208915,0.017275,0.110268,0.459448,0.998801,2.699260
0.020000,7.396880,6.209904,0.019576,0.119856,0.479424,0.998801,2.696278
0.020000,7.394628,6.210983,0.022073,0.129844,0.499400,0.998801,2.693033
0.020000,7.392197,6.212158,0.024774,0.140232,0.519376,0.998801,2.689511
0.020000,7.389579,6.213436,0.027687,0.151019,0.539352,0.998801,2.685699
0.020000,7.386770,6.214820,0.030819,0.162205,0.559328,0.998801,2.681584
0.020000,7.383762,6.216319,0.034179,0.173791,0.579304,0.998801,2.677152
0.020000,7.380551,6.217937,0.037775,0.185777,0.599280,0.998801,2.672389
0.020000,7.377131,6.219682,0.041614,0.198162,0.619256,0.998801,2.667281
0.020000,7.373497,6.221560,0.045705,0.210947,0.639232,0.998801,2.661813
0.020000,7.369643,6.223580,0.050056,0.224131,0.659208,0.998801,2.655970
0.020000,7.365566,6.225748,0.054674,0.237715,0.679184,0.998801,2.649736
0.020000,7.361259,6.228074,0.059568,0.251698,0.699160,0.998801,2.643096
0.020000,7.356721,6.230565,0.064746,0.266081,0.719136,0.998801,2.636034
0.020000,7.351945,6.233232,0.070216,0.280863,0.739113,0.998801,2.628533
0.020000,7.346930,6.236084,0.075985,0.296045,0.759089,0.998801,2.620577
0.020000,7.341673,6.239130,0.082061,0.311626,0.779065,0.998801,2.612151
0.020000,7.336170,6.242383,0.088454,0.327607,0.799041,0.998801,2.603237
0.020000,7.330420,6.245854,0.095170,0.343987,0.819017,0.998801,2.593820
0.020000,7.324422,6.249554,0.102217,0.360767,0.838993,0.998801,2.583884
0.020000,7.318175,6.253496,0.109604,0.377946,0.858969,0.998801,2.573413
0.020000,7.311679,6.257694,0.117339,0.395525,0.878945,0.998801,2.562392
0.020000,7.304934,6.262162,0.125429,0.413503,0.898921,0.998801,2.550808
0.020000,7.297942,6.266913,0.133883,0.431881,0.918897,0.998801,2.538648
0.020000,7.290704,6.271964,0.142709,0.450659,0.938873,0.998801,2.525899
0.020000,7.283229,6.277327,0.151910,0.469436,0.938873,0.000000,2.512559
0.020000,7.275525,6.283016,0.161486,0.488214,0.938873,0.000000,2.498632
0.020000,7.267603,6.289040,0.171438,0.506991,0.938873,0.000000,2.484125
