dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.471030,3.158344,0.000004,0.000400,0.020000,1.000000,0.001681
0.020000,1.471031,3.158344,0.000005,0.000065,-0.016727,-1.836327,0.001675
0.020000,1.471034,3.158344,0.000008,0.000147,0.004092,1.040919,0.001664
0.020000,1.471039,3.158344,0.000013,0.000262,0.005729,0.081840,0.001643
0.020000,1.471047,3.158344,0.000022,0.000409,0.007366,0.081845,0.001610
0.020000,1.471059,3.158344,0.000033,0.000589,0.009003,0.081853,0.001563
0.020000,1.471075,3.158344,0.000050,0.000802,0.010640,0.081864,0.001499
0.020000,1.471096,3.158344,0.000070,0.001048,0.012277,0.081880,0.001415
0.020000,1.471123,3.158344,0.000097,0.001326,0.013916,0.081902,0.001309
0.020000,1.471155,3.158344,0.000130,0.001637,0.015554,0.081929,0.001178
0.020000,1.471195,3.158344,0.000169,0.001981,0.017193,0.081963,0.001019
0.020000,1.471242,3.158344,0.000216,0.002358,0.018833,0.082005,0.000831
0.020000,1.471297,3.158344,0.000272,0.002767,0.020475,0.082055,0.000609
0.020000,1.471362,3.158344,0.000336,0.003209,0.022117,0.082113,0.000353
0.020000,1.471435,3.158344,0.000410,0.003685,0.023760,0.082181,0.000058
0.020000,1.472367,3.158344,0.001341,0.046582,2.144897,106.056816,6.282908
0.020000,1.473618,3.158343,0.002592,0.062549,0.798326,-67.328533,6.282529
0.020000,1.475020,3.158342,0.003995,0.070109,0.378015,-21.015555,6.282104
0.020000,1.476582,3.158340,0.005556,0.078097,0.399393,1.068878,6.281630
0.020000,1.478314,3.158337,0.007288,0.086577,0.424006,1.230689,6.281105
0.020000,1.480223,3.158332,0.009197,0.095447,0.443495,0.974450,6.280526
0.020000,1.482317,3.158326,0.011291,0.104720,0.463664,1.008418,6.279891
0.020000,1.484607,3.158318,0.013582,0.114520,0.489964,1.314999,6.279195
0.020000,1.487101,3.158307,0.016075,0.124660,0.507014,0.852516,6.278437
0.020000,1.489806,3.158293,0.018781,0.135294,0.531706,1.234615,6.277614
0.020000,1.492733,3.158275,0.021707,0.146323,0.551428,0.986110,6.276724
0.020000,1.495889,3.158253,0.024864,0.157831,0.575396,1.198402,6.275762
0.020000,1.499283,3.158227,0.028258,0.169704,0.593680,0.914169,6.274728
0.020000,1.502925,3.158194,0.031900,0.182116,0.620586,1.345307,6.273617
0.020000,1.506823,3.158154,0.035798,0.194881,0.638250,0.883200,6.272426
0.020000,1.510984,3.158107,0.039960,0.208088,0.660375,1.106251,6.271154
0.020000,1.515419,3.158050,0.044395,0.221759,0.683522,1.157326,6.269797
0.020000,1.520136,3.157984,0.049112,0.235881,0.706113,1.129560,6.268351
0.020000,1.525144,3.157906,0.054121,0.250410,0.726424,1.015568,6.266815
0.020000,1.530451,3.157814,0.059428,0.265380,0.748505,1.104042,6.265185
0.020000,1.536066,3.157708,0.065044,0.280789,0.770487,1.099123,6.263457
0.020000,1.541997,3.157586,0.070977,0.296637,0.792362,1.093719,6.261630
0.020000,1.548254,3.157445,0.077235,0.312919,0.814118,1.087830,6.259700
0.020000,1.554845,3.157284,0.083828,0.329662,0.837162,1.152186,6.257663
0.020000,1.561780,3.157099,0.090765,0.346848,0.859290,1.106371,6.255516
0.020000,1.569065,3.156889,0.098054,0.364436,0.879406,1.005841,6.253257
0.020000,1.576711,3.156651,0.105704,0.382475,0.901932,1.126268,6.250882
0.020000,1.584727,3.156382,0.113724,0.401001,0.926319,1.219344,6.248387
0.020000,1.593119,3.156079,0.122122,0.419896,0.944745,0.921324,6.245770
0.020000,1.601899,3.155738,0.130908,0.439304,0.970379,1.281720,6.243027
0.020000,1.611073,3.155357,0.140090,0.459114,0.990524,1.007246,6.240154
0.020000,1.620651,3.154930,0.149677,0.479358,1.012212,1.084389,6.237148
0.020000,1.630640,3.154454,0.159678,0.500061,1.035102,1.144503,6.234006
0.020000,1.641052,3.153924,0.170103,0.521230,1.058495,1.169660,6.230724
0.020000,1.651892,3.153336,0.180959,0.542819,1.079431,1.046796,6.227298
0.020000,1.663162,3.152686,0.192248,0.564423,1.080206,0.038713,6.223728
