dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.190070,7.849305,0.000004,0.000400,0.020000,1.000000,6.232089
0.020000,0.190070,7.849305,0.000004,0.000003,-0.019839,-1.991955,6.232090
0.020000,0.190070,7.849305,0.000004,0.000007,0.000201,1.002010,6.232090
0.020000,0.190069,7.849305,0.000004,0.000013,0.000282,0.004020,6.232091
0.020000,0.190069,7.849305,0.000005,0.000020,0.000362,0.004018,6.232093
0.020000,0.190069,7.849305,0.000005,0.000029,0.000442,0.004013,6.232095
0.020000,0.190068,7.849305,0.000006,0.000039,0.000522,0.004006,6.232098
0.020000,0.190067,7.849305,0.000007,0.000051,0.000602,0.003997,6.232102
0.020000,0.190065,7.849306,0.000009,0.000065,0.000682,0.003985,6.232108
0.020000,0.190064,7.849306,0.000010,0.000080,0.000761,0.003969,6.232114
0.020000,0.190062,7.849306,0.000012,0.000097,0.000840,0.003949,6.232122
0.020000,0.190060,7.849306,0.000014,0.000115,0.000919,0.003925,6.232131
0.020000,0.190057,7.849306,0.000017,0.000135,0.000997,0.003896,6.232142
0.020000,0.190054,7.849306,0.000020,0.000157,0.001074,0.003862,6.232154
0.020000,0.190050,7.849306,0.000024,0.000180,0.001150,0.003823,6.232169
0.020000,0.190046,7.849307,0.000028,0.000204,0.001226,0.003777,6.232185
0.020000,0.190041,7.849307,0.000033,0.000230,0.001300,0.003725,6.232204
0.020000,0.190986,7.849259,0.000979,0.047299,2.353442,117.607058,6.232224
0.020000,0.192423,7.849185,0.002417,0.071913,1.230679,-56.138124,6.232247
0.020000,0.194014,7.849104,0.004010,0.079683,0.388496,-42.109151,6.232273
0.020000,0.195769,7.849015,0.005767,0.087851,0.408432,0.996778,6.232300
0.020000,0.197695,7.848917,0.007696,0.096419,0.428361,0.996457,6.232331
0.020000,0.199800,7.848810,0.009804,0.105383,0.448229,0.993413,6.232364
0.020000,0.202092,7.848693,0.012098,0.114748,0.468247,1.000889,6.232400
0.020000,0.204579,7.848567,0.014589,0.124512,0.488194,0.997357,6.232440
0.020000,0.207269,7.848430,0.017282,0.134673,0.508045,0.992549,6.232482
0.020000,0.210170,7.848283,0.020187,0.145234,0.528075,1.001524,6.232527
0.020000,0.213290,7.848125,0.023311,0.156195,0.548011,0.996759,6.232575
0.020000,0.216636,7.847955,0.026662,0.167553,0.567909,0.994938,6.232627
0.020000,0.220218,7.847774,0.030248,0.179312,0.587954,1.002238,6.232682
0.020000,0.224043,7.847581,0.034077,0.191468,0.607800,0.992285,6.232741
0.020000,0.228118,7.847375,0.038158,0.204025,0.627877,1.003838,6.232803
0.020000,0.232452,7.847157,0.042498,0.216980,0.647751,0.993723,6.232868
0.020000,0.237053,7.846926,0.047104,0.230336,0.667779,1.001413,6.232937
0.020000,0.241929,7.846681,0.051986,0.244091,0.687767,0.999398,6.233010
0.020000,0.247087,7.846422,0.057151,0.258245,0.707664,0.994829,6.233087
0.020000,0.252536,7.846149,0.062607,0.272799,0.727735,1.003576,6.233167
0.020000,0.258284,7.845861,0.068362,0.287754,0.747718,0.999145,6.233250
