dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.177302,7.599632,0.000004,0.000400,0.020000,1.000000,6.232089
0.020000,0.177302,7.599632,0.000020,0.001200,0.040000,1.000000,6.232090
0.020000,0.177302,7.599632,0.000056,0.002400,0.060000,1.000000,6.232090
0.020000,0.177302,7.599632,0.000120,0.004000,0.080000,1.000000,6.232091
0.020000,0.177302,7.599632,0.000220,0.006000,0.100000,1.000000,6.232093
0.020000,0.177302,7.599632,0.000364,0.008400,0.120000,1.000000,6.232095
0.020000,0.177302,7.599632,0.000560,0.011200,0.140000,1.000000,6.232098
0.020000,0.177302,7.599632,0.000816,0.014400,0.160000,1.000000,6.232102
0.020000,0.177302,7.599632,0.001140,0.018000,0.180000,1.000000,6.232108
0.020000,0.177302,7.599632,0.001540,0.022000,0.200000,1.000000,6.232114
0.020000,0.177302,7.599632,0.002024,0.026400,0.220000,1.000000,6.232122
0.020000,0.177302,7.599632,0.002600,0.031200,0.240000,1.000000,6.232131
0.020000,0.177302,7.599632,0.003276,0.036400,0.260000,1.000000,6.232142
0.020000,0.177302,7.599632,0.004060,0.042000,0.280000,1.000000,6.232154
0.020000,0.177302,7.599632,0.004960,0.048000,0.300000,1.000000,6.232169
0.020000,0.177302,7.599632,0.005984,0.054400,0.320000,1.000000,6.232185
0.020000,0.177302,7.599632,0.007140,0.061200,0.340000,1.000000,6.232204
0.020000,0.178251,7.599583,0.008436,0.068400,0.360000,1.000000,6.232224
0.020000,0.179694,7.599510,0.009880,0.076000,0.380000,1.000000,6.232247
0.020000,0.181291,7.599428,0.011480,0.084000,0.400000,1.000000,6.232273
0.020000,0.183053,7.599338,0.013244,0.092400,0.420000,1.000000,6.232300
0.020000,0.184987,7.599240,0.015180,0.101200,0.440000,1.000000,6.232331
0.020000,0.187100,7.599132,0.017296,0.110400,0.460000,1.000000,6.232364
0.020000,0.189401,7.599015,0.019600,0.120000,0.480000,1.000000,6.232400
0.020000,0.191898,7.598889,0.022100,0.130000,0.500000,1.000000,6.232440
0.020000,0.194598,7.598751,0.024804,0.140400,0.520000,1.000000,6.232482
0.020000,0.197511,7.598604,0.027720,0.151200,0.540000,1.000000,6.232527
0.020000,0.200643,7.598445,0.030856,0.162400,0.560000,1.000000,6.232575
0.020000,0.204002,7.598275,0.034220,0.174000,0.580000,1.000000,6.232627
0.020000,0.207598,7.598093,0.037820,0.186000,0.600000,1.000000,6.232682
0.020000,0.211437,7.597899,0.041664,0.198400,0.620000,1.000000,6.232741
0.020000,0.215528,7.597693,0.045760,0.211200,0.640000,1.000000,6.232803
0.020000,0.219878,7.597473,0.050116,0.224400,0.660000,1.000000,6.232868
0.020000,0.224496,7.597241,0.054740,0.238000,0.680000,1.000000,6.232937
0.020000,0.229390,7.596995,0.059640,0.252000,0.700000,1.000000,6.233010
0.020000,0.234567,7.596735,0.064824,0.266400,0.720000,1.000000,6.233087
0.020000,0.240037,7.596461,0.070300,0.281200,0.740000,1.000000,6.233167
0.020000,0.245805,7.596173,0.076076,0.296400,0.760000,1.000000,6.233250
0.020000,0.251882,7.595869,0.082160,0.312000,0.780000,1.000000,6.233338
0.020000,0.258274,7.595551,0.088560,0.328000,0.800000,1.000000,6.233429
0.020000,0.264990,7.595217,0.095284,0.344400,0.820000,1.000000,6.233523
0.020000,0.272037,7.594867,0.102340,0.361200,0.840000,1.000000,6.233622
0.020000,0.279424,7.594501,0.109736,0.378400,0.860000,1.000000,6.233724
0.020000,0.287158,7.594118,0.117480,0.396000,0.880000,1.000000,6.233829
0.020000,0.295249,7.593719,0.125580,0.414000,0.900000,1.000000,6.233938
0.020000,0.303702,7.593303,0.134044,0.432400,0.920000,1.000000,6.234050
0.020000,0.312528,7.592869,0.142880,0.451200,0.940000,1.000000,6.234166
0.020000,0.321733,7.592418,0.152096,0.470400,0.960000,1.000000,6.234285
0.020000,0.331325,7.591950,0.161700,0.490000,0.980000,1.000000,6.234406
0.020000,0.341313,7.591463,0.171700,0.510000,1.000000,1.000000,6.234531
0.020000,0.351697,7.590958,0.182096,0.529600,0.980000,-1.000000,6.234658
0.020000,0.362468,7.590435,0.192880,0.548800,0.960000,-1.000000,6.234788
0.020000,0.373619,7.589896,0.204044,0.567600,0.940000,-1.000000,6.234919
0.020000,0.385142,7.589340,0.215580,0.586000,0.920000,-1.000000,6.235052
0.020000,0.397028,7.588768,0.227480,0.604000,0.900000,-1.000000,6.235186
0.020000,0.409270,7.588181,0.239736,0.621600,0.880000,-1.000000,6.235321
0.020000,0.421860,7.587579,0.252340,0.638800,0.860000,-1.000000,6.235457
0.020000,0.434789,7.586962,0.265284,0.655600,0.840000,-1.000000,6.235592
0.020000,0.448050,7.586331,0.278560,0.672000,0.820000,-1.000000,6.235727
0.020000,0.461635,7.585687,0.292160,0.688000,0.800000,-1.000000,6.235862
0.020000,0.475535,7.585030,0.306076,0.703600,0.780000,-1.000000,6.235995
0.020000,0.489743,7.584360,0.320300,0.718800,0.760000,-1.000000,6.236127
0.020000,0.504251,7.583677,0.334824,0.733600,0.740000,-1.000000,6.236257
