dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.164533,7.349958,0.000004,0.000400,0.020000,1.000000,6.232089
0.020000,0.164533,7.349958,0.000004,0.000003,-0.019839,-1.991955,6.232090
0.020000,0.164533,7.349958,0.000004,0.000007,0.000201,1.002010,6.232090
0.020000,0.164534,7.349958,0.000004,0.000013,0.000282,0.004020,6.232091
0.020000,0.164534,7.349958,0.000005,0.000020,0.000362,0.004018,6.232093
0.020000,0.164535,7.349958,0.000005,0.000029,0.000442,0.004013,6.232095
0.020000,0.164535,7.349958,0.000006,0.000039,0.000522,0.004006,6.232098
0.020000,0.164536,7.349958,0.000007,0.000051,0.000602,0.003997,6.232102
0.020000,0.164538,7.349958,0.000009,0.000065,0.000682,0.003985,6.232108
0.020000,0.164539,7.349958,0.000010,0.000080,0.000761,0.003969,6.232114
0.020000,0.164541,7.349957,0.000012,0.000097,0.000840,0.003949,6.232122
0.020000,0.164544,7.349957,0.000014,0.000115,0.000919,0.003925,6.232131
0.020000,0.164546,7.349957,0.000017,0.000135,0.000997,0.003896,6.232142
0.020000,0.164549,7.349957,0.000020,0.000157,0.001074,0.003862,6.232154
0.020000,0.164553,7.349957,0.000024,0.000180,0.001150,0.003823,6.232169
0.020000,0.164557,7.349957,0.000028,0.000204,0.001226,0.003777,6.232185
0.020000,0.164562,7.349956,0.000033,0.000230,0.001300,0.003725,6.232204
0.020000,0.165517,7.349908,0.000989,0.047815,2.379232,118.896562,6.232224
0.020000,0.166965,7.349834,0.002439,0.072486,1.233570,-57.283062,6.232247
0.020000,0.168569,7.349752,0.004045,0.080317,0.391528,-42.102100,6.232273
0.020000,0.170337,7.349662,0.005816,0.088549,0.411602,1.003661,6.232300
0.020000,0.172279,7.349563,0.007760,0.097182,0.431665,1.003153,6.232331
0.020000,0.174400,7.349455,0.009884,0.106216,0.451662,0.999883,6.232364
0.020000,0.176710,7.349338,0.012197,0.115652,0.471806,1.007197,6.232400
0.020000,0.179217,7.349210,0.014707,0.125489,0.491874,1.003394,6.232440
0.020000,0.181928,7.349073,0.017421,0.135726,0.511840,0.998286,6.232482
0.020000,0.184851,7.348924,0.020349,0.146366,0.531981,1.007048,6.232527
0.020000,0.187995,7.348765,0.023497,0.157406,0.552020,1.001939,6.232575
0.020000,0.191368,7.348594,0.026874,0.168846,0.572015,0.999773,6.232627
0.020000,0.194977,7.348412,0.030487,0.180689,0.592151,1.006774,6.232682
0.020000,0.198831,7.348217,0.034346,0.192931,0.612078,0.996365,6.232741
0.020000,0.202937,7.348010,0.038457,0.205575,0.632230,1.007600,6.232803
0.020000,0.207304,7.347790,0.042830,0.218619,0.652169,0.996974,6.232868
0.020000,0.211939,7.347557,0.047471,0.232064,0.672255,1.004262,6.232937
0.020000,0.216851,7.347310,0.052389,0.245910,0.692289,1.001742,6.233010
0.020000,0.222048,7.347049,0.057592,0.260154,0.712222,0.996619,6.233087
0.020000,0.227537,7.346774,0.063088,0.274801,0.732319,1.004882,6.233167
0.020000,0.233327,7.346484,0.068885,0.289847,0.752316,0.999837,6.233250
0.020000,0.239425,7.346180,0.074991,0.305293,0.772301,0.999250,6.233338
0.020000,0.245840,7.345860,0.081414,0.321138,0.792260,0.997952,6.233429
0.020000,0.252579,7.345525,0.088162,0.337384,0.812291,1.001537,6.233523
0.020000,0.259651,7.345174,0.095242,0.354029,0.832267,0.998826,6.233622
0.020000,0.267064,7.344806,0.102664,0.371074,0.852238,0.998539,6.233724
0.020000,0.274824,7.344423,0.110434,0.388518,0.872203,0.998237,6.233829
0.020000,0.282942,7.344022,0.118561,0.406361,0.892161,0.997918,6.233938
0.020000,0.291424,7.343605,0.127053,0.424604,0.912113,0.997582,6.234050
0.020000,0.300278,7.343170,0.135918,0.443244,0.932034,0.996059,6.234166
0.020000,0.309512,7.342717,0.145164,0.462283,0.951957,0.996124,6.234285
0.020000,0.319135,7.342247,0.154798,0.481722,0.971912,0.997749,6.234406
0.020000,0.329155,7.341758,0.164830,0.501558,0.991833,0.996053,6.234531
0.020000,0.339570,7.341252,0.175257,0.521390,0.991602,-0.011548,6.234658
0.020000,0.350374,7.340728,0.186074,0.540819,0.971444,-1.007904,6.234788
0.020000,0.361558,7.340187,0.197271,0.559843,0.951184,-1.012973,6.234919
0.020000,0.373113,7.339630,0.208840,0.578462,0.930965,-1.010951,6.235052
0.020000,0.385033,7.339056,0.220773,0.596677,0.910719,-1.012314,6.235186
0.020000,0.397309,7.338467,0.233063,0.614487,0.890534,-1.009252,6.235321
0.020000,0.409932,7.337864,0.245701,0.631892,0.870224,-1.015467,6.235457
0.020000,0.422895,7.337245,0.258679,0.648893,0.850058,-1.008320,6.235592
0.020000,0.436190,7.336613,0.271989,0.665489,0.829825,-1.011660,6.235727
0.020000,0.449808,7.335967,0.285622,0.681681,0.809590,-1.011731,6.235862
0.020000,0.463742,7.335308,0.299572,0.697468,0.789336,-1.012732,6.235995
0.020000,0.477983,7.334637,0.313829,0.712851,0.769137,-1.009923,6.236127
0.020000,0.492524,7.333953,0.328385,0.727829,0.748917,-1.010995,6.236257
0.020000,0.507356,7.333257,0.343233,0.742403,0.728697,-1.011032,6.236386
0.020000,0.522470,7.332550,0.358365,0.756573,0.708480,-1.010834,6.236512
0.020000,0.537860,7.331832,0.373771,0.770338,0.688267,-1.010632,6.236635
0.020000,0.553518,7.331104,0.389445,0.783699,0.668059,-1.010426,6.236754
0.020000,0.569434,7.330365,0.405379,0.796656,0.647854,-1.010215,6.236871
0.020000,0.585600,7.329617,0.421563,0.809209,0.627635,-1.010980,6.236984
0.020000,0.602010,7.328859,0.437990,0.821358,0.607453,-1.009076,6.237092
0.020000,0.618654,7.328092,0.454652,0.833103,0.587266,-1.009349,6.237197
0.020000,0.635526,7.327317,0.471541,0.844445,0.567081,-1.009278,6.237296
0.020000,0.652615,7.326533,0.488649,0.855383,0.546891,-1.009487,6.237391
0.020000,0.669915,7.325741,0.505967,0.865917,0.526700,-1.009531,6.237480
0.020000,0.687418,7.324941,0.523488,0.876048,0.506555,-1.007288,6.237564
0.020000,0.705115,7.324134,0.541203,0.885775,0.486382,-1.008640,6.237642
0.020000,0.722999,7.323319,0.559105,0.895100,0.466206,-1.008797,6.237714
0.020000,0.741060,7.322498,0.577186,0.904021,0.446079,-1.006348,6.237780
0.020000,0.759292,7.321670,0.595437,0.912539,0.425910,-1.008461,6.237839
0.020000,0.777687,7.320836,0.613850,0.920655,0.405785,-1.006255,6.237891
0.020000,0.796235,7.319996,0.632417,0.928368,0.385645,-1.006997,6.237937
0.020000,0.814929,7.319150,0.651131,0.935678,0.365520,-1.006223,6.237975
0.020000,0.833762,7.318298,0.669982,0.942586,0.345401,-1.005959,6.238006
0.020000,0.852724,7.317441,0.688964,0.949092,0.325289,-1.005580,6.238029
0.020000,0.871809,7.316579,0.708068,0.955196,0.305184,-1.005270,6.238045
0.020000,0.891007,7.315712,0.727286,0.960898,0.285089,-1.004762,6.238053
0.020000,0.910311,7.314840,0.746610,0.966198,0.264998,-1.004523,6.238052
0.020000,0.929714,7.313963,0.766032,0.971096,0.244917,-1.004086,6.238044
0.020000,0.949206,7.313083,0.785544,0.975593,0.224846,-1.003541,6.238027
0.020000,0.968779,7.312198,0.805137,0.979688,0.204778,-1.003402,6.238003
0.020000,0.988427,7.311309,0.824805,0.983383,0.184718,-1.002989,6.237969
0.020000,1.008140,7.310417,0.844539,0.986676,0.164679,-1.001949,6.237927
0.020000,1.027911,7.309521,0.864330,0.989569,0.144625,-1.002693,6.237877
0.020000,1.047732,7.308622,0.884171,0.992061,0.124599,-1.001326,6.237818
0.020000,1.067595,7.307719,0.904054,0.994152,0.104581,-1.000885,6.237750
0.020000,1.087491,7.306814,0.923971,0.995843,0.084550,-1.001560,6.237673
0.020000,1.107413,7.305906,0.943914,0.997134,0.064554,-0.999777,6.237588
0.020000,1.127353,7.304995,0.963874,0.998026,0.044560,-0.999729,6.237494
0.020000,1.147302,7.304082,0.983845,0.998517,0.024551,-1.000434,6.237391
0.020000,1.167253,7.303167,1.003817,0.998608,0.004584,-0.998334,6.237280
0.020000,1.187202,7.302249,1.023787,0.998500,-0.005398,-0.499129,6.237160
0.020000,1.207149,7.301329,1.043755,0.998392,-0.005423,-0.001238,6.237031
0.020000,1.227093,7.300407,1.063720,0.998284,-0.005407,0.000814,6.236894
0.020000,1.247035,7.299481,1.083684,0.998176,-0.005398,0.000443,6.236748
0.020000,1.266975,7.298553,1.103645,0.998067,-0.005429,-0.001566,6.236594
0.020000,1.286913,7.297622,1.123604,0.997959,-0.005411,0.000892,6.236430
0.020000,1.306848,7.296687,1.143561,0.997851,-0.005398,0.000692,6.236258
0.020000,1.326780,7.295750,1.163516,0.997742,-0.005436,-0.001922,6.236078
0.020000,1.346711,7.294808,1.183469,0.997634,-0.005417,0.000933,6.235889
0.020000,1.366639,7.293863,1.203419,0.997526,-0.005397,0.001010,6.235691
0.020000,1.386565,7.292914,1.223368,0.997417,-0.005443,-0.002310,6.235484
0.020000,1.406488,7.291961,1.243314,0.997309,-0.005425,0.000935,6.235269
0.020000,1.426409,7.291003,1.263258,0.997201,-0.005397,0.001401,6.235045
0.020000,1.446328,7.290041,1.283200,0.997092,-0.005451,-0.002730,6.234812
0.020000,1.466244,7.289075,1.303140,0.996983,-0.005433,0.000894,6.234571
0.020000,1.486158,7.288103,1.323077,0.996875,-0.005396,0.001873,6.234321
0.020000,1.506069,7.287127,1.343012,0.996766,-0.005460,-0.003187,6.234062
0.020000,1.525978,7.286146,1.362945,0.996657,-0.005444,0.000806,6.233795
0.020000,1.545885,7.285159,1.382876,0.996549,-0.005395,0.002431,6.233518
0.020000,1.565789,7.284167,1.402805,0.996440,-0.005469,-0.003682,6.233234
0.020000,1.585690,7.283169,1.422732,0.996331,-0.005455,0.000668,6.232940
0.020000,1.605590,7.282165,1.442656,0.996223,-0.005394,0.003082,6.232638
0.020000,1.625486,7.281155,1.462579,0.996113,-0.005478,-0.004219,6.232327
0.020000,1.645380,7.280140,1.482499,0.996004,-0.005468,0.000474,6.232007
0.020000,1.665272,7.279117,1.502417,0.995896,-0.005392,0.003834,6.231679
0.020000,1.685161,7.278089,1.522332,0.995786,-0.005488,-0.004802,6.231342
0.020000,1.705048,7.277053,1.542246,0.995677,-0.005483,0.000222,6.230996
0.020000,1.724932,7.276011,1.562157,0.995569,-0.005389,0.004695,6.230642
0.020000,1.744813,7.274962,1.582066,0.995459,-0.005498,-0.005433,6.230278
0.020000,1.764692,7.273906,1.601973,0.995349,-0.005500,-0.000094,6.229906
0.020000,1.784569,7.272842,1.621878,0.995241,-0.005387,0.005673,6.229525
0.020000,1.804443,7.271770,1.641781,0.995131,-0.005509,-0.006116,6.229136
0.020000,1.824314,7.270691,1.661681,0.995021,-0.005514,-0.000274,6.228738
0.020000,1.844182,7.269605,1.681580,0.994913,-0.005391,0.006168,6.228331
0.020000,1.864048,7.268510,1.701476,0.994803,-0.005516,-0.006248,6.227915
0.020000,1.883911,7.267406,1.721369,0.994692,-0.005526,-0.000480,6.227490
0.020000,1.903772,7.266295,1.741261,0.994584,-0.005405,0.006049,6.227057
0.020000,1.923630,7.265175,1.761151,0.994474,-0.005518,-0.005693,6.226615
0.020000,1.943485,7.264046,1.781038,0.994363,-0.005537,-0.000934,6.226164
0.020000,1.963338,7.262908,1.800923,0.994254,-0.005420,0.005841,6.225704
0.020000,1.983187,7.261761,1.820806,0.994144,-0.005520,-0.004972,6.225236
0.020000,2.003034,7.260605,1.840686,0.994033,-0.005549,-0.001463,6.224758
0.020000,2.022879,7.259439,1.860565,0.993924,-0.005438,0.005539,6.224272
0.020000,2.042720,7.258264,1.880441,0.993814,-0.005520,-0.004077,6.223777
0.020000,2.062559,7.257079,1.900315,0.993703,-0.005561,-0.002071,6.223274
0.020000,2.082395,7.255884,1.920187,0.993594,-0.005458,0.005141,6.222761
0.020000,2.102228,7.254679,1.940057,0.993483,-0.005518,-0.003001,6.222240
0.020000,2.122058,7.253464,1.959924,0.993372,-0.005574,-0.002763,6.221710
0.020000,2.141885,7.252238,1.979789,0.993262,-0.005481,0.004641,6.221170
0.020000,2.161710,7.251002,1.999653,0.993152,-0.005516,-0.001735,6.220623
0.020000,2.181532,7.249754,2.019513,0.993040,-0.005586,-0.003540,6.220066
0.020000,2.201350,7.248496,2.039372,0.992930,-0.005506,0.004036,6.219500
0.020000,2.221166,7.247227,2.059228,0.992820,-0.005511,-0.000275,6.218926
0.020000,2.240979,7.245946,2.079082,0.992708,-0.005599,-0.004406,6.218342
0.020000,2.260789,7.244654,2.098934,0.992597,-0.005533,0.003325,6.217750
0.020000,2.280596,7.243350,2.118784,0.992487,-0.005505,0.001384,6.217149
0.020000,2.300399,7.242034,2.138632,0.992375,-0.005612,-0.005362,6.216539
0.020000,2.320200,7.240707,2.158477,0.992263,-0.005562,0.002505,6.215920
