dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.471450,5.100000,0.000004,0.000400,0.020000,1.000000,6.281319
0.020000,1.471450,5.100000,0.000020,0.001200,0.040000,1.000000,6.281325
0.020000,1.471450,5.100000,0.000056,0.002400,0.060000,1.000000,6.281338
0.020000,1.471450,5.100000,0.000120,0.004000,0.080000,1.000000,6.281360
0.020000,1.471450,5.100000,0.000220,0.006000,0.100000,1.000000,6.281395
0.020000,1.471450,5.100000,0.000364,0.008400,0.120000,1.000000,6.281446
0.020000,1.471450,5.100000,0.000560,0.011200,0.140000,1.000000,6.281515
0.020000,1.471450,5.100000,0.000816,0.014400,0.160000,1.000000,6.281605
0.020000,1.471450,5.100000,0.001140,0.018000,0.180000,1.000000,6.281719
0.020000,1.471450,5.100000,0.001540,0.022000,0.200000,1.000000,6.281860
0.020000,1.471450,5.100000,0.002024,0.026400,0.220000,1.000000,6.282030
0.020000,1.471450,5.100000,0.002600,0.031200,0.240000,1.000000,6.282233
0.020000,1.471450,5.100000,0.003276,0.036400,0.260000,1.000000,6.282471
0.020000,1.471450,5.100000,0.004060,0.042000,0.280000,1.000000,6.282747
0.020000,1.471450,5.100000,0.004960,0.048000,0.300000,1.000000,6.283064
0.020000,1.472130,5.100000,0.005984,0.054400,0.320000,1.000000,0.000240
0.020000,1.473286,5.100001,0.007140,0.061200,0.340000,1.000000,0.000647
0.020000,1.474582,5.100002,0.008436,0.068400,0.360000,1.000000,0.001104
0.020000,1.476026,5.100004,0.009880,0.076000,0.380000,1.000000,0.001613
0.020000,1.477626,5.100007,0.011480,0.084000,0.400000,1.000000,0.002178
0.020000,1.479390,5.100011,0.013244,0.092400,0.420000,1.000000,0.002802
0.020000,1.481326,5.100017,0.015180,0.101200,0.440000,1.000000,0.003486
0.020000,1.483442,5.100025,0.017296,0.110400,0.460000,1.000000,0.004235
0.020000,1.485746,5.100036,0.019600,0.120000,0.480000,1.000000,0.005051
0.020000,1.488246,5.100050,0.022100,0.130000,0.500000,1.000000,0.005938
0.020000,1.490950,5.100067,0.024804,0.140400,0.520000,1.000000,0.006898
0.020000,1.493866,5.100089,0.027720,0.151200,0.540000,1.000000,0.007934
0.020000,1.497001,5.100115,0.030856,0.162400,0.560000,1.000000,0.009050
0.020000,1.500366,5.100148,0.034220,0.174000,0.580000,1.000000,0.010250
0.020000,1.503965,5.100187,0.037820,0.186000,0.600000,1.000000,0.011534
0.020000,1.507809,5.100234,0.041664,0.198400,0.620000,1.000000,0.012909
0.020000,1.511905,5.100290,0.045760,0.211200,0.640000,1.000000,0.014376
0.020000,1.516260,5.100356,0.050116,0.224400,0.660000,1.000000,0.015938
0.020000,1.520884,5.100433,0.054740,0.238000,0.680000,1.000000,0.017600
0.020000,1.525783,5.100524,0.059640,0.252000,0.700000,1.000000,0.019365
0.020000,1.530966,5.100629,0.064824,0.266400,0.720000,1.000000,0.021236
0.020000,1.536440,5.100751,0.070300,0.281200,0.740000,1.000000,0.023216
0.020000,1.542215,5.100891,0.076076,0.296400,0.760000,1.000000,0.025310
0.020000,1.548296,5.101052,0.082160,0.312000,0.780000,1.000000,0.027521
0.020000,1.554693,5.101235,0.088560,0.328000,0.800000,1.000000,0.029853
0.020000,1.561414,5.101444,0.095284,0.344400,0.820000,1.000000,0.032309
0.020000,1.568467,5.101681,0.102340,0.361200,0.840000,1.000000,0.034894
0.020000,1.575857,5.101949,0.109736,0.378400,0.860000,1.000000,0.037611
0.020000,1.583596,5.102252,0.117480,0.396000,0.880000,1.000000,0.040465
0.020000,1.591688,5.102591,0.125580,0.414000,0.900000,1.000000,0.043458
0.020000,1.600144,5.102972,0.134044,0.432400,0.920000,1.000000,0.046597
0.020000,1.608970,5.103399,0.142880,0.451200,0.940000,1.000000,0.049884
0.020000,1.618173,5.103874,0.152096,0.470400,0.960000,1.000000,0.053324
0.020000,1.627762,5.104403,0.161700,0.490000,0.980000,1.000000,0.056922
0.020000,1.637745,5.104991,0.171700,0.510000,1.000000,1.000000,0.060682
0.020000,1.648121,5.105641,0.182096,0.529600,0.980000,-1.000000,0.064605
0.020000,1.658881,5.106360,0.192880,0.548800,0.960000,-1.000000,0.068691
0.020000,1.670017,5.107150,0.204044,0.567600,0.940000,-1.000000,0.072937
0.020000,1.681521,5.108016,0.215580,0.586000,0.920000,-1.000000,0.077341
0.020000,1.693382,5.108962,0.227480,0.604000,0.900000,-1.000000,0.081903
0.020000,1.705595,5.109993,0.239736,0.621600,0.880000,-1.000000,0.086620
0.020000,1.718149,5.111114,0.252340,0.638800,0.860000,-1.000000,0.091492
