dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.207644,7.380304,0.000004,0.000397,0.019833,0.991648,3.849600
0.020000,5.207643,7.380304,0.000005,0.000034,-0.018126,-1.897931,3.849597
0.020000,5.207642,7.380303,0.000006,0.000077,0.002134,1.012966,3.849591
0.020000,5.207640,7.380301,0.000009,0.000137,0.002986,0.042608,3.849580
0.020000,5.207637,7.380298,0.000013,0.000213,0.003836,0.042507,3.849563
0.020000,5.207632,7.380294,0.000019,0.000307,0.004683,0.042342,3.849538
0.020000,5.207626,7.380289,0.000028,0.000417,0.005525,0.042096,3.849505
0.020000,5.207618,7.380282,0.000039,0.000545,0.006360,0.041754,3.849461
0.020000,5.207607,7.380273,0.000052,0.000688,0.007186,0.041300,3.849406
0.020000,5.207594,7.380262,0.000069,0.000848,0.008000,0.040717,3.849338
0.020000,5.207371,7.380070,0.000364,0.014728,0.693963,34.298139,3.849256
0.020000,5.206918,7.379683,0.000959,0.029775,0.752370,2.920350,3.849159
0.020000,5.206387,7.379229,0.001658,0.034941,0.258299,-24.703545,3.849045
0.020000,5.205771,7.378702,0.002468,0.040516,0.278775,1.023814,3.848914
0.020000,5.205064,7.378098,0.003399,0.046504,0.299393,1.030866,3.848763
0.020000,5.204260,7.377411,0.004457,0.052901,0.319828,1.021777,3.848593
0.020000,5.203352,7.376635,0.005651,0.059708,0.340376,1.027415,3.848402
0.020000,5.202334,7.375766,0.006989,0.066923,0.360708,1.016555,3.848189
0.020000,5.201200,7.374798,0.008480,0.074545,0.381118,1.020517,3.847953
0.020000,5.199943,7.373726,0.010132,0.082574,0.401449,1.016566,3.847693
0.020000,5.198558,7.372546,0.011952,0.091008,0.421697,1.012394,3.847410
0.020000,5.197038,7.371251,0.013949,0.099846,0.441887,1.009478,3.847102
0.020000,5.195377,7.369836,0.016130,0.109086,0.462012,1.006289,3.846768
0.020000,5.193568,7.368297,0.018505,0.118726,0.481998,0.999263,3.846409
0.020000,5.191606,7.366629,0.021080,0.128765,0.501978,0.999000,3.846024
0.020000,5.189485,7.364827,0.023864,0.139202,0.521850,0.993638,3.845614
0.020000,5.187197,7.362885,0.026865,0.150034,0.541565,0.985740,3.845178
0.020000,5.184737,7.360799,0.030090,0.161257,0.561190,0.981244,3.844716
0.020000,5.182099,7.358564,0.033548,0.172872,0.580742,0.977611,3.844230
0.020000,5.179277,7.356175,0.037245,0.184875,0.600122,0.969003,3.843720
0.020000,5.176264,7.353628,0.041190,0.197262,0.619383,0.963039,3.843187
0.020000,5.173055,7.350918,0.045391,0.210032,0.638469,0.954285,3.842631
0.020000,5.169643,7.348040,0.049854,0.223180,0.657419,0.947511,3.842055
0.020000,5.166023,7.344989,0.054589,0.236705,0.676242,0.941150,3.841460
0.020000,5.162188,7.341762,0.059601,0.250602,0.694856,0.930695,3.840848
0.020000,5.158133,7.338354,0.064898,0.264867,0.713263,0.920353,3.840222
0.020000,5.153851,7.334760,0.070488,0.279497,0.731499,0.911814,3.839583
0.020000,5.149338,7.330976,0.076378,0.294488,0.749553,0.902682,3.838935
0.020000,5.144586,7.326998,0.082574,0.309837,0.767411,0.892911,3.838281
0.020000,5.139591,7.322822,0.089085,0.325535,0.784929,0.875870,3.837624
0.020000,5.134347,7.318444,0.095917,0.341582,0.802353,0.871236,3.836969
0.020000,5.128849,7.313858,0.103076,0.357971,0.819444,0.854508,3.836320
0.020000,5.123090,7.309063,0.110570,0.374697,0.836297,0.842690,3.835681
0.020000,5.117066,7.304053,0.118405,0.391755,0.852884,0.829350,3.835058
0.020000,5.110772,7.298824,0.126588,0.409138,0.869140,0.812797,3.834456
0.020000,5.104202,7.293373,0.135125,0.426841,0.885170,0.801471,3.833882
0.020000,5.097354,7.287699,0.144018,0.444657,0.890783,0.280675,3.833343
0.020000,5.090231,7.281802,0.153266,0.462379,0.886106,-0.233856,3.832845
0.020000,5.082833,7.275683,0.162866,0.480003,0.881228,-0.243923,3.832397
0.020000,5.075163,7.269345,0.172816,0.497527,0.876177,-0.252520,3.832007
