dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.074453,6.217246,0.000004,0.000400,0.020000,1.000000,1.606024
0.020000,4.074453,6.217246,0.000020,0.001200,0.040000,1.000000,1.606034
0.020000,4.074453,6.217246,0.000056,0.002400,0.060000,1.000000,1.606057
0.020000,4.074453,6.217246,0.000120,0.004000,0.080000,1.000000,1.606098
0.020000,4.074453,6.217246,0.000220,0.006000,0.100000,1.000000,1.606161
0.020000,4.074453,6.217246,0.000364,0.008400,0.120000,1.000000,1.606252
0.020000,4.074453,6.217246,0.000560,0.011200,0.140000,1.000000,1.606375
0.020000,4.074453,6.217246,0.000816,0.014400,0.160000,1.000000,1.606537
0.020000,4.074453,6.217246,0.001140,0.018000,0.180000,1.000000,1.606741
0.020000,4.074453,6.217246,0.001540,0.022000,0.200000,1.000000,1.606994
0.020000,4.074453,6.217246,0.002024,0.026400,0.220000,1.000000,1.607300
0.020000,4.074453,6.217246,0.002600,0.031200,0.240000,1.000000,1.607664
0.020000,4.074436,6.217681,0.003276,0.036400,0.260000,1.000000,1.608092
0.020000,4.074407,6.218465,0.004060,0.042000,0.280000,1.000000,1.608589
0.020000,4.074373,6.219364,0.004960,0.048000,0.300000,1.000000,1.609160
0.020000,4.074333,6.220387,0.005984,0.054400,0.320000,1.000000,1.609811
0.020000,4.074288,6.221543,0.007140,0.061200,0.340000,1.000000,1.610548
0.020000,4.074236,6.222837,0.008436,0.068400,0.360000,1.000000,1.611375
0.020000,4.074176,6.224280,0.009880,0.076000,0.380000,1.000000,1.612300
0.020000,4.074109,6.225878,0.011480,0.084000,0.400000,1.000000,1.613327
0.020000,4.074033,6.227641,0.013244,0.092400,0.420000,1.000000,1.614464
0.020000,4.073947,6.229575,0.015180,0.101200,0.440000,1.000000,1.615715
0.020000,4.073851,6.231689,0.017296,0.110400,0.460000,1.000000,1.617088
0.020000,4.073743,6.233990,0.019600,0.120000,0.480000,1.000000,1.618589
0.020000,4.073621,6.236487,0.022100,0.130000,0.500000,1.000000,1.620226
0.020000,4.073485,6.239188,0.024804,0.140400,0.520000,1.000000,1.622005
0.020000,4.073333,6.242100,0.027720,0.151200,0.540000,1.000000,1.623933
0.020000,4.073163,6.245231,0.030856,0.162400,0.560000,1.000000,1.626019
0.020000,4.072974,6.248590,0.034220,0.174000,0.580000,1.000000,1.628271
0.020000,4.072763,6.252184,0.037820,0.186000,0.600000,1.000000,1.630697
0.020000,4.072527,6.256020,0.041664,0.198400,0.620000,1.000000,1.633305
0.020000,4.072266,6.260108,0.045760,0.211200,0.640000,1.000000,1.636106
0.020000,4.071975,6.264454,0.050116,0.224400,0.660000,1.000000,1.639108
0.020000,4.071652,6.269067,0.054740,0.238000,0.680000,1.000000,1.642324
0.020000,4.071293,6.273954,0.059640,0.252000,0.700000,1.000000,1.645762
0.020000,4.070896,6.279123,0.064824,0.266400,0.720000,1.000000,1.649435
0.020000,4.070455,6.284581,0.070300,0.281200,0.740000,1.000000,1.653355
0.020000,4.069967,6.290337,0.076076,0.296400,0.760000,1.000000,1.657534
0.020000,4.069426,6.296396,0.082160,0.312000,0.780000,1.000000,1.661988
0.020000,4.068828,6.302768,0.088560,0.328000,0.800000,1.000000,1.666729
0.020000,4.068167,6.309460,0.095284,0.344400,0.820000,1.000000,1.671775
0.020000,4.067437,6.316478,0.102340,0.361200,0.840000,1.000000,1.677140
