dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.324297,6.226051,0.000004,0.000400,0.020000,1.000000,1.606024
0.020000,4.324297,6.226054,0.000007,0.000126,-0.013693,-1.684651,1.606034
0.020000,4.324297,6.226059,0.000012,0.000284,0.007884,1.078858,1.606057
0.020000,4.324297,6.226069,0.000022,0.000505,0.011039,0.157739,1.606098
0.020000,4.324296,6.226085,0.000038,0.000789,0.014195,0.157826,1.606161
0.020000,4.324295,6.226108,0.000061,0.001136,0.017355,0.157969,1.606252
0.020000,4.324294,6.226139,0.000092,0.001546,0.020518,0.158180,1.606375
0.020000,4.324293,6.226179,0.000132,0.002020,0.023688,0.158475,1.606537
0.020000,4.324291,6.226230,0.000183,0.002557,0.026865,0.158867,1.606741
0.020000,4.324289,6.226293,0.000246,0.003158,0.030053,0.159370,1.606994
0.020000,4.324286,6.226370,0.000323,0.003823,0.033253,0.159998,1.607300
0.020000,4.324283,6.226461,0.000414,0.004553,0.036468,0.160766,1.607664
0.020000,4.324263,6.227003,0.000956,0.027123,1.128539,54.603557,1.608092
0.020000,4.324228,6.227911,0.001865,0.045431,0.915383,-10.657788,1.608589
0.020000,4.324189,6.228953,0.002908,0.052130,0.334929,-29.022735,1.609160
0.020000,4.324143,6.230138,0.004094,0.059321,0.359581,1.232621,1.609811
0.020000,4.324090,6.231478,0.005435,0.067035,0.385671,1.304475,1.610548
0.020000,4.324030,6.232979,0.006937,0.075104,0.403470,0.889982,1.611375
0.020000,4.323961,6.234653,0.008613,0.083798,0.434684,1.560694,1.612300
0.020000,4.323883,6.236508,0.010469,0.092805,0.450366,0.784119,1.613327
0.020000,4.323795,6.238554,0.012518,0.102434,0.481473,1.555347,1.614464
0.020000,4.323695,6.240801,0.014766,0.112445,0.500541,0.953377,1.615715
0.020000,4.323583,6.243257,0.017225,0.122940,0.524721,1.209012,1.617088
0.020000,4.323457,6.245934,0.019904,0.133958,0.550924,1.310121,1.618589
0.020000,4.323316,6.248840,0.022814,0.145471,0.575645,1.236090,1.620226
0.020000,4.323157,6.251984,0.025963,0.157439,0.598377,1.136603,1.622005
0.020000,4.322980,6.255378,0.029361,0.169901,0.623137,1.237982,1.623933
0.020000,4.322782,6.259030,0.033018,0.182856,0.647757,1.230995,1.626019
0.020000,4.322561,6.262951,0.036945,0.196367,0.675526,1.388436,1.628271
0.020000,4.322314,6.267150,0.041152,0.210338,0.698554,1.151401,1.630697
0.020000,4.322039,6.271637,0.045647,0.224781,0.722127,1.178657,1.633305
0.020000,4.321733,6.276424,0.050444,0.239831,0.752536,1.520433,1.636106
0.020000,4.321392,6.281519,0.055550,0.255299,0.773406,1.043510,1.639108
0.020000,4.321013,6.286934,0.060978,0.271421,0.806067,1.633046,1.642324
0.020000,4.320591,6.292678,0.066738,0.287981,0.828028,1.098047,1.645762
0.020000,4.320123,6.298762,0.072840,0.305109,0.856385,1.417880,1.649435
0.020000,4.319603,6.305197,0.079296,0.322800,0.884529,1.407188,1.653355
0.020000,4.319027,6.311994,0.086117,0.341048,0.912422,1.394632,1.657534
0.020000,4.318387,6.319162,0.093314,0.359849,0.940026,1.380239,1.661988
0.020000,4.317679,6.326715,0.100900,0.379275,0.971339,1.565636,1.666729
0.020000,4.316894,6.334661,0.108885,0.399265,0.999470,1.406541,1.671775
0.020000,4.316025,6.343014,0.117283,0.419883,1.030889,1.570963,1.677140
0.020000,4.315063,6.351783,0.126104,0.441087,1.060226,1.466861,1.682844
0.020000,4.314000,6.360981,0.135363,0.462953,1.093292,1.653280,1.688904
0.020000,4.312825,6.370619,0.145073,0.485473,1.126006,1.635710,1.695342
0.020000,4.311527,6.380709,0.155246,0.508639,1.158323,1.615857,1.702178
0.020000,4.310094,6.391262,0.165896,0.532508,1.193402,1.753944,1.709435
0.020000,4.308512,6.402291,0.177038,0.557086,1.228902,1.774986,1.717138
0.020000,4.306766,6.413807,0.188686,0.582409,1.266157,1.862736,1.725314
0.020000,4.304841,6.425823,0.200855,0.608449,1.302013,1.792814,1.733990
0.020000,4.302721,6.438340,0.213550,0.634771,1.316088,0.703763,1.743190
