dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.960685,1.075620,0.000004,0.000393,0.019660,0.982978,3.127887
0.020000,2.960685,1.075620,0.000004,0.000017,-0.018817,-1.923804,3.127888
0.020000,2.960684,1.075620,0.000005,0.000038,0.001054,0.993511,3.127891
0.020000,2.960683,1.075620,0.000006,0.000067,0.001475,0.021060,3.127895
0.020000,2.960681,1.075620,0.000008,0.000105,0.001896,0.021038,3.127903
0.020000,2.960678,1.075620,0.000012,0.000152,0.002316,0.021002,3.127913
0.020000,2.960673,1.075620,0.000016,0.000206,0.002735,0.020949,3.127928
0.020000,2.960668,1.075620,0.000021,0.000269,0.003152,0.020876,3.127947
0.020000,2.960661,1.075620,0.000028,0.000341,0.003568,0.020778,3.127971
0.020000,2.960492,1.075623,0.000197,0.008457,0.405800,20.111592,3.128000
0.020000,2.960006,1.075629,0.000683,0.024296,0.791975,19.308769,3.128036
0.020000,2.959428,1.075637,0.001261,0.028914,0.230881,-28.054674,3.128078
0.020000,2.958749,1.075646,0.001940,0.033933,0.250943,1.003065,3.128128
0.020000,2.957962,1.075657,0.002727,0.039353,0.270998,1.002766,3.128185
0.020000,2.957059,1.075669,0.003630,0.045174,0.291048,1.002479,3.128251
0.020000,2.956031,1.075683,0.004658,0.051395,0.311089,1.002086,3.128326
0.020000,2.954871,1.075698,0.005819,0.058018,0.331123,1.001685,3.128411
0.020000,2.953570,1.075715,0.007119,0.065041,0.351147,1.001211,3.128505
0.020000,2.952121,1.075734,0.008569,0.072464,0.371161,1.000679,3.128610
0.020000,2.950515,1.075755,0.010174,0.080287,0.391163,1.000084,3.128725
0.020000,2.948745,1.075777,0.011945,0.088510,0.411151,0.999423,3.128852
0.020000,2.946803,1.075802,0.013887,0.097133,0.431125,0.998694,3.128991
0.020000,2.944680,1.075829,0.016010,0.106154,0.451083,0.997904,3.129143
0.020000,2.942369,1.075857,0.018322,0.115575,0.471023,0.997005,3.129307
0.020000,2.939861,1.075888,0.020830,0.125394,0.490944,0.996062,3.129484
0.020000,2.937149,1.075920,0.023542,0.135611,0.510845,0.995018,3.129674
0.020000,2.934225,1.075955,0.026467,0.146225,0.530722,0.993889,3.129878
0.020000,2.931080,1.075991,0.029611,0.157237,0.550576,0.992670,3.130096
0.020000,2.927707,1.076030,0.032984,0.168645,0.570403,0.991358,3.130328
0.020000,2.924099,1.076070,0.036593,0.180449,0.590202,0.989952,3.130575
0.020000,2.920246,1.076112,0.040446,0.192648,0.609971,0.988439,3.130836
0.020000,2.916141,1.076156,0.044551,0.205242,0.629707,0.986827,3.131111
0.020000,2.911777,1.076201,0.048916,0.218231,0.649409,0.985105,3.131402
0.020000,2.907145,1.076247,0.053548,0.231612,0.669075,0.983274,3.131707
0.020000,2.902237,1.076295,0.058456,0.245386,0.688701,0.981325,3.132027
0.020000,2.897047,1.076344,0.063647,0.259552,0.708287,0.979265,3.132361
0.020000,2.891565,1.076393,0.069129,0.274108,0.727828,0.977072,3.132710
0.020000,2.885784,1.076444,0.074910,0.289055,0.747323,0.974763,3.133072
0.020000,2.879696,1.076494,0.080998,0.304390,0.766770,0.972329,3.133449
0.020000,2.873298,1.076545,0.087396,0.319914,0.776163,0.469644,3.133839
0.020000,2.866590,1.076596,0.094104,0.335424,0.775514,-0.032439,3.134241
0.020000,2.859572,1.076646,0.101123,0.350920,0.774834,-0.034028,3.134655
0.020000,2.852244,1.076695,0.108451,0.366403,0.774122,-0.035603,3.135079
0.020000,2.844607,1.076743,0.116088,0.381870,0.773378,-0.037186,3.135513
0.020000,2.836660,1.076790,0.124035,0.397322,0.772602,-0.038771,3.135954
0.020000,2.828405,1.076835,0.132290,0.412758,0.771795,-0.040358,3.136403
